Entity,Deaths - Meningitis - Sex: Both - Age: All Ages (Number)
Afghanistan,1563
African Region (WHO),139590
Albania,13
Algeria,292
American Samoa,1
Andorra,0
Angola,2520
Antigua and Barbuda,1
Argentina,453
Armenia,5
Australia,46
Austria,31
Azerbaijan,62
Bahamas,3
Bahrain,3
Bangladesh,2323
Barbados,3
Belarus,49
Belgium,45
Belize,2
Benin,1975
Bermuda,0
Bhutan,22
Bolivia,134
Bosnia and Herzegovina,9
Botswana,123
Brazil,2008
Brunei,2
Bulgaria,39
Burkina Faso,5258
Burundi,1239
Cambodia,129
Cameroon,2791
Canada,89
Cape Verde,18
Central African Republic,902
Chad,4623
Chile,113
China,6465
Colombia,377
Comoros,70
Congo,284
Cook Islands,0
Costa Rica,35
Cote d'Ivoire,2259
Croatia,17
Cuba,94
Cyprus,3
Czechia,38
Democratic Republic of Congo,6147
Denmark,31
Djibouti,110
Dominica,1
Dominican Republic,217
East Asia & Pacific (WB),18440
Eastern Mediterranean Region (WHO),28368
Ecuador,118
Egypt,764
El Salvador,52
England,218
Equatorial Guinea,55
Eritrea,693
Estonia,6
Eswatini,73
Ethiopia,11283
Europe & Central Asia (WB),4446
European Region (WHO),4480
Fiji,13
Finland,16
France,226
French Guiana,
French Polynesia,
G20,56332
Gabon,86
Gambia,212
Georgia,21
Germany,216
Ghana,3487
Greece,30
Greenland,1
Grenada,0
Guadeloupe,
Guam,2
Guatemala,242
Guinea,3260
Guinea-Bissau,267
Guyana,6
Haiti,997
Honduras,109
Hong Kong,
Hungary,50
Iceland,1
India,34736
Indonesia,4715
Iran,577
Iraq,427
Ireland,10
Israel,28
Italy,185
Jamaica,21
Japan,408
Jordan,83
Kazakhstan,136
Kenya,4396
Kiribati,11
Kosovo,
Kuwait,12
Kyrgyzstan,38
Laos,162
Latin America & Caribbean (WB),6093
Latvia,8
Lebanon,34
Lesotho,162
Liberia,432
Libya,43
Lithuania,16
Luxembourg,1
Macau,
Madagascar,2084
Malawi,2369
Malaysia,291
Maldives,2
Mali,6260
Malta,2
Marshall Islands,1
Martinique,
Mauritania,217
Mauritius,5
Mexico,522
Micronesia (country),2
Middle East & North Africa (WB),3832
Moldova,20
Monaco,0
Mongolia,24
Montenegro,1
Morocco,400
Mozambique,2729
Myanmar,1246
Namibia,100
Nauru,0
Nepal,469
Netherlands,96
New Caledonia,
New Zealand,13
Nicaragua,44
Niger,7772
Nigeria,44914
Niue,0
North America (WB),1235
North Korea,223
North Macedonia,5
Northern Ireland,8
Northern Mariana Islands,0
Norway,19
OECD Countries,4493
Oman,14
Pakistan,17987
Palau,0
Palestine,28
Panama,36
Papua New Guinea,599
Paraguay,65
Peru,143
Philippines,2056
Poland,135
Portugal,36
Puerto Rico,9
Qatar,5
Region of the Americas (WHO),7319
Romania,60
Russia,1143
Rwanda,995
Saint Kitts and Nevis,1
Saint Lucia,2
Saint Vincent and the Grenadines,1
Samoa,2
San Marino,0
Sao Tome and Principe,5
Saudi Arabia,180
Scotland,25
Senegal,1563
Serbia,27
Seychelles,2
Sierra Leone,1630
Singapore,5
Slovakia,20
Slovenia,6
Solomon Islands,17
Somalia,4672
South Africa,2221
South Asia (WB),57399
South Korea,77
South Sudan,1968
South-East Asia Region (WHO),45100
Spain,155
Sri Lanka,297
Sub-Saharan Africa (WB),144633
Sudan,662
Suriname,7
Sweden,31
Switzerland,27
Syria,214
Taiwan,105
Tajikistan,125
Tanzania,3765
Thailand,1037
Timor,31
Togo,625
Tokelau,0
Tonga,5
Trinidad and Tobago,11
Tunisia,85
Turkey,351
Turkmenistan,52
Tuvalu,0
Uganda,3941
Ukraine,399
United Arab Emirates,54
United Kingdom,265
United States,1146
United States Virgin Islands,0
Uruguay,14
Uzbekistan,175
Vanuatu,6
Venezuela,254
Vietnam,747
Wales,14
Wallis and Futuna,
Western Pacific Region (WHO),11158
Western Sahara,
World,236222
World (excluding China),
World Bank High Income,4052
World Bank Low Income,81439
World Bank Lower Middle Income,132489
World Bank Upper Middle Income,18104
Yemen,479
Zambia,2065
Zimbabwe,1450
