country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,22,Afghanistan–Uzbekistan Friendship Bridge,http://www.wikidata.org/entity/Q509824,wd:Q509824,2174746,road–rail bridge bridge betwenn Afghanistan and Uzbekistan
Albania,20,Mes Bridge,http://www.wikidata.org/entity/Q856285,wd:Q856285,28116524,cultural heritage monument of Albania
Algeria,8,Pont Sidi M'Cid,http://www.wikidata.org/entity/Q12205505,wd:Q12205505,52780832,bridge in Algeria
Andorra,13,Pont de la Margineda,http://www.wikidata.org/entity/Q3137862,wd:Q3137862,33954951,bridge in Andorra
Argentina,20,Puente de la Mujer,http://www.wikidata.org/entity/Q2336867,wd:Q2336867,1352853,pedestrian bridge in Argentina
Armenia,19,Haghtanak bridge,http://www.wikidata.org/entity/Q2471370,wd:Q2471370,12788763,cultural heritage monument of Armenia
Australia,66,Sydney Harbour Bridge,http://www.wikidata.org/entity/Q54495,wd:Q54495,28267,bridge across Sydney Harbour in Australia
Austria,26,Reichsbrücke,http://www.wikidata.org/entity/Q684821,wd:Q684821,5759331,"bridge in Vienna, Austria"
Azerbaijan,21,Khodaafarin Bridges,http://www.wikidata.org/entity/Q2993838,wd:Q2993838,15581423,two arch bridges across the Aras River on the border of Azerbaijan and Iran
Bahrain,41,King Fahd Causeway,http://www.wikidata.org/entity/Q827735,wd:Q827735,1360149,road bridge in Persian Gulf
Bangladesh,15,Bangabandhu Bridge,http://www.wikidata.org/entity/Q10729282,wd:Q10729282,1904181,bridge in Bangladesh
Barbados,3,Chamberlain Bridge,http://www.wikidata.org/entity/Q5069576,wd:Q5069576,31299562,bridge in Barbados
Belarus,6,Kirov Bridge,http://www.wikidata.org/entity/Q6415960,wd:Q6415960,6280321,bridge in Belarus
Belgium,7,Pont de Wandre,http://www.wikidata.org/entity/Q2245306,wd:Q2245306,32959401,bridge in Belgium
Belize,4,Swing Bridge,http://www.wikidata.org/entity/Q7658544,wd:Q7658544,23290388,bridge in Belize
Benin,4,Ancien Pont Bridge,http://www.wikidata.org/entity/Q4752787,wd:Q4752787,20792872,bridge in Benin
Bolivia,5,Horacio Guzmán International Bridge,http://www.wikidata.org/entity/Q3397557,wd:Q3397557,62727147,internationale Brücke zwischen Argentinien und Bolivien
Bosnia and Herzegovina,60,Stari Most,http://www.wikidata.org/entity/Q188528,wd:Q188528,2110211,bridge in Mostar over the river Neretva
Botswana,16,Kazungula Bridge,http://www.wikidata.org/entity/Q20808678,wd:Q20808678,47354062,Bridge connecting Botswana and Zambia
Brazil,27,Rio–Niterói Bridge,http://www.wikidata.org/entity/Q1367127,wd:Q1367127,512409,bridge in Rio de Janeiro
Brunei,11,Sultan Haji Omar Ali Saifuddien Bridge,http://www.wikidata.org/entity/Q14629159,wd:Q14629159,39394709,bridge in Brunei
Bulgaria,29,New Europe Bridge,http://www.wikidata.org/entity/Q1077240,wd:Q1077240,8784893,"road and rail bridge between the cities of Calafat, Romania and Vidin, Bulgaria"
Cambodia,13,Kizuna bridge,http://www.wikidata.org/entity/Q3396600,wd:Q3396600,24332740,bridge in Cambodia
Cameroon,7,Japoma Bridge,http://www.wikidata.org/entity/Q996128,wd:Q996128,42275935,railway bridge in Cameroon
Canada,28,Confederation Bridge,http://www.wikidata.org/entity/Q865076,wd:Q865076,201008,"fixed link connecting Canadian province of Prince Edward Island with the mainland, at New Brunswick"
Chile,10,Malleco Viaduct,http://www.wikidata.org/entity/Q3085334,wd:Q3085334,7912765,national monument of Chile
Colombia,9,Simón Bolívar International Bridge,http://www.wikidata.org/entity/Q3396757,wd:Q3396757,58399148,bridge connecting Colombia and Venezuela
Costa Rica,2,Arenal Hanging Bridges,http://www.wikidata.org/entity/Q4788935,wd:Q4788935,23399800,bridge in Costa Rica
Croatia,26,Pelješac Bridge,http://www.wikidata.org/entity/Q1155248,wd:Q1155248,4722829,cable-stayed bridge
Czech Republic,59,Charles Bridge,http://www.wikidata.org/entity/Q204871,wd:Q204871,515933,"bridge in Prague, Czech Republic"
Democratic Republic of the Congo,8,Matadi Bridge,http://www.wikidata.org/entity/Q2849739,wd:Q2849739,4991703,bridge over the Kongo River
Denmark,65,Øresund Bridge,http://www.wikidata.org/entity/Q297871,wd:Q297871,70374,road and railway bridge over Øresund
Dominican Republic,2,Mauricio Báez Bridge,http://www.wikidata.org/entity/Q6793592,wd:Q6793592,9059577,bridge in Dominican Republic
East Timor,3,Noefefan Bridge,http://www.wikidata.org/entity/Q30249141,wd:Q30249141,54290339,bridge in East Timor
Ecuador,4,National Unity Bridge,http://www.wikidata.org/entity/Q6091521,wd:Q6091521,43455034,bridge in Ecuador
Egypt,23,Suez Canal Bridge,http://www.wikidata.org/entity/Q611964,wd:Q611964,7744399,road bridge crossing the Suez Canal at El Qantara
El Salvador,1,Cuscatlán Bridge,http://www.wikidata.org/entity/Q98078158,wd:Q98078158,64728136,Suspension bridge across the Lempa River
Equatorial Guinea,2,EG LNG Pipeline Suspension Bridge,http://www.wikidata.org/entity/Q18208107,wd:Q18208107,44059955,"bridge in Bioko, Equatorial Guinea"
Estonia,11,Stone Bridge,http://www.wikidata.org/entity/Q12367079,wd:Q12367079,66004552,historical stone bridge in Tartu
Fiji,3,Rewa Bridge,http://www.wikidata.org/entity/Q7319006,wd:Q7319006,33856701,bridge in Fiji
Finland,19,Sami Bridge,http://www.wikidata.org/entity/Q2209135,wd:Q2209135,2705432,bridge across the Tana River between Finnmark county in Norway and Utsjoki in Finland.
France,70,Millau Viaduct,http://www.wikidata.org/entity/Q99236,wd:Q99236,680871,motorway bridge in France
Georgia,20,Red Bridge,http://www.wikidata.org/entity/Q2511710,wd:Q2511710,19362449,bridge between Azerbaijan and Georgia
Germany,28,Magdeburg Water Bridge,http://www.wikidata.org/entity/Q640980,wd:Q640980,2876423,large navigable aqueduct in central Germany
Ghana,7,Adome Bridge,http://www.wikidata.org/entity/Q167088,wd:Q167088,35603633,"arch suspension bridge across the Volta River downstream of the Akosombo Dam in Atimpoku, Ghana in West Africa"
