country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,33,Nadia Nadim,http://www.wikidata.org/entity/Q531727,wd:Q531727,37134259,Danish footballer
Afghanistan,32,Rohullah Nikpai,http://www.wikidata.org/entity/Q230854,wd:Q230854,18942562,Taekwondo practitioner
Afghanistan,22,Zohib Islam Amiri,http://www.wikidata.org/entity/Q3131329,wd:Q3131329,30113082,Afgan assocation football player
Afghanistan,19,Mohammad Nabi,http://www.wikidata.org/entity/Q1600257,wd:Q1600257,21362929,cricketer
Pakistan,19,Mohammad Nabi,http://www.wikidata.org/entity/Q1600257,wd:Q1600257,21362929,cricketer
Afghanistan,18,Faysal Shayesteh,http://www.wikidata.org/entity/Q10554064,wd:Q10554064,38695859,Afghan footballer
Afghanistan,16,Balal Arezou,http://www.wikidata.org/entity/Q815251,wd:Q815251,28916709,Afghan association football player
Afghanistan,16,Shamsuddin Amiri,http://www.wikidata.org/entity/Q548840,wd:Q548840,11972745,Afghan footballer
Afghanistan,16,Rashid Khan,http://www.wikidata.org/entity/Q21621685,wd:Q21621685,48267567,Afghan cricketer
Afghanistan,15,Djelaludin Sharityar,http://www.wikidata.org/entity/Q1232144,wd:Q1232144,21651314,Afghan association football player
Afghanistan,15,Mohammad Yousef Kargar,http://www.wikidata.org/entity/Q434583,wd:Q434583,15798580,Afghan footballer
Afghanistan,15,Kamia Yousufi,http://www.wikidata.org/entity/Q26262342,wd:Q26262342,51311972,Afghan sprinter
Afghanistan,15,Qays Shayesteh,http://www.wikidata.org/entity/Q2515614,wd:Q2515614,20822103,Dutch footballer
Afghanistan,15,Robina Muqimyar,http://www.wikidata.org/entity/Q467296,wd:Q467296,17920162,"former Olympic sprinter, Afghan politician"
Afghanistan,14,Mustafa Hadid,http://www.wikidata.org/entity/Q372828,wd:Q372828,21870378,Afghan footballer
Afghanistan,14,Mustafa Zazai,http://www.wikidata.org/entity/Q16914139,wd:Q16914139,42783644,Afghan footballer
Afghanistan,13,Farshad Noor,http://www.wikidata.org/entity/Q14454175,wd:Q14454175,40144292,Afgan assocation football player
Afghanistan,13,Ovays Azizi,http://www.wikidata.org/entity/Q21834508,wd:Q21834508,60407676,association football player
Afghanistan,13,Hafizullah Qadami,http://www.wikidata.org/entity/Q1382778,wd:Q1382778,15859834,Afghan footaballer
Afghanistan,13,Masoud Azizi,http://www.wikidata.org/entity/Q971664,wd:Q971664,17920433,Afghan athletics competitor
