Entity,Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number)
Afghanistan,23701
African Region (WHO),749955
Albania,161
Algeria,8756
American Samoa,4
Andorra,0
Angola,18189
Antigua and Barbuda,4
Argentina,3272
Armenia,156
Australia,487
Austria,115
Azerbaijan,1825
Bahamas,21
Bahrain,33
Bangladesh,40175
Barbados,20
Belarus,160
Belgium,171
Belize,57
Benin,12609
Bermuda,1
Bhutan,235
Bolivia,3809
Bosnia and Herzegovina,74
Botswana,850
Brazil,29661
Brunei,23
Bulgaria,156
Burkina Faso,19281
Burundi,8794
Cambodia,4440
Cameroon,15688
Canada,915
Cape Verde,92
Central African Republic,5349
Chad,17347
Chile,594
China,44950
Colombia,4255
Comoros,380
Congo,2002
Cook Islands,0
Costa Rica,238
Cote d'Ivoire,23030
Croatia,62
Cuba,180
Cyprus,25
Czechia,130
Democratic Republic of Congo,42976
Denmark,110
Djibouti,633
Dominica,11
Dominican Republic,3307
East Asia & Pacific (WB),149517
Eastern Mediterranean Region (WHO),365459
Ecuador,2165
Egypt,5336
El Salvador,483
England,1285
Equatorial Guinea,453
Eritrea,3160
Estonia,11
Eswatini,440
Ethiopia,77436
Europe & Central Asia (WB),34670
European Region (WHO),35017
Fiji,150
Finland,38
France,1142
French Guiana,
French Polynesia,
G20,616211
Gabon,507
Gambia,1143
Georgia,278
Germany,1098
Ghana,16014
Greece,140
Greenland,4
Grenada,11
Guadeloupe,
Guam,21
Guatemala,2834
Guinea,10932
Guinea-Bissau,1549
Guyana,192
Haiti,5855
Honduras,1618
Hong Kong,
Hungary,135
Iceland,4
India,438004
Indonesia,38125
Iran,7347
Iraq,7270
Ireland,74
Israel,226
Italy,605
Jamaica,400
Japan,469
Jordan,1578
Kazakhstan,1593
Kenya,18317
Kiribati,45
Kosovo,
Kuwait,206
Kyrgyzstan,1307
Laos,3043
Latin America & Caribbean (WB),80732
Latvia,27
Lebanon,400
Lesotho,1133
Liberia,2240
Libya,349
Lithuania,29
Luxembourg,6
Macau,
Madagascar,12504
Malawi,10220
Malaysia,1319
Maldives,75
Mali,32006
Malta,11
Marshall Islands,10
Martinique,
Mauritania,1892
Mauritius,87
Mexico,12384
Micronesia (country),9
Middle East & North Africa (WB),60634
Moldova,142
Monaco,0
Mongolia,565
Montenegro,13
Morocco,5135
Mozambique,24317
Myanmar,16065
Namibia,882
Nauru,3
Nepal,8397
Netherlands,308
New Caledonia,
New Zealand,101
Nicaragua,630
Niger,22546
Nigeria,195397
Niue,0
North America (WB),11910
North Korea,1855
North Macedonia,113
Northern Ireland,56
Northern Mariana Islands,2
Norway,53
OECD Countries,40860
Oman,340
Pakistan,249785
Palau,1
Palestine,812
Panama,360
Papua New Guinea,4363
Paraguay,549
Peru,3933
Philippines,23673
Poland,545
Portugal,98
Puerto Rico,108
Qatar,81
Region of the Americas (WHO),92528
Romania,440
Russia,3556
Rwanda,5635
Saint Kitts and Nevis,6
Saint Lucia,16
Saint Vincent and the Grenadines,13
Samoa,17
San Marino,1
Sao Tome and Principe,42
Saudi Arabia,1077
Scotland,85
Senegal,9388
Serbia,172
Seychelles,8
Sierra Leone,6765
Singapore,30
Slovakia,114
Slovenia,15
Solomon Islands,112
Somalia,19725
South Africa,17138
South Asia (WB),761446
South Korea,541
South Sudan,8935
South-East Asia Region (WHO),546219
Spain,483
Sri Lanka,1073
Sub-Saharan Africa (WB),782342
Sudan,21418
Suriname,131
Sweden,125
Switzerland,148
Syria,1086
Taiwan,334
Tajikistan,2720
Tanzania,39594
Thailand,1692
Timor,524
Togo,4518
Tokelau,0
Tonga,12
Trinidad and Tobago,125
Tunisia,894
Turkey,6943
Turkmenistan,1113
Tuvalu,1
Uganda,30955
Ukraine,1305
United Arab Emirates,83
United Kingdom,1484
United States,10994
United States Virgin Islands,4
Uruguay,148
Uzbekistan,5257
Vanuatu,69
Venezuela,3338
Vietnam,6468
Wales,57
Wallis and Futuna,
Western Pacific Region (WHO),91213
Western Sahara,
World,1882438
World (excluding China),
World Bank High Income,24249
World Bank Low Income,478720
World Bank Lower Middle Income,1205270
World Bank Upper Middle Income,173125
Yemen,18982
Zambia,9851
Zimbabwe,8609
