Entity,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number)
Afghanistan,21247
African Region (WHO),533567
Albania,4705
Algeria,23816
American Samoa,68
Andorra,230
Angola,12791
Antigua and Barbuda,138
Argentina,85209
Armenia,5834
Australia,53700
Austria,22258
Azerbaijan,11913
Bahamas,580
Bahrain,817
Bangladesh,106147
Barbados,825
Belarus,19668
Belgium,33892
Belize,299
Benin,5247
Bermuda,179
Bhutan,474
Bolivia,14035
Bosnia and Herzegovina,9482
Botswana,2076
Brazil,266014
Brunei,528
Bulgaria,22009
Burkina Faso,10125
Burundi,5275
Cambodia,14553
Cameroon,14258
Canada,93072
Cape Verde,717
Central African Republic,2657
Chad,6250
Chile,31648
China,2716551
Colombia,49460
Comoros,544
Congo,3363
Cook Islands,32
Costa Rica,6049
Cote d'Ivoire,11587
Croatia,14024
Cuba,27785
Cyprus,2291
Czechia,30718
Democratic Republic of Congo,36862
Denmark,18488
Djibouti,750
Dominica,182
Dominican Republic,10808
East Asia & Pacific (WB),4090361
Eastern Mediterranean Region (WHO),477361
Ecuador,17627
Egypt,57934
El Salvador,5905
England,160593
Equatorial Guinea,602
Eritrea,3674
Estonia,3832
Eswatini,979
Ethiopia,39600
Europe & Central Asia (WB),2239506
European Region (WHO),2260409
Fiji,810
Finland,14495
France,197313
French Guiana,
French Polynesia,
G20,7825691
Gabon,1436
Gambia,1070
Georgia,8327
Germany,274088
Ghana,18509
Greece,35234
Greenland,157
Grenada,188
Guadeloupe,
Guam,207
Guatemala,12605
Guinea,8426
Guinea-Bissau,976
Guyana,780
Haiti,10517
Honduras,7743
Hong Kong,
Hungary,34293
Iceland,654
India,932587
Indonesia,229524
Iran,66792
Iraq,24413
Ireland,10384
Israel,14627
Italy,192052
Jamaica,4338
Japan,442474
Jordan,5643
Kazakhstan,21073
Kenya,23292
Kiribati,128
Kosovo,
Kuwait,1653
Kyrgyzstan,4150
Laos,4975
Latin America & Caribbean (WB),762569
Latvia,5601
Lebanon,7493
Lesotho,2216
Liberia,2053
Libya,5435
Lithuania,7870
Luxembourg,1295
Macau,
Madagascar,11011
Malawi,10110
Malaysia,31294
Maldives,214
Mali,9336
Malta,1002
Marshall Islands,54
Martinique,
Mauritania,2064
Mauritius,1517
Mexico,106421
Micronesia (country),112
Middle East & North Africa (WB),293600
Moldova,6245
Monaco,225
Mongolia,5961
Montenegro,1644
Morocco,27967
Mozambique,13531
Myanmar,52674
Namibia,1600
Nauru,8
Nepal,21609
Netherlands,56513
New Caledonia,
New Zealand,10584
Nicaragua,4429
Niger,6976
Nigeria,81558
Niue,3
North America (WB),867146
North Korea,40841
North Macedonia,5431
Northern Ireland,5308
Northern Mariana Islands,80
Norway,12675
OECD Countries,3229597
Oman,1368
Pakistan,179773
Palau,36
Palestine,2907
Panama,3984
Papua New Guinea,5645
Paraguay,6141
Peru,33395
Philippines,81321
Poland,122080
Portugal,31651
Puerto Rico,6936
Qatar,831
Region of the Americas (WHO),1622270
Romania,52590
Russia,296822
Rwanda,7143
Saint Kitts and Nevis,99
Saint Lucia,304
Saint Vincent and the Grenadines,208
Samoa,155
San Marino,117
Sao Tome and Principe,145
Saudi Arabia,13104
Scotland,19529
Senegal,8211
Serbia,28444
Seychelles,181
Sierra Leone,3801
Singapore,7001
Slovakia,13901
Slovenia,6336
Solomon Islands,650
Somalia,7993
South Africa,54803
South Asia (WB),1280775
South Korea,104176
South Sudan,4140
South-East Asia Region (WHO),1519162
Spain,125835
Sri Lanka,18724
Sub-Saharan Africa (WB),534843
Sudan,17100
Suriname,716
Sweden,26480
Switzerland,20248
Syria,8784
Taiwan,56953
Tajikistan,5368
Tanzania,31417
Thailand,115544
Timor,824
Togo,3832
Tokelau,2
Tonga,127
Trinidad and Tobago,2017
Tunisia,10110
Turkey,104816
Turkmenistan,3636
Tuvalu,14
Uganda,21648
Ukraine,99218
United Arab Emirates,5473
United Kingdom,195999
United States,773895
United States Virgin Islands,330
Uruguay,10084
Uzbekistan,22338
Vanuatu,225
Venezuela,34771
Vietnam,112564
Wales,10569
Wallis and Futuna,
Western Pacific Region (WHO),3632974
Western Sahara,
World,10079637
World (excluding China),
World Bank High Income,3131800
World Bank Low Income,368474
World Bank Lower Middle Income,2268203
World Bank Upper Middle Income,4305756
Yemen,12681
Zambia,9789
Zimbabwe,12353
