0,1
 Djibouti,1
 Egypt,5
 Kenya,7
 Mauritius,10
 Morocco,1
 South Africa,17
 Tanzania,7
Country,Number of restaurants
 Bahrain,1
 China,490
 Hong Kong,34
 India,650
 Indonesia,35
 Iraq,2
 Japan,192
 Jordan,17
 Kuwait,24
 Macau,5
 Malaysia,300
 Oman,40
 Pakistan,104
 Philippines,40
 Qatar,28
 Russia,445
 Saudi Arabia,205
 Singapore,125
 South Korea,523
 Sri Lanka,6
 Taiwan,122
 Thailand,140
 United Arab Emirates,121
 Vietnam,1
Country,Number of restaurants
 Austria,37
 Belarus,3
 Belgium,4
 Bulgaria,23
 Cyprus,5
 Czech Republic,10
 Denmark,3
 Estonia,11
 Finland,180
 France,380
 Georgia,7
 Germany,645
 Greece,3
 Hungary,5
 Iceland,16
 Ireland,134
 Isle of Man,2
 Italy,13
 Latvia,2
 Liechtenstein,1
 Lithuania,7
 Luxembourg,7
 Malta,2
 Netherlands,187
 Norway,50
 Poland,174
 Portugal,20
 Romania,37
 Russia,445
 Slovakia,10
 Slovenia,5
 Spain,52
 Sweden,161
 Switzerland,55
 Turkey,76
 United Kingdom,2192
Country,Number of restaurants
 Antigua and Barbuda,3
 Aruba,7
 Bahamas,9
 Barbados,6
 Bonaire,1
 Canada,"2,934"
 Cayman Islands,7
 Costa Rica,68
 Curaçao,6
 Dominican Republic,7
 El Salvador,85
 Grenada,3
 Guatemala,69
 Honduras,20
 Jamaica,5
 Mexico,771
 Nicaragua,27
 Panama,70
 Puerto Rico,158
 St. Lucia,2
 St. Vincent and the Grenadines,2
 Sint Maarten,4
 Trinidad and Tobago,41
 United States,20646
 US Virgin Islands,6
Country,Number of restaurants
 Australia,1216
 Guam,14
 Marshall Islands,1
 New Zealand,242
 Northern Mariana Islands,2
 Argentina,65
 Bolivia,15
 Brazil,1609
 Chile,195
 Colombia,232
 Ecuador,9
 Peru,21
 Suriname,3
 Uruguay,30
