0,1,2
-,-,-
Francis,201,Argentina
-,-,-
-,-,-
-,-,-
Guillermo Lasso,169,Ecuador
Lionel Messi,167,Argentina
Rafael Correa Delgado,167,Ecuador
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Pelﾃｩ,146,Brazil
Jair Bolsonaro,132,Brazil
Shakira,130,Colombia
Paulo Coelho,127,Brazil
Dilma Rousseff,123,Brazil
-,-,-
Ronaldo,116,Brazil
-,-,-
Mario Vargas Llosa,114,Peru
-,-,-
Evo Morales,113,Bolivia
Neymar,112,Brazil
Cristina Fernﾃ｡ndez de Kirchner,111,Argentina
Michelle Bachelet,111,Chile
Luiz Inﾃ｡cio Lula da Silva,110,Brazil
Nicolﾃ｡s Maduro,107,Venezuela
Ronaldinho,103,Brazil
-,-,-
Marjorie Estiano,101,Brazil
Luis Suﾃ｡rez,101,Uruguay
-,-,-
-,-,-
Juan Manuel Santos,96,Colombia
-,-,-
Nathalia Dill,92,Brazil
Josﾃｩ Mujica,92,Uruguay
Natalia Oreiro,92,Uruguay
Kakﾃ｡,88,Brazil
Isabel Allende,87,Chile
Sebastiﾃ｡n Piﾃｱera,85,Chile
Sergio Agﾃｼero,84,Argentina
Diego Forlﾃ｡n,84,Uruguay
-,-,-
-,-,-
-,-,-
-,-,-
James Rodrﾃｭguez,81,Colombia
Gisele Bﾃｼndchen,80,Brazil
-,-,-
Dani Alves,79,Brazil
-,-,-
Mauricio Macri,79,Argentina
ﾃ・ngel Di Marﾃｭa,78,Argentina
Hernﾃ｡n Crespo,77,Argentina
Roberto Carlos,77,Brazil
Marcelo,76,Brazil
-,-,-
Edinson Cavani,76,Uruguay
Michel Temer,76,Brazil
Rivaldo,75,Brazil
Juanes,75,Colombia
Robinho,74,Brazil
Felipe Massa Diaz,74,Brazil
Philippe Coutinho,74,Brazil
Carlos Tevez,74,Argentina
Romﾃ｡rio,73,Brazil
-,-,-
-,-,-
Zico,72,Brazil
Javier Mascherano,72,Argentina
-,-,-
Diego Godﾃｭn,72,Uruguay
Arturo Vidal,72,Chile
-,-,-
Gonzalo Higuaﾃｭn,71,Argentina
Alberto Fernﾃ｡ndez,71,Argentina
Alberto Fujimori,71,Peru
Juan Guaidﾃｳ,71,Venezuela
David Luiz,70,Brazil
-,-,-
Alexis Sﾃ｡nchez,70,Chile
Hulk,69,Brazil
Thiago Silva,69,Brazil
John Leguizamo,69,Colombia
-,-,-
Javier Zanetti,68,Argentina
-,-,-
Paulo Dybala,68,Argentina
Diego Costa,68,Brazil
Deco,68,Brazil
-,-,-
-,-,-
-,-,-
Adriana Lima,66,Brazil
Dunga,66,Brazil
Gabriel Batistuta,66,Argentina
Isabel Martﾃｭnez de Perﾃｳn,66,Argentina
-,-,-
Sofﾃｭa Vergara,66,Colombia
Bebeto,65,Brazil
Horacio Cartes,65,Paraguay
-,-,-
Antonio Valencia,64,Ecuador
Radamel Falcao,64,Colombia
Cacau,63,Brazil
Sergio Romero,63,Argentina
Alisson,63,Brazil
Ollanta Humala,63,Peru
-,-,-
Willian,62,Brazil
-,-,-
Rubens Barrichello,62,Brazil
Jﾃｺlio Cﾃｩsar,62,Brazil
Rivelino,62,Brazil
-,-,-
Roberto Firmino,62,Brazil
Chileans,62,Chile
Leonardo Araﾃｺjo,61,Brazil
Fred,61,Brazil
Diego Milito,61,Argentina
Mario Kempes,61,Argentina
-,-,-
Diego Simeone,61,Argentina
-,-,-
Claudio Bravo,61,Chile
Fernando Lugo,61,Paraguay
Oscar dos Santos Emboaba Jﾃｺnior,60,Brazil
-,-,-
Cafu,60,Brazil
Luiz Felipe Scolari,60,Brazil
Marcus Tulio Tanaka,60,Brazil
Mauro Icardi,60,Argentina
Maxi Rodrﾃｭguez,60,Argentina
Fernandinho,60,Brazil
Casemiro,60,Brazil
Gabriel Boric,60,Chile
Alexandre Pato,59,Brazil
Maicon,59,Brazil
-,-,-
-,-,-
Garbiﾃｱe Muguruza,59,Venezuela
-,-,-
Lenﾃｭn Moreno,59,Ecuador
Felipe Gonzﾃ｡lez,59,Colombia
Alessandra Ambrosio,58,Brazil
Juan Martﾃｭn del Potro,58,Argentina
Nicolﾃ｡s Otamendi,58,Argentina
Fernando Gago,58,Argentina
-,-,-
Marcos Rojo,58,Argentina
-,-,-
Careca,58,Brazil
Dﾃｩsi Bouterse,58,Suriname
Carlos Valderrama,58,Colombia
Thiago Motta,57,Brazil
-,-,-
Fernando Henrique Cardoso,57,Brazil
Paulinho,56,Brazil
Jorginho,56,Brazil
-,-,-
Juan Sebastiﾃ｡n Verﾃｳn,56,Argentina
Juan Romﾃ｡n Riquelme,56,Argentina
Adolfo Pﾃｩrez Esquivel,56,Argentina
Fernando Muslera,56,Uruguay
-,-,-
-,-,-
-,-,-
-,-,-
Henrique Capriles Radonski,56,Venezuela
-,-,-
Adriano,55,Brazil
Daniel Passarella,55,Argentina
ﾃ・ver Banega,55,Argentina
Martﾃｭn Demichelis,55,Argentina
Javier Saviola,55,Argentina
Ezequiel Garay,55,Argentina
Josep Borrell,55,Argentina
Douglas Costa,55,Brazil
Paula Fernandes,55,Brazil
-,-,-
Claudio Pizarro,55,Peru
-,-,-
ﾃ・lvaro Uribe Vﾃｩlez,55,Colombia
Jeanine ﾃ・ﾃｱez,55,Bolivia
-,-,-
Lﾃｺcio,54,Brazil
Nelson Piquet,54,Brazil
-,-,-
Marta,54,Brazil
-,-,-
Osvaldo Ardiles,54,Argentina
Queen Mﾃ｡xima of the Netherlands,54,Argentina
Filipe Luﾃｭs,54,Brazil
Wagner Lopes,54,Brazil
Juan Cuadrado,54,Colombia
Gilberto Silva,53,Brazil
Zinho,53,Brazil
-,-,-
Hernanes,53,Brazil
Cﾃｩsar Sampaio,53,Brazil
Esteban Cambiasso,53,Argentina
Pablo Zabaleta,53,Argentina
Mauricio Pochettino,53,Argentina
Ramﾃｳn Dﾃｭaz,53,Argentina
Martﾃｭn Cﾃ｡ceres,53,Uruguay
Anderson,53,Brazil
Juan Pablo Montoya,53,Colombia
Dante Bonfim Costa Santos,52,Brazil
Eduardo da Silva,52,Brazil
Rafael Pereira da Silva,52,Brazil
Jordana Brewster,52,Brazil
-,-,-
Jonﾃ｡s Gutiﾃｩrrez,52,Argentina
Lucas Biglia,52,Argentina
Jordana Brewster,52,Panama
Edmundo,52,Brazil
Gabriel Jesus,52,Brazil
Lina Medina,52,Peru
Renﾃｩ Higuita,52,Colombia
Dida,51,Brazil
-,-,-
-,-,-
-,-,-
Lucas Moura,51,Brazil
-,-,-
Jﾃｴ,51,Brazil
Fernanda Montenegro,51,Brazil
Marcelo Bielsa,51,Argentina
-,-,-
Daniel Barenboim,51,Argentina
Martha Argerich,51,Argentina
Roberto Ayala,51,Argentina
Walter Samuel,51,Argentina
-,-,-
Ezequiel Lavezzi,51,Argentina
Mﾃｼller,51,Brazil
-,-,-
George Kobayashi,51,Brazil
David Ospina,51,Colombia
Ivﾃ｡n Duque,51,Colombia
Luis Arce,51,Bolivia
Perry Christie,32,Bahamas
Évariste Ndayishimiye,31,Burundi
Mahamat Déby Itno,32,Chad
Ansu Fati,50,Guinea-Bissau
Wyclef Jean,46,Haiti
Nawaf Al-Ahmad Al-Jaber Al-Sabah,44,Kuwait
Saif al-Islam al-Gaddafi,47,Libya
Seydou Keita,48,Mali
Moncef Marzouki,50,Tunisia
Moncef Marzouki,50,Zambia
