0,1,2,3
1,Central African Republic,83.41,2016
2,Rwanda,59.51,2018
3,Malawi,58.68,2018
4,Chad,56.89,2016
5,Mozambique,55.27,2018
6,Ethiopia,55.07,2011
7,Guinea-Bissau,51.93,2010
8,Tanzania,50.63,2018
9,Angola,50.03,2015
10,Guinea,47.15,2016
11,Cameroon,44.83,2018
12,Republic of the Congo,44.44,2012
13,Pakistan,44.28,2018
14,Afghanistan,44.01,2017
15,Uganda,42.66,2017
16,Burundi,42.52,2018
17,Zambia,42.06,2017
18,Côte d'Ivoire,41.82,2018
19,Cambodia,41.7,2018
20,Nauru,40.18,2016
21,Togo,40.15,2018
22,Madagascar,39.81,2018
23,Burkina Faso,39.72,2018
24,Eritrea,39.25,2017
25,Benin,39.2,2018
26,Mali,37.83,2018
27,Nigeria,37.55,2010
28,Zimbabwe,36.41,2013
29,Niger,36.34,2017
30,Senegal,36.32,2018
31,The Gambia,36.14,2018
32,Papua New Guinea,35.52,2016
33,Somalia,35.52,2007
34,Bhutan,34.67,2018
35,Mauritania,34.28,2018
36,Haiti,33.41,1998
37,DR Congo,33.2,2015
38,Lesotho,32.95,2017
39,India,32.75,2017
40,São Tomé and Principe,31.16,2017
41,Kenya,30.65,2015
42,Mongolia,30.38,2018
43,South Africa,30.33,2015
44,Samoa,30.24,2010
45,Nicaragua,30.22,2010
46,Bangladesh,30.05,2018
47,Djibouti,29.37,2018
48,Philippines,29.08,2017
49,Iran,28.52,2017
50,El Salvador,28.27,2017
51,Sierra Leone,27.52,2018
52,Ghana,27.25,2018
53,Timor-Leste,26.95,2018
54,Yemen,26.93,2016
55,Morocco,26.8,2018
56,Eswatini,26.6,2017
57,Vanuatu,26.57,2015
58,Mexico,26.55,2017
59,Venezuela,25.68,1987
60,Honduras,25.6,2017
61,Kiribati,25.49,2017
62,Solomon Islands,25.41,2018
63,Syrian Arab Republic,25.33,2002
64,Kyrgyz Republic,24.99,2018
65,Jamaica,24.79,2018
66,Gabon,24.53,2011
67,United Arab Emirates,24.52,2016
68,Ecuador,24.48,2017
69,Algeria,24.32,2018
70,Paraguay,24.16,2012
71,Botswana,23.71,2015
72,Egypt,23.68,2018
73,Colombia,23.6,2017
74,Equatorial Guinea,23.23,2015
75,Guyana,23.16,2012
76,Myanmar,23.05,2017
77,Sri Lanka,22.93,2017
78,Lao PDR,22.34,2018
79,Liberia,22.32,2017
80,Tajikistan,22.3,2017
81,Panama,21.96,2017
82,Tonga,21.63,2015
83,Uzbekistan,21.51,2018
84,Russia,21.26,2017
85,Cabo Verde,21.07,2018
86,Nepal,20.91,2017
87,North Korea,20.3,2018
88,Vietnam,20.28,2018
89,Guatemala,20.26,2018
90,Brazil,20.22,2017
91,Belize,19.78,2018
92,Fiji,19.74,2016
93,Kazakhstan,19.64,2018
94,Romania,19.33,2016
95,Belarus,19.23,2018
96,The Bahamas,19.03,2016
97,Czech Republic,18.93,2013
98,Dominican Republic,18.92,2017
99,Comoros,18.9,2017
100,Bolivia,18.76,2017
101,Jordan,18.54,2018
102,France,18.18,2013
103,Moldova,17.92,2018
104,Australia,17.88,1999
105,Chile,17.79,2017
106,Bulgaria,17.61,2016
107,Trinidad and Tobago,17.58,2009
108,Albania,17.57,2018
109,Canada,17.42,2000
110,Peru,17.39,2018
111,Argentina,17.23,2008
112,Indonesia,17.03,2018
113,Turkey,16.98,2017
114,Iraq,16.96,2007
115,Bosnia and Herzegovina,16.93,2018
116,Libya,16.9,1983
117,Tunisia,16.87,2018
118,China,16.43,2018
119,South Korea,16.29,2017
120,Thailand,16.22,2017
121,Mauritius,16.2,2018
122,Grenada,16.18,2017
123,Ireland,16.06,2012
124,Cayman Islands,15.75,2018
125,Palau,15.66,2000
126,Japan,15.66,2017
127,Tuvalu,15.58,2018
128,Slovakia,15.54,2017
129,Azerbaijan,15.43,2018
130,Armenia,15.42,2018
131,United Kingdom,15.13,2017
132,New Zealand,14.92,2017
133,St. Lucia,14.74,2018
134,Singapore,14.69,2017
135,Seychelles,14.49,2018
136,North Macedonia,14.41,2015
137,St. Vincent and the Grenadines,14.39,2018
138,Serbia,14.29,2018
139,United States,14.2,2017
140,Barbados,13.99,2018
141,St. Kitts and Nevis,13.87,2016
142,Saudi Arabia,13.81,2018
143,Slovenia,13.8,2016
144,Finland,13.67,2017
145,Puerto Rico,13.54,2016
146,Lithuania,13.52,2017
147,Croatia,13.51,2016
148,"Macao SAR, China",13.5,2018
149,Suriname,13.39,2018
150,"Hong Kong SAR, China",13.35,2018
151,Spain,13.13,2017
152,Dominica,13.08,2016
153,Malta,13.03,2016
154,Ukraine,12.98,2018
155,Lebanon,12.48,2017
156,Antigua and Barbuda,12.41,2018
157,Portugal,12.35,2017
158,Germany,12.3,2017
159,Sweden,12.23,2017
160,Costa Rica,12.2,2018
161,Qatar,12.17,2018
162,Israel,12.07,2016
163,Bahrain,11.92,2018
164,Cyprus,11.92,2015
165,Netherlands,11.81,2017
166,Monaco,11.7,2019
167,Malaysia,11.66,2017
168,Italy,11.48,2017
169,Latvia,11.33,2016
170,Estonia,11.31,2017
171,Belgium,11.28,2017
172,Uruguay,11.02,2017
173,Hungary,10.77,2016
174,Denmark,10.74,2014
175,Andorra,10.5,2018
176,Poland,10.18,2017
177,Iceland,10.14,2015
178,Austria,10.02,2017
179,Switzerland,9.93,2017
180,Brunei,9.9,2018
181,Oman,9.67,2018
182,Greece,9.38,2017
183,Cuba,9.16,2018
184,Georgia,8.98,2018
185,Kuwait,8.88,2018
186,Norway,8.59,2017
187,Luxembourg,8.3,2016
188,Liechtenstein,7.68,2016
189,San Marino,6.93,2018
