0,1
Turkey,3759817
Jordan,3047612
Palestine,2400208
Uganda,1529903
Pakistan,1491070
Lebanon,1328541
Germany,1255694
Sudan,1103918
Bangladesh,918907
Ethiopia,821283
Iran,798343
Syria,589542
Chad,555782
DR Congo,524148
France,499914
Kenya,481048
Cameroon,457269
USA,339179
China,303436
Egypt,280686
Iraq,280072
Niger,249945
Sweden,240854
India,212413
Tanzania,207101
Austria,152514
Italy,144862
UK,137078
Malaysia,132086
Canada,130125
Spain,122539
Rwanda,121896
Greece,119650
Switzerland,118829
Mauritania,101942
Thailand,100510
Netherlands,99585
Algeria,97890
Yemen,89467
Burundi,81491
Nigeria,77132
South Africa,75512
Zambia,75154
Belgium,74063
Mexico,73448
Afghanistan,66949
Brazil,61956
Ecuador,56603
Australia,55606
Mali,49975
Norway,46042
R. of Congo,40765
Venezuela,39328
Denmark,36023
Armenia,34728
Angola,26045
Serbia,25644
Burkina Faso,25010
Finland,24078
Djibouti,23232
Bulgaria,22830
Malawi,21529
Nepal,19574
Cyprus,16277
Senegal,14479
Somalia,13804
Uzbekistan,13032
Ghana,11894
Papua N.G.,11839
Russia,10901
Tajikistan,10724
Togo,10683
Costa Rica,10224
Indonesia,9982
Ireland,9571
Zimbabwe,9483
Malta,9335
C.A. Republic,9305
Liberia,8169
Morocco,7272
Luxembourg,6011
Peru,5790
Guinea,5741
Hungary,5676
Poland,4875
Mozambique,4797
Paraguay,4484
Gambia,4418
Ivory Coast,4349
Romania,4200
Argentina,4050
Namibia,3733
Tr.&Tobago,3571
South Korea,3559
Tunisia,3186
Libya,3141
Belarus,2729
Portugal,2651
Panama,2542
Ukraine,2382
Chile,2065
Czechia,1909
Lithuania,1880
G.-Bissau,1846
Iceland,1830
Georgia,1818
New Zealand,1794
Benin,1736
Azerbaijan,1676
Colombia,1504
UA Emirates,1355
Israel,1191
Japan,1132
Bolivia,1116
Slovakia,1046
Croatia,1020
Sri Lanka,907
Swaziland,895
Uruguay,877
Slovenia,839
Philippines,801
Kuwait,720
Latvia,705
Botswana,688
Guatemala,479
Kazakhstan,352
Moldova,349
Sierra Leone,345
Saudi Arabia,333
Estonia,321
Kyrgyzstan,317
Nicaragua,313
Lesotho,296
Oman,295
North Macedonia,292
Gabon,272
Hong Kong,271
Bahrain,256
Bosnia & Herz.,240
Qatar,197
Montenegro,175
Madagascar,165
Domin. Rep.,162
Honduras,144
Liechtenstein,133
Eritrea,121
Albania,109
El Salvador,98
Belize,86
Guyana,40
Jamaica,31
Suriname,29
Comoros,27
Cambodia,24
Fiji,18
Monaco,17
Turkmenistan,16
Bahamas,10
Mauritius,10
