0,1
Antarctic Circle,"66°33′39""S"
 South Georgia and the South Sandwich Islands,59°42′S
 Chile,56°32′S
,53°53′S
 Argentina,55°04′S
,52°24′S
 Australia,55°03′S
,43°38′S
,39°08′S
 Bouvet Island,54°27′S
 Falkland Islands,52°53′S
 New Zealand,52°37′S
,46°40′S
 French Southern and Antarctic Lands (Except Antarctica),50°01′S
 South Africa,46°59′S
,34°50′S
 Uruguay,35°02′S
,34°58′S
 Brazil,33°45′S
 Lesotho,30°40′S
 Namibia,28°58′S
 French Polynesia,27°55′S
 Paraguay,27°43′S
 Eswatini (Swaziland),27°19′S
 Botswana,26°54′S
 Mozambique,26°52′S
 Madagascar,25°37′S
Tropic of Capricorn,23°26′21″S
 Bolivia,22°54′S
 Zimbabwe,22°25′S
 France,22°23′S
 Tonga,22°21′S
 Fiji,21°44′S
 Mauritius,20°32′S
 Vanuatu,20°15′S
 Peru,18°21′S
 Zambia,18°05′S
 Angola,18°02′S
 Malawi,17°07′S
 American Samoa,14°34′S
 Samoa,14°04′S
 Democratic Republic of the Congo,13°27′S
 Comoros,12°25′S
 Solomon Islands,11°47′S
 Papua New Guinea,11°46′S
,10°42′S
 Tanzania,11°45′S
 Kiribati,11°26′S
 Indonesia,11°00′S
 Tuvalu,10°48′S
 Seychelles,10°13′S
 East Timor,09°30′S
 Tokelau,09°21′S
 British Indian Ocean Territory,07°26′S
 Republic of the Congo,05°02′S
 Ecuador,05°00′S
 Kenya,04°43′S
 Burundi,04°28′S
 Colombia,04°14′S
 Gabon,03°59′S
 Rwanda,02°51′S
 Somalia,01°40′S
 Uganda,01°29′S
 Equatorial Guinea,01°28′S
 Maldives,00°42′S
 Nauru,00°33′S
 São Tomé and Príncipe,00°01′S
Equator,00°00′00″
 Venezuela,00°40′N
 Malaysia,00°51′N
 Federated States of Micronesia,01°01′N
 Singapore,01°09′N
 Guyana,01°11′N
 Cameroon,01°39′N
 Suriname,01°50′N
 French Guiana,02°06′N
 Central African Republic,02°13′N
 Palau,02°47′N
 Ethiopia,03°24′N
 South Sudan,03°29′N
 Brunei,04°00′N
 Nigeria,04°17′N
 Liberia,04°21′N
 Côte d'Ivoire,04°22′N
 Marshall Islands,04°34′N
 Philippines,04°35′N
 Ghana,04°44′N
 Costa Rica,05°31′N
,08°04′N
 Thailand,05°37′N
 United States,05°53′N
,18°54′N
,25°07′N
 Sri Lanka,05°55′N
 Togo,06°07′N
 Benin,06°14′N
 India,06°44′N
,08°06′N
 Sierra Leone,06°56′N
 Panama,07°11′N
 Guinea,07°12′N
 Chad,07°27′N
 Vietnam,07°51′N
,08°25′N
,08°35′N
 Sudan,08°41′N
,09°30′N
 China,08°51′N
,18°10′N
,20°14′N
 Burkina Faso,09°24′N
 Myanmar,09°36′N
,09°59′N
 Cambodia,09°55′N
,10°24′N
 Trinidad and Tobago,10°03′N
 Mali,10°09′N
 Taiwan,10°23′N
,20°41′N
,21°53′N
 Nicaragua,10°43′N
 Guinea-Bissau,10°52′N
,10°55′N
 Djibouti,10°56′N
 Niger,11°42′N
 Curaçao,11°59′N
 Grenada,11°59′N
 Netherlands,12°01′N
,50°76′N
 Yemen,12°06′N
,12°36′N
 Senegal,12°18′N
 Eritrea,12°22′N
 Saint Vincent and the Grenadines,12°32′N
 Honduras,12°59′N
 Gambia,13°02′N
 Barbados,13°03′N
 El Salvador,13°09′N
 Saint Lucia,13°42′N
 Guatemala,13°44′N
 Laos,13°55′N
 Mexico,14°32′N
 Mauritania,14°43′N
 Cape Verde,14°48′N
 Dominica,15°12′N
 Belize,15°53′N
 Saudi Arabia,16°23′N
 Oman,16°39′N
 Montserrat,16°40′N
 Antigua and Barbuda,16°56′N
 Saint Kitts and Nevis,17°06′N
 Dominican Republic,17°28′N
,17°36′N
 Jamaica,17°42′N
 Haiti,18°01′N
 Algeria,18°58′N
 Libya,19°30′N
 Cuba,19°50′N
 Japan,20°25′N
,24°44′N
,30°59′N
 Bangladesh,20°35′N
,20°45′N
Western Sahara,20°47′N
 Morocco*,21°20′N
,27°40′N
 Bahamas,20°55′N
 Egypt,21°44′N
,22°00′N
 Hong Kong,22°9′14″N
 United Arab Emirates,22°38′N
Tropic of Cancer,23°26′21″N
 Pakistan,23°42′N
 Qatar,24°28′N
 Iran,25°04′N
 Bahrain,25°34′N
   Nepal,26°22′N
 Bhutan,26°43′N
 Spain,27°38′N
,36°00′N
 Kuwait,28°32′N
 Iraq,29°04′N
 Jordan,29°11′N
 Afghanistan,29°23′N
 Israel,29°30′N
 Portugal,30°03′N
,36°57′N
 Tunisia,30°15′N
 Syria,32°19′N
 Lebanon,33°03′N
 South Korea,33°06′N
,34°17′N
 Cyprus,34°33′N
 Greece,34°49′N
,36°23′N
 Turkmenistan,35°09′N
 Italy,35°30′N
,37°56′N
 Malta,35°47′N
 Turkey,35°49′N
 Tajikistan,36°40′N
 Uzbekistan,37°11′N
 North Korea,37°40′N
 Azerbaijan,38°24′N
 Armenia,38°50′N
 Kyrgyzstan,39°10′N
 Albania,39°39′N
 Kazakhstan,40°34′N
 North Macedonia,40°52′N
 Georgia,41°03′N
 Russia,41°11′N
 Bulgaria,41°15′N
 France (Metropolitan France),41°20′N
,42°20′N
 Mongolia,41°34′N
 Canada,41°41′N
,41°57′N
 Serbia,41°48′N
,42°13′N
 Montenegro,41°51′N
  Vatican City,41°54′N
 Croatia,42°23′N
 Andorra,42°26′N
 Bosnia and Herzegovina,42°34′N
 Romania,43°38′N
 Monaco,43°44′N
 San Marino,43°54′N
 Ukraine,44°23′N
,
 Slovenia,45°25′N
 Moldova,45°28′N
 Hungary,45°45′N
 Switzerland,45°50′N
 Austria,46°23′N
 Saint Pierre and Miquelon,46°45′N
 Liechtenstein,47°03′N
 Germany,47°17′N
 Slovakia,47°44′N
 Czech Republic,48°33′N
 Poland,49°00′N
 Luxembourg,49°27′N
 Belgium,49°30′N
 United Kingdom,49°52′N
,49°57′N
 England,49°52′N
 Netherlands (European Netherlands),50°45′N
 Belarus,51°15′N
 Ireland,51°23′N
,51°26′N
 Wales,51°23′N
 Lithuania,53°54′N
 Northern Ireland,54°01′N
 Denmark,54°34′N
 Scotland,54°38′N
 Sweden,55°20′N
 Latvia,55°40′N
 Estonia,57°31′N
 Norway,57°57′N
,58°00′N
 Greenland,59°46′N
,60°08′N
 Finland,59°30′N
,59°48′N
 Faroe Islands,61°20′N
 Iceland,63°17′N
,63°23′N
