country,number,item,item_id
Afghanistan,49,Kabul International Airport,http://www.wikidata.org/entity/Q744802
Afghanistan,29,Kandahar International Airport,http://www.wikidata.org/entity/Q33156
Afghanistan,22,Mazar-i-Sharif Airport,http://www.wikidata.org/entity/Q703013
Afghanistan,22,Herat International Airport,http://www.wikidata.org/entity/Q1431482
Afghanistan,19,Jalalabad Airport,http://www.wikidata.org/entity/Q2742390
Afghanistan,17,Fayzabad Airport,http://www.wikidata.org/entity/Q671801
Afghanistan,16,Zaranj Airport,http://www.wikidata.org/entity/Q1432790
Afghanistan,16,Chaghcharan Airport,http://www.wikidata.org/entity/Q1837469
Afghanistan,14,Bost Airport,http://www.wikidata.org/entity/Q2723683
Afghanistan,14,Qala i Naw Airport,http://www.wikidata.org/entity/Q2875606
Afghanistan,14,Bamyan Airport,http://www.wikidata.org/entity/Q2875811
Afghanistan,13,Tarin Kowt Airport,http://www.wikidata.org/entity/Q2736618
Afghanistan,13,Farah Airport,http://www.wikidata.org/entity/Q2875486
Afghanistan,12,Sheghnan Airport,http://www.wikidata.org/entity/Q2875649
Afghanistan,11,Khwahan Airport,http://www.wikidata.org/entity/Q2381990
Afghanistan,11,Taloqan Airport,http://www.wikidata.org/entity/Q2875669
Afghanistan,9,Darwaz Airport,http://www.wikidata.org/entity/Q2875462
Afghanistan,9,Khost Airfield,http://www.wikidata.org/entity/Q2875517
Afghanistan,9,Sheberghan Airfield,http://www.wikidata.org/entity/Q2875655
Afghanistan,8,Maymana Airport,http://www.wikidata.org/entity/Q2875530
Afghanistan,8,Ghazni Airport,http://www.wikidata.org/entity/Q3273815
Afghanistan,7,Sardeh Band Airport,http://www.wikidata.org/entity/Q7423786
Afghanistan,7,Yawan Airport,http://www.wikidata.org/entity/Q15040970
Afghanistan,6,Eshkashem Airport,http://www.wikidata.org/entity/Q15040959
Afghanistan,5,Muqur airport,http://www.wikidata.org/entity/Q15040963
Afghanistan,5,Nili Airport,http://www.wikidata.org/entity/Q15040964
Afghanistan,5,Taywara Airport,http://www.wikidata.org/entity/Q15040968
Afghanistan,5,Yangi Qaleh Airport,http://www.wikidata.org/entity/Q15040969
Afghanistan,4,Panjab Airport,http://www.wikidata.org/entity/Q15040965
Afghanistan,3,Ghaziabad Airport,http://www.wikidata.org/entity/Q15040961
Afghanistan,3,Qalat Airport,http://www.wikidata.org/entity/Q19931172
Afghanistan,2,Khojaghar Airport,http://www.wikidata.org/entity/Q14932977
Afghanistan,1,Nimruz,http://www.wikidata.org/entity/Q11824632
Albania,43,Tirana International Airport Nënë Tereza,http://www.wikidata.org/entity/Q217226
Albania,17,Kukës International Airport Zayed,http://www.wikidata.org/entity/Q1431804
Albania,12,Korçë Northwest Airport,http://www.wikidata.org/entity/Q3504965
Albania,6,Lapraka Airfield,http://www.wikidata.org/entity/Q6488373
Albania,5,Shkodër Airport,http://www.wikidata.org/entity/Q6612636
Albania,5,Vlora Airport,http://www.wikidata.org/entity/Q55637197
Albania,1,Q11824340,http://www.wikidata.org/entity/Q11824340
Albania,1,Q11824593,http://www.wikidata.org/entity/Q11824593
Albania,1,Vlora International Airport,http://www.wikidata.org/entity/Q56063404
Algeria,33,Algiers Houari Boumediene Airport,http://www.wikidata.org/entity/Q623452
Algeria,24,Oran Ahmed Ben Bella Airport,http://www.wikidata.org/entity/Q637028
Algeria,23,Mohamed Boudiaf International Airport,http://www.wikidata.org/entity/Q2510194
Algeria,20,Annaba Rabah Bitat Airport,http://www.wikidata.org/entity/Q979270
Algeria,17,Aguenar–Hadj Bey Akhamok Airport,http://www.wikidata.org/entity/Q1951782
Algeria,16,Biskra Mohamed Khider Airport,http://www.wikidata.org/entity/Q598215
Algeria,15,Zenata – Messali El Hadj Airport,http://www.wikidata.org/entity/Q2875969
Algeria,14,Touat-Cheikh Sidi Mohamed Belkebir Airport,http://www.wikidata.org/entity/Q2875746
Algeria,14,In Aménas Airport,http://www.wikidata.org/entity/Q2876003
Algeria,14,Chlef International Airport,http://www.wikidata.org/entity/Q2228220
Algeria,13,Oued Irara–Krim Belkacem Airport,http://www.wikidata.org/entity/Q25060
Algeria,13,Mostépha Ben Boulaid Airport,http://www.wikidata.org/entity/Q2265566
Algeria,13,Noumérat – Moufdi Zakaria Airport,http://www.wikidata.org/entity/Q1432199
Algeria,13,Ain Arnat Airport,http://www.wikidata.org/entity/Q2875946
Algeria,12,Djanet Inedbirene Airport,http://www.wikidata.org/entity/Q2365220
Algeria,12,Soummam – Abane Ramdane Airport,http://www.wikidata.org/entity/Q2875809
Algeria,12,Jijel Ferhat Abbas Airport,http://www.wikidata.org/entity/Q2875839
Algeria,12,Cheikh Larbi Tébessi Airport,http://www.wikidata.org/entity/Q1708790
Algeria,11,In Salah Airport,http://www.wikidata.org/entity/Q3018067
Algeria,11,Guemar Airport,http://www.wikidata.org/entity/Q2875773
Algeria,11,Boudghene Ben Ali Lotfi Airport,http://www.wikidata.org/entity/Q2875808
Algeria,11,Timimoun Airport,http://www.wikidata.org/entity/Q2875952
Algeria,11,El Golea Airport,http://www.wikidata.org/entity/Q5351317
Algeria,10,Tindouf Airport,http://www.wikidata.org/entity/Q979632
Algeria,10,In Guezzam Airport,http://www.wikidata.org/entity/Q2875774
Algeria,10,Takhamalt Airport,http://www.wikidata.org/entity/Q2875776
Algeria,10,Bordj Mokhtar Airport,http://www.wikidata.org/entity/Q2875797
Algeria,10,Ghriss Airport,http://www.wikidata.org/entity/Q2875824
Algeria,10,L'Mekrareg Airport,http://www.wikidata.org/entity/Q2875853
Algeria,10,Tiaret - Abdelhafid Boussouf Bou Chekif Airport,http://www.wikidata.org/entity/Q2875951
Algeria,10,Sidi Mahdi Airport,http://www.wikidata.org/entity/Q2875965
Algeria,9,Blida Airport,http://www.wikidata.org/entity/Q598785
Algeria,9,Ain Eddis Airport,http://www.wikidata.org/entity/Q2875796
Algeria,9,Hassi R'Mel Airport,http://www.wikidata.org/entity/Q3886186
Algeria,8,Ain Beida Airport,http://www.wikidata.org/entity/Q4264562
Algeria,8,Oran Tafraoui Airport,http://www.wikidata.org/entity/Q6588435
Algeria,7,Mostaganem Airport,http://www.wikidata.org/entity/Q3886847
Algeria,7,Mécheria Airport,http://www.wikidata.org/entity/Q2875858
Algeria,6,Relizane Airport,http://www.wikidata.org/entity/Q7311434
Algeria,6,Skikda Airport,http://www.wikidata.org/entity/Q7535164
Algeria,5,Tsletsi Airport,http://www.wikidata.org/entity/Q4263825
Algeria,5,Telergma Airport,http://www.wikidata.org/entity/Q6588452
Algeria,5,Reggane Airport,http://www.wikidata.org/entity/Q12474103
Algeria,5,Sidi Bel Abbes Airport,http://www.wikidata.org/entity/Q14932979
Algeria,3,El Bayadh Airport,http://www.wikidata.org/entity/Q2875767
Algeria,3,Aïn Oussera Airport,http://www.wikidata.org/entity/Q12691457
Algeria,2,Oum el Bouaghi Airport,http://www.wikidata.org/entity/Q16896254
Algeria,1,Bordj Omar Driss Airport,http://www.wikidata.org/entity/Q16209300
Algeria,1,Guelma Belkheir Airport,http://www.wikidata.org/entity/Q16891939
Algeria,1,M'Sila Airport,http://www.wikidata.org/entity/Q16894411
Andorra,1,Q106912001,http://www.wikidata.org/entity/Q106912001
Angola,31,Quatro de Fevereiro Airport,http://www.wikidata.org/entity/Q598002
Angola,19,Lubango Airport,http://www.wikidata.org/entity/Q2089913
Angola,17,Benguela Airport,http://www.wikidata.org/entity/Q619993
Angola,17,Albano Machado Airport,http://www.wikidata.org/entity/Q2231318
Angola,16,Cabinda Airport,http://www.wikidata.org/entity/Q3315730
