country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,7,Somaya Faruqi,http://www.wikidata.org/entity/Q102271635,wd:Q102271635,67549518,Afghanistan robotics expert
Afghanistan,3,Shukria Tabassum,http://www.wikidata.org/entity/Q24962829,wd:Q24962829,,
Afghanistan,3,Fatima Amiri,http://www.wikidata.org/entity/Q115650545,wd:Q115650545,,
Afghanistan,2,Setayesh Qorayshi,http://www.wikidata.org/entity/Q23841686,wd:Q23841686,50213854,Afghan rape and murder victim
Afghanistan,1,Fariba Hashimi,http://www.wikidata.org/entity/Q114837812,wd:Q114837812,,
Afghanistan,1,Fatima Sultani,http://www.wikidata.org/entity/Q109969091,wd:Q109969091,,
Afghanistan,1,Shogufa Safi,http://www.wikidata.org/entity/Q110028761,wd:Q110028761,,
Afghanistan,1,Lola Vallelian,http://www.wikidata.org/entity/Q16572642,wd:Q16572642,,
Albania,9,Lara Colturi,http://www.wikidata.org/entity/Q114350597,wd:Q114350597,71890695,Italian-born Albanian alpine skier
Italy,9,Lara Colturi,http://www.wikidata.org/entity/Q114350597,wd:Q114350597,71890695,Italian-born Albanian alpine skier
Albania,5,Inis Neziri,http://www.wikidata.org/entity/Q104213757,wd:Q104213757,66121964,Albanian singer and songwriter
Albania,3,Igzidora Gjeta,http://www.wikidata.org/entity/Q2934257,wd:Q2934257,,
Albania,2,Esi Lufo,http://www.wikidata.org/entity/Q94538157,wd:Q94538157,63968305,Albanian association football player
Albania,2,Kler Çaku,http://www.wikidata.org/entity/Q110649016,wd:Q110649016,69433225,Albanian chess player
Albania,2,Mrika Nikçi,http://www.wikidata.org/entity/Q66493903,wd:Q66493903,62533154,youngest female seven summits
Albania,2,Markela Bejleri,http://www.wikidata.org/entity/Q94538137,wd:Q94538137,63968340,Albanian association football player
Albania,2,Anna Memija,http://www.wikidata.org/entity/Q105721782,wd:Q105721782,67276500,Albanian association football player
Albania,1,Anna Gebrea,http://www.wikidata.org/entity/Q109413002,wd:Q109413002,,
Albania,1,Antigona Hyska,http://www.wikidata.org/entity/Q98091056,wd:Q98091056,65663130,Albanian association football player
Albania,1,Ilarja Zarka,http://www.wikidata.org/entity/Q97751178,wd:Q97751178,68619391,Albanian association football player
Albania,1,Klea Hamonikaj,http://www.wikidata.org/entity/Q98070919,wd:Q98070919,68620203,Albanian association football player
Albania,1,Vanesa Levenaj,http://www.wikidata.org/entity/Q104904335,wd:Q104904335,66434119,Albanian footballer
Albania,1,Valentina Troka,http://www.wikidata.org/entity/Q108369813,wd:Q108369813,68620420,Albanian footballer
Albania,1,Matilda Gjergji,http://www.wikidata.org/entity/Q98068931,wd:Q98068931,69402479,Albanian association football player
Albania,1,Armela Tukaj,http://www.wikidata.org/entity/Q98070934,wd:Q98070934,68619463,Albanian association football player
Albania,1,Aglia Iliadhi,http://www.wikidata.org/entity/Q98091057,wd:Q98091057,69402683,Albanian association football player
Albania,1,Relaksa Dauti,http://www.wikidata.org/entity/Q83468342,wd:Q83468342,,
Albania,1,Mikaela Metalla,http://www.wikidata.org/entity/Q98070924,wd:Q98070924,66435936,Albanian association football player
Algeria,7,Loubna Benhadja,http://www.wikidata.org/entity/Q67798460,wd:Q67798460,68367591,Algerian athletics competitor
Algeria,5,Linda Mazri,http://www.wikidata.org/entity/Q27906406,wd:Q27906406,65424169,badminton player
Algeria,4,Ichrak Chaib,http://www.wikidata.org/entity/Q107708330,wd:Q107708330,68343891,Algerian boxer
Algeria,4,Meriem Mebarki,http://www.wikidata.org/entity/Q94664146,wd:Q94664146,68352950,Algerian fencer
Algeria,4,Kaouther Mohamed Belkebir,http://www.wikidata.org/entity/Q94664630,wd:Q94664630,69441398,Algerian fencer
Algeria,4,Louiza Abouriche,http://www.wikidata.org/entity/Q112730678,wd:Q112730678,71544192,Algerian karateka
Algeria,3,Inès Bekrar,http://www.wikidata.org/entity/Q70463988,wd:Q70463988,62033300,Algerian tennis player
Algeria,3,Cylia Ouikene,http://www.wikidata.org/entity/Q112730449,wd:Q112730449,71266497,Algerian karateka
Algeria,2,Imene Kawthar Zitouni,http://www.wikidata.org/entity/Q56640156,wd:Q56640156,,
