country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388,wd:Q172388,404323,President of Afghanistan from 2014 to 2021
Afghanistan,56,Burhanuddin Rabbani,http://www.wikidata.org/entity/Q188667,wd:Q188667,4611,"Afghanistan politician, former President of Afghanistan (1992-2001)"
Afghanistan,33,Abu Ma'shar al-Balkhi,http://www.wikidata.org/entity/Q11373,wd:Q11373,1253603,Persian astrologer and Islamic philosopher (787-886)
Afghanistan,33,Abdul Ahad Mohmand,http://www.wikidata.org/entity/Q77349,wd:Q77349,471643,Afghan astronaut
Afghanistan,25,Abu Zayd al-Balkhi,http://www.wikidata.org/entity/Q335516,wd:Q335516,1792709,Persian polymath
Afghanistan,25,Abu Saʿīd Gardēzī,http://www.wikidata.org/entity/Q563574,wd:Q563574,1909734,Iranian historian
Afghanistan,6,Shakardokht Jafari,http://www.wikidata.org/entity/Q50825700,wd:Q50825700,56874433,Medical physicist
Afghanistan,6,Zemaryalai Tarzi,http://www.wikidata.org/entity/Q3489649,wd:Q3489649,8942887,Afghan archaeologist
Afghanistan,5,Habib Mangal,http://www.wikidata.org/entity/Q1566849,wd:Q1566849,27664378,Afghanistan Diplomat
Afghanistan,5,Ajmal Ahmady,http://www.wikidata.org/entity/Q105641732,wd:Q105641732,66799419,Afghan diplomat and politician
Afghanistan,5,Daud Shah Saba,http://www.wikidata.org/entity/Q5227860,wd:Q5227860,32741409,"Ex-Governor of Herat Province, Afghanistan"
Afghanistan,4,Muhammad ibn Yusuf al-Harawi,http://www.wikidata.org/entity/Q4116947,wd:Q4116947,1840730,Persian physician
Afghanistan,4,Ahmad Naser Sarmast,http://www.wikidata.org/entity/Q22280314,wd:Q22280314,48533335,Afghan-Australian ethnomusicologist
Afghanistan,3,Sediq Afghan,http://www.wikidata.org/entity/Q7445321,wd:Q7445321,223167,"Philosopher, mathematician"
Afghanistan,3,Bernard van Praag,http://www.wikidata.org/entity/Q822826,wd:Q822826,30200213,Dutch economist
Afghanistan,3,Waheed Muzhda,http://www.wikidata.org/entity/Q16733080,wd:Q16733080,35538297,Afghan political analyst
