,country,number,item,item_id,shortform,pageid,wikidata_description
0,Afghanistan,75.0,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
1,Iran,75.0,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet
2,Afghanistan,74.0,Abbas the Great,http://www.wikidata.org/entity/Q171349,wd:Q171349,299824,Shah of Safavid Iran (1571-1629)
3,Afghanistan,67.0,Humayun,http://www.wikidata.org/entity/Q486188,wd:Q486188,14055,2nd mughal emperor
4,Afghanistan,61.0,Mahmud of Ghazni,http://www.wikidata.org/entity/Q189271,wd:Q189271,651860,11th century Sultan of Ghazni
5,Afghanistan,60.0,Ahmed Shahe Durrani,http://www.wikidata.org/entity/Q46798,wd:Q46798,1560,"founder of the Durrani Empire, considered founder of the state of Afghanistan"
6,Afghanistan,60.0,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
7,Uzbekistan,60.0,Ali-Shir Nava'i,http://www.wikidata.org/entity/Q503340,wd:Q503340,1633378,Turkic poet and politician (1441–1501)
8,Afghanistan,53.0,Amānullāh Khān,http://www.wikidata.org/entity/Q153620,wd:Q153620,788767,King and Emir of Afghanistan (1892-1960)
9,Afghanistan,52.0,Jamal al-Din al-Afghani,http://www.wikidata.org/entity/Q298434,wd:Q298434,946750,Political activist and Islamic ideologist
10,Afghanistan,51.0,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
11,Tajikistan,51.0,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
12,Turkmenistan,51.0,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
13,Uzbekistan,51.0,Roxana,http://www.wikidata.org/entity/Q190055,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great
14,Afghanistan,50.0,Abdur Rahman Khan,http://www.wikidata.org/entity/Q31649,wd:Q31649,2695,emir of Afghanistan
15,Afghanistan,43.0,Mohammed Nadir Shah,http://www.wikidata.org/entity/Q355610,wd:Q355610,27666673,King of Afghanistan (1929-1933)
16,Afghanistan,43.0,Dost Mohammad Khan,http://www.wikidata.org/entity/Q32027,wd:Q32027,314537,first Emir of Afghanistan (1823-1863)
17,Afghanistan,41.0,Muhammad of Ghor,http://www.wikidata.org/entity/Q1647182,wd:Q1647182,852292,Ghurid Sultan
18,Afghanistan,38.0,Habibullah Khan,http://www.wikidata.org/entity/Q334869,wd:Q334869,680130,Emir of Afghanistan (1901-1919)
19,Uzbekistan,38.0,Habibullah Khan,http://www.wikidata.org/entity/Q334869,wd:Q334869,680130,Emir of Afghanistan (1901-1919)
20,Afghanistan,38.0,Nur Jahan,http://www.wikidata.org/entity/Q541530,wd:Q541530,455443,Padshah Begum of the Mughal Empire (1577-1645)
21,Afghanistan,33.0,Abu Ma'shar al-Balkhi,http://www.wikidata.org/entity/Q11373,wd:Q11373,1253603,Persian astrologer and Islamic philosopher (787-886)
22,Afghanistan,33.0,Menander I,http://www.wikidata.org/entity/Q347878,wd:Q347878,180796,king of the Indo-Greek Kingdom who administered a large empire in the Northwestern regions of the Indian Subcontinent from his capital at Sagala; a patron of Buddhism
23,Afghanistan,33.0,Khwaja Abdullah Ansari,http://www.wikidata.org/entity/Q558205,wd:Q558205,3589304,Persian writer
24,Afghanistan,31.0,Demetrius I of Bactria,http://www.wikidata.org/entity/Q347916,wd:Q347916,167337,Bactrian King
25,Tajikistan,31.0,Demetrius I of Bactria,http://www.wikidata.org/entity/Q347916,wd:Q347916,167337,Bactrian King
26,Turkmenistan,31.0,Demetrius I of Bactria,http://www.wikidata.org/entity/Q347916,wd:Q347916,167337,Bactrian King
27,Uzbekistan,31.0,Demetrius I of Bactria,http://www.wikidata.org/entity/Q347916,wd:Q347916,167337,Bactrian King
28,Afghanistan,31.0,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535)
29,Albania,74.0,Skanderbeg,http://www.wikidata.org/entity/Q160614,wd:Q160614,10780405,Albanian feudal lord and military commander (1405-1468)
30,Albania,61.0,Zog I,http://www.wikidata.org/entity/Q60699,wd:Q60699,175320,"Albanian prime minister, president and king (1895-1961) (r.1922-1939)"
31,Albania,57.0,Anastasius I,http://www.wikidata.org/entity/Q173470,wd:Q173470,25876,Byzantine emperor (430-518)
32,Albania,53.0,Flavius Valerius Severus,http://www.wikidata.org/entity/Q46814,wd:Q46814,168093,Roman emperor
33,Albania,47.0,Naim Frashëri,http://www.wikidata.org/entity/Q47007,wd:Q47007,327509,Albanian poet and writer (1846-1900)
34,Albania,44.0,Ismail Qemali,http://www.wikidata.org/entity/Q46932,wd:Q46932,256510,Prime Minister of Albania (1844-1919)
35,Albania,38.0,Ali Pasha,http://www.wikidata.org/entity/Q297285,wd:Q297285,291593,Ottoman ruler (1740-1822)
36,Albania,36.0,Safiye Sultan,http://www.wikidata.org/entity/Q437197,wd:Q437197,3715355,(Wife of Murad III) (1550-1621)
37,Albania,35.0,Fan S. Noli,http://www.wikidata.org/entity/Q366307,wd:Q366307,230281,Albanian politician (1882-1965)
38,Albania,32.0,Sami Frashëri,http://www.wikidata.org/entity/Q331896,wd:Q331896,7683956,"Albanian writer, philosopher, playwright (1850-1904)"
39,Albania,30.0,Shote Galica,http://www.wikidata.org/entity/Q1280655,wd:Q1280655,30140050,Hero of Albania (1895-1927)
40,Kosovo,30.0,Shote Galica,http://www.wikidata.org/entity/Q1280655,wd:Q1280655,30140050,Hero of Albania (1895-1927)
41,Albania,29.0,Joanna II of Naples,http://www.wikidata.org/entity/Q236933,wd:Q236933,954798,Queen of Naples (1373-1435)
42,Albania,29.0,Alexandros I of Epirus,http://www.wikidata.org/entity/Q335658,wd:Q335658,1585,king of Epirus (350–331 BC) of the Aeacid dynasty
43,Albania,28.0,Aleksander Stavre Drenova,http://www.wikidata.org/entity/Q380794,wd:Q380794,166950,Albanian poet
44,Albania,27.0,Marinus Barletius,http://www.wikidata.org/entity/Q464230,wd:Q464230,331267,"Catholic priest, Venetian humanist and historian,"
45,Albania,27.0,Kara Ahmed Pasha,http://www.wikidata.org/entity/Q1571856,wd:Q1571856,28902243,Grand Vizier of the Ottoman Empire
46,Albania,26.0,Gjergj Fishta,http://www.wikidata.org/entity/Q115455,wd:Q115455,4110263,Albanian writer (1871-1940)
47,Albania,25.0,Lutfi Pasha,http://www.wikidata.org/entity/Q1584707,wd:Q1584707,29165928,Grand Vizier of the Ottoman Empire
48,Albania,25.0,Köprülü Mehmed Pasha,http://www.wikidata.org/entity/Q728324,wd:Q728324,832624,Albanian Grand Vizier of the Ottoman Empire (1580-1661)
49,Albania,24.0,Lekë Dukagjini,http://www.wikidata.org/entity/Q463876,wd:Q463876,324508,Albanian noble
50,Algeria,202.0,Augustine of Hippo,http://www.wikidata.org/entity/Q8018,wd:Q8018,2030,"early Christian theologian, philosopher and Church Father"
51,Algeria,186.0,Albert Camus,http://www.wikidata.org/entity/Q34670,wd:Q34670,983,"French writer, philosopher and journalist (1913-1960)"
52,France,186.0,Albert Camus,http://www.wikidata.org/entity/Q34670,wd:Q34670,983,"French writer, philosopher and journalist (1913-1960)"
53,Algeria,90.0,Apuleius,http://www.wikidata.org/entity/Q170512,wd:Q170512,1789,"Latin-language prose writer, Platonist philosopher and rhetorician"
54,Algeria,74.0,Macrinus,http://www.wikidata.org/entity/Q1752,wd:Q1752,20633,Roman Emperor (164-218)
55,Algeria,67.0,Abdelkader El Djezairi,http://www.wikidata.org/entity/Q179825,wd:Q179825,413671,19th century Algerian religious and military leader (1808-1883)
56,Algeria,45.0,Édouard-Henri Avril,http://www.wikidata.org/entity/Q122427,wd:Q122427,11451056,French painter artist (1849-1928)
57,Algeria,45.0,Jugurtha,http://www.wikidata.org/entity/Q156173,wd:Q156173,157544,King of Numidia
58,Algeria,41.0,Juba II,http://www.wikidata.org/entity/Q315670,wd:Q315670,74699,crown prince of Numidia and King of Mauretania (c. 48 BC - AD 23)
59,Algeria,40.0,Monica of Hippo,http://www.wikidata.org/entity/Q234689,wd:Q234689,740416,Christian saint; mother of St. Augustine
60,Algeria,38.0,Martianus Capella,http://www.wikidata.org/entity/Q348408,wd:Q348408,737686,Latin prose writer of Late Antiquity
61,Algeria,35.0,Jean Richepin,http://www.wikidata.org/entity/Q551744,wd:Q551744,592153,"French poet, novelist and dramatist (1849-1926)"
62,Algeria,35.0,Marcus Cornelius Fronto,http://www.wikidata.org/entity/Q317055,wd:Q317055,78432,2nd century Roman rhetorician and advocate
63,Algeria,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
64,Chad,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
65,Mali,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
66,Mauritania,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
67,Morocco,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
68,Niger,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
69,Sudan,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
70,Tunisia,34.0,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106
71,Algeria,33.0,Marcus Minucius Felix,http://www.wikidata.org/entity/Q319423,wd:Q319423,240246,Latin-language writer
72,Algeria,32.0,Dihya,http://www.wikidata.org/entity/Q284295,wd:Q284295,1234207,Berber warrior queen
73,Algeria,31.0,Abd al-Mu'min,http://www.wikidata.org/entity/Q307312,wd:Q307312,1214175,Caliph of the Almohad Empire
74,Algeria,31.0,Priscian,http://www.wikidata.org/entity/Q356433,wd:Q356433,80445,Latin grammarian
75,Algeria,30.0,René Viviani,http://www.wikidata.org/entity/Q431074,wd:Q431074,402516,Prime Minister of France (1862-1925)
76,Algeria,30.0,Juba I,http://www.wikidata.org/entity/Q379277,wd:Q379277,625791,king of Numidia
77,Algeria,29.0,Syphax,http://www.wikidata.org/entity/Q353141,wd:Q353141,442314,King of Numidia
78,Andorra,29.0,Chindasuinth,http://www.wikidata.org/entity/Q334796,wd:Q334796,30864826,Visigothic King of Hispania
79,Andorra,19.0,Juan Benlloch i Vivó,http://www.wikidata.org/entity/Q526235,wd:Q526235,14686994,Spanish (Valencian) Catholic cardinal
80,Andorra,12.0,Salvador Casañas y Pagés,http://www.wikidata.org/entity/Q786613,wd:Q786613,15543968,Spanish author
81,Andorra,9.0,Ramon Iglesias i Navarri,http://www.wikidata.org/entity/Q879315,wd:Q879315,4372057,Spanish of Urgell (1889-1972)
82,Andorra,8.0,Justí Guitart i Vilardebó,http://www.wikidata.org/entity/Q2402274,wd:Q2402274,4372223,Bishop of Urgell and Co-Prince of Andorra
83,Andorra,7.0,Josep Caixal i Estradé,http://www.wikidata.org/entity/Q330398,wd:Q330398,582086,Catholic bishop
84,Andorra,7.0,Saint Lycerius,http://www.wikidata.org/entity/Q2061241,wd:Q2061241,25614502,French bishop and saint
85,Andorra,7.0,Joan Josep Laguarda i Fenollera,http://www.wikidata.org/entity/Q9015669,wd:Q9015669,39567405,Andorran bishop (1866-1913)
86,Andorra,6.0,Francesc Antoni de la Dueña y Cisneros,http://www.wikidata.org/entity/Q559215,wd:Q559215,769742,Catholic bishop (1753-1821)
