country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,31,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535)
Iran,31,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535)
Afghanistan,14,Shamsia Hassani,http://www.wikidata.org/entity/Q19560712,wd:Q19560712,45591082,artist and educator from Afghanistan
Iran,14,Shamsia Hassani,http://www.wikidata.org/entity/Q19560712,wd:Q19560712,45591082,artist and educator from Afghanistan
Afghanistan,7,Malina Suliman,http://www.wikidata.org/entity/Q17081994,wd:Q17081994,42925552,Afghan artist
Afghanistan,7,Dust Muhammad,http://www.wikidata.org/entity/Q4171195,wd:Q4171195,39318389,"Persian painter, calligrapher and art historian"
Afghanistan,4,Nasrollah Sarvari,http://www.wikidata.org/entity/Q106684820,wd:Q106684820,68278385,Afghan painter
Afghanistan,3,Aatifi,http://www.wikidata.org/entity/Q29566442,wd:Q29566442,53885025,Afghan-German artist
Afghanistan,3,Mahbuba Maqsoodi,http://www.wikidata.org/entity/Q88978542,wd:Q88978542,63654035,German-Afghan artist
Afghanistan,2,Natvar Bhavsar,http://www.wikidata.org/entity/Q6981022,wd:Q6981022,19973096,Indian artist
Albania,73,Edi Rama,http://www.wikidata.org/entity/Q316901,wd:Q316901,277805,Albanian politician
Albania,20,Kolë Idromeno,http://www.wikidata.org/entity/Q1390711,wd:Q1390711,1455976,"Albanian painter, sculptor, photographer, architect and engineer (1860-1939)"
Albania,16,Ibrahim Kodra,http://www.wikidata.org/entity/Q2712107,wd:Q2712107,1473077,father of Albanian contemporary art (1918-2006)
Albania,16,Ornela Vorpsi,http://www.wikidata.org/entity/Q464000,wd:Q464000,50150964,Albanian photographer and writer
Albania,13,Sadik Kaceli,http://www.wikidata.org/entity/Q691706,wd:Q691706,25980457,Albanian artist (1914-2000)
Albania,12,Andrea Aleksi,http://www.wikidata.org/entity/Q580165,wd:Q580165,16841933,Venetian Dalmatian architect and sculptor (c.1425-1505)
Albania,10,Onufri,http://www.wikidata.org/entity/Q335617,wd:Q335617,1988618,"orthodox icon painter and archpriest of Elbasan, active in the 16th century in Albania"
Albania,9,Vangjush Mio,http://www.wikidata.org/entity/Q1750434,wd:Q1750434,1455985,Albanian artist
Albania,9,Pietro Marubi,http://www.wikidata.org/entity/Q2641421,wd:Q2641421,27035301,Albanian-Italian artist (1834-1903)
Albania,9,Maks Velo,http://www.wikidata.org/entity/Q3280973,wd:Q3280973,63906346,albanian architect (1935-2020)
Albania,9,David Selenica,http://www.wikidata.org/entity/Q5239636,wd:Q5239636,26790424,Albanian painter
Albania,8,Nexhmedin Zajmi,http://www.wikidata.org/entity/Q3300607,wd:Q3300607,35617176,Albanian artist (1916-1991)
Albania,8,Muharrem Fejzo,http://www.wikidata.org/entity/Q428966,wd:Q428966,65919211,"Albanian film director, sculptor, painter, writer"
Albania,7,Andrea Kushi,http://www.wikidata.org/entity/Q494232,wd:Q494232,33159603,Albanian Painter (1884-1959)
Albania,7,Abdurrahim Buza,http://www.wikidata.org/entity/Q3300658,wd:Q3300658,16832093,Albanian painter (1905-1986)
North Macedonia,7,Abdurrahim Buza,http://www.wikidata.org/entity/Q3300658,wd:Q3300658,16832093,Albanian painter (1905-1986)
Albania,7,Qemal Butka,http://www.wikidata.org/entity/Q7267379,wd:Q7267379,28637910,Albanian architect and politician (1907-1997)
Albania,7,Claudio Costa,http://www.wikidata.org/entity/Q3679999,wd:Q3679999,36354378,Italian artist (1942-1995)
Albania,7,Zef Kolombi,http://www.wikidata.org/entity/Q4228314,wd:Q4228314,38413581,Albanian painter (1907-1949)
Bosnia and Herzegovina,7,Zef Kolombi,http://www.wikidata.org/entity/Q4228314,wd:Q4228314,38413581,Albanian painter (1907-1949)
Albania,7,Kostandin Shpataraku,http://www.wikidata.org/entity/Q6433474,wd:Q6433474,29512724,Albanian painter
Albania,6,Fatmir Haxhiu,http://www.wikidata.org/entity/Q1026924,wd:Q1026924,29081727,Albanian artist (1927-2001)
Algeria,45,Édouard-Henri Avril,http://www.wikidata.org/entity/Q122427,wd:Q122427,11451056,French painter artist (1849-1928)
Algeria,11,André Bloc,http://www.wikidata.org/entity/Q517157,wd:Q517157,6080707,French architect
Algeria,11,Lucien Lévy-Dhurmer,http://www.wikidata.org/entity/Q727940,wd:Q727940,8602480,French painter (1865-1953)
