country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,36,"Blue Mosque, Mazar-i-Sharif",http://www.wikidata.org/entity/Q138388,wd:Q138388,17910844,mosque in Afghanistan
Afghanistan,27,Friday Mosque of Herat,http://www.wikidata.org/entity/Q1291612,wd:Q1291612,19858944,mosque in Afghanistan
Afghanistan,17,Abdul Rahman Mosque,http://www.wikidata.org/entity/Q3409617,wd:Q3409617,19858920,mosque in Afghanistan
Afghanistan,15,Shah-Do Shamshira Mosque,http://www.wikidata.org/entity/Q7461208,wd:Q7461208,17910618,mosque in Afghanistan
Afghanistan,14,Pul-e Khishti Mosque,http://www.wikidata.org/entity/Q2393709,wd:Q2393709,11072621,mosque in Afghanistan
Afghanistan,14,Id Gah Mosque,http://www.wikidata.org/entity/Q3407426,wd:Q3407426,2163042,mosque in Afghanistan
Afghanistan,11,Yu Aw Synagogue,http://www.wikidata.org/entity/Q4809497,wd:Q4809497,11484768,Afghani Synagogue
Afghanistan,9,Khost Mosque,http://www.wikidata.org/entity/Q3408934,wd:Q3408934,19858853,Mosque Afghanistan
Afghanistan,8,Lashkar Gah Mosque,http://www.wikidata.org/entity/Q2029851,wd:Q2029851,19858898,"Mosque in Lashkargah, Afghanistan"
Afghanistan,8,Takht-e Rostam,http://www.wikidata.org/entity/Q2593345,wd:Q2593345,58056865,stupa-monastery complex built in the 4th-5th century CE
Afghanistan,7,Shrine of the Cloak,http://www.wikidata.org/entity/Q3406259,wd:Q3406259,17911514,Cloak believed to have been worn by the founder of Islam
Afghanistan,6,Nava Vihara,http://www.wikidata.org/entity/Q6134720,wd:Q6134720,5158575,Buddhist stupa or monastery near the ancient city of Balkh
Afghanistan,6,Gurdwara Karte Parwan,http://www.wikidata.org/entity/Q5619965,wd:Q5619965,18108566,Sikh Gurdwara in Kabul
Afghanistan,5,Mosque of the Hair of the Prophet,http://www.wikidata.org/entity/Q6916453,wd:Q6916453,17922920,Mosque in Afghanistan
Afghanistan,4,Tapa Shotor,http://www.wikidata.org/entity/Q105754869,wd:Q105754869,66986836,"buddhist monastery located in near Hadda, Afghanistan"
Afghanistan,4,Khwaja Abu Nasr Parsa Shrine,http://www.wikidata.org/entity/Q6403414,wd:Q6403414,4517060,shrine in Afghanistan
Afghanistan,3,"Our Lady of Divine Providence Chapel, Kabul",http://www.wikidata.org/entity/Q24265880,wd:Q24265880,50687496,"church in Kabul, Afghanistan"
Albania,29,Et'hem Bey Mosque,http://www.wikidata.org/entity/Q798610,wd:Q798610,1443312,mosque in Albania
Albania,16,Great Mosque of Tirana,http://www.wikidata.org/entity/Q18715177,wd:Q18715177,44960651,"mosque under construction in Tirana, Tirana County, Albania"
Albania,15,St Paul's Archcathedral,http://www.wikidata.org/entity/Q600175,wd:Q600175,28121027,archcathedral in Albania
Albania,14,Resurrection of Christ Orthodox Cathedral,http://www.wikidata.org/entity/Q1736146,wd:Q1736146,28121111,Tirana
Albania,13,Shkodër Cathedral,http://www.wikidata.org/entity/Q1638399,wd:Q1638399,28115888,cathedral
Albania,13,Ardenica Monastery,http://www.wikidata.org/entity/Q1474989,wd:Q1474989,25686257,"church building in Lushnjë municipality, Albania"
Albania,12,White Mosque,http://www.wikidata.org/entity/Q723262,wd:Q723262,28905488,Albania
Albania,12,Gjirokastër Mosque,http://www.wikidata.org/entity/Q809777,wd:Q809777,28672324,mosque in Albania
Albania,11,Red Mosque,http://www.wikidata.org/entity/Q258036,wd:Q258036,28905486,mosque in Albania
Albania,11,Mirahori Mosque,http://www.wikidata.org/entity/Q1586213,wd:Q1586213,28789183,mosque
Albania,11,Fatih Sultan Mehmet Mosque,http://www.wikidata.org/entity/Q13040753,wd:Q13040753,44963760,"church building in Shkodër, Albania"
Albania,11,Saint Nicholas Church,http://www.wikidata.org/entity/Q21084474,wd:Q21084474,48152524,"mosque and former church in Lezha, Albania"
Albania,10,"Lead Mosque, Shkodër",http://www.wikidata.org/entity/Q883660,wd:Q883660,28116217,mosque
Albania,10,Ebu Beker Mosque,http://www.wikidata.org/entity/Q1280130,wd:Q1280130,28116271,mosque in Albania
Albania,10,"King Mosque, Berat",http://www.wikidata.org/entity/Q1796429,wd:Q1796429,28905170,cultural heritage monument of Albania
Albania,10,"Resurrection Cathedral, Korçë",http://www.wikidata.org/entity/Q7316527,wd:Q7316527,28789683,"church building in Korçë, Albania"
Albania,10,"King Mosque, Elbasan",http://www.wikidata.org/entity/Q13047913,wd:Q13047913,28905659,cultural heritage monument of Albania
Albania,10,Holy Trinity Church,http://www.wikidata.org/entity/Q15040990,wd:Q15040990,28905199,"church building in Berat, Albania"
Albania,9,Bazaar Mosque,http://www.wikidata.org/entity/Q809778,wd:Q809778,28906057,"mosque in Krujë, Albania"
Albania,9,Lead Mosque,http://www.wikidata.org/entity/Q883658,wd:Q883658,28129194,mosque in Albania
Albania,9,Clock Mosque,http://www.wikidata.org/entity/Q657522,wd:Q657522,28906064,mosque
Albania,9,Hysen Pasha Mosque,http://www.wikidata.org/entity/Q657549,wd:Q657549,28905182,mosque
Albania,9,"Fatih Mosque, Durrës",http://www.wikidata.org/entity/Q1398072,wd:Q1398072,28905605,mosque
Albania,9,Shirgj Monastery,http://www.wikidata.org/entity/Q12758543,wd:Q12758543,28893243,Ruins of a church and cultural monument in Northern Albania
Albania,8,Parruca Mosque,http://www.wikidata.org/entity/Q1118814,wd:Q1118814,43456690,architectural structure
Albania,8,Naziresha Mosque,http://www.wikidata.org/entity/Q657875,wd:Q657875,28905660,mosque in Albania
Albania,8,St. Mary's Church,http://www.wikidata.org/entity/Q2019951,wd:Q2019951,28905768,cultural heritage monument of Albania (KO056)
Albania,8,"St. Mary of Blachernae Church, Berat",http://www.wikidata.org/entity/Q7590526,wd:Q7590526,28901735,"church building in Berat, Albania"
Albania,7,Kavajë Mosque,http://www.wikidata.org/entity/Q657589,wd:Q657589,42716549,"mosque in the city of Kavaja, Albania"
Albania,7,Bachelors' Mosque,http://www.wikidata.org/entity/Q1713447,wd:Q1713447,28905176,cultural Monument in Albania
Albania,7,Bejtyl Evel Mosque,http://www.wikidata.org/entity/Q17480560,wd:Q17480560,43456652,"mosque in Tirana City, Tirana County, Albania"
Albania,7,Kokonozi Mosque,http://www.wikidata.org/entity/Q13047909,wd:Q13047909,44990602,"mosque in Tirana City, Tirana County, Taiwan"
Albania,7,Sylejman Pasha Mosque,http://www.wikidata.org/entity/Q21974338,wd:Q21974338,49010461,Destroyed mosque in Albania
Albania,7,"St. Michael's Church, Berat",http://www.wikidata.org/entity/Q7590658,wd:Q7590658,29510863,cultural heritage monument of Albania
Algeria,21,Notre Dame d'Afrique,http://www.wikidata.org/entity/Q2088381,wd:Q2088381,9958848,building in Algeria
Algeria,20,Djamaâ El Djazaïr,http://www.wikidata.org/entity/Q23012984,wd:Q23012984,52598638,mosque in Algiers
Algeria,19,Djamaa El Kebir,http://www.wikidata.org/entity/Q2386475,wd:Q2386475,14209119,building in Algeria
Algeria,18,Ketchaoua Mosque,http://www.wikidata.org/entity/Q2471799,wd:Q2471799,14665156,building in Algeria
Algeria,17,Great Synagogue,http://www.wikidata.org/entity/Q1153491,wd:Q1153491,8369290,"synagogue in Oran, Algeria"
Algeria,14,Great Mosque of Tlemcen,http://www.wikidata.org/entity/Q2989371,wd:Q2989371,11871831,building in Algeria
Algeria,14,Saint Augustin Basilica,http://www.wikidata.org/entity/Q1015167,wd:Q1015167,24435085,"Catholic basilica in Annaba, Algeria, dedicated to Saint Augustine of Hippo"
Algeria,13,Emir Abdelkader Mosque,http://www.wikidata.org/entity/Q3846204,wd:Q3846204,25515827,Mosques in Algeria
Algeria,13,Ben Farès Mosque,http://www.wikidata.org/entity/Q5600070,wd:Q5600070,30024729,building in Algeria
Algeria,11,Hassan Pasha Mosque,http://www.wikidata.org/entity/Q1469697,wd:Q1469697,27918540,mosque
Algeria,11,Djamaa al-Djedid,http://www.wikidata.org/entity/Q12192958,wd:Q12192958,54198229,Mosque in the Casbah of Algiers
Algeria,11,cathédrale du Sacré-Cœur d'Oran,http://www.wikidata.org/entity/Q2440344,wd:Q2440344,35882057,"former cathedral in Oran, Algeria"
Algeria,9,1st November of 1954 Great Mosque,http://www.wikidata.org/entity/Q3115090,wd:Q3115090,56234233,building in Algeria
Algeria,8,Sidi Boumediene Mosque,http://www.wikidata.org/entity/Q3324878,wd:Q3324878,56232894,building in Algeria
Algeria,8,Sidi Bel Hasan Mosque,http://www.wikidata.org/entity/Q3324913,wd:Q3324913,56232313,building in Algeria
Algeria,8,El Mechouar Mosque,http://www.wikidata.org/entity/Q6856865,wd:Q6856865,56233418,building in Algeria
Algeria,7,Great Mosque of Nedroma,http://www.wikidata.org/entity/Q3114982,wd:Q3114982,56254758,building in Algeria
Algeria,7,Abdelhamid Ben Badis Mosque,http://www.wikidata.org/entity/Q20425154,wd:Q20425154,52715298,building in Algeria
Algeria,7,Ali Bitchin Mosque,http://www.wikidata.org/entity/Q25453544,wd:Q25453544,56234572,"mosque in Algiers, Algeria"
Algeria,7,Sidi Ramdan Mosque,http://www.wikidata.org/entity/Q25453836,wd:Q25453836,56226946,Mosque in the Casbah of Algiers
Algeria,6,Mansourah Mosque,http://www.wikidata.org/entity/Q12242783,wd:Q12242783,56232551,building in Africa
Algeria,6,"Cathedral of the Sacred Heart of Jesus, Algiers",http://www.wikidata.org/entity/Q2942908,wd:Q2942908,35881856,"cathedral in Algiers, Algeria"
Algeria,5,El Barani Mosque,http://www.wikidata.org/entity/Q25453602,wd:Q25453602,56241141,building in Algeria
Algeria,5,Safir Mosque,http://www.wikidata.org/entity/Q25453737,wd:Q25453737,56428730,building in Algeria
Algeria,5,Monastery Our Lady of the Atlas,http://www.wikidata.org/entity/Q1775739,wd:Q1775739,44495960,Catholic monastery in Algeria
Algeria,4,Salah Bey Mosque,http://www.wikidata.org/entity/Q3324876,wd:Q3324876,54172385,building in Algeria
Algeria,4,Pro-Cathedral of Ghardaïa,http://www.wikidata.org/entity/Q24289778,wd:Q24289778,50714362,building in Algeria
Andorra,12,Església de Sant Esteve,http://www.wikidata.org/entity/Q63789,wd:Q63789,33953429,church
Andorra,12,església de Santa Coloma d'Andorra,http://www.wikidata.org/entity/Q3780675,wd:Q3780675,33954786,"church building in Andorra la Vella, Andorra"
Andorra,11,Església de Sant Joan de Caselles,http://www.wikidata.org/entity/Q3781320,wd:Q3781320,33953957,"church in Canillo, Andorra"
Andorra,9,església de Sant Joan de Sispony,http://www.wikidata.org/entity/Q2668145,wd:Q2668145,33954028,Sispony
Andorra,9,Església de Sant Cristòfol d'Anyós,http://www.wikidata.org/entity/Q2874750,wd:Q2874750,33953377,"church building in La Massana, Andorra"
Andorra,9,Església de Sant Martí de la Cortinada,http://www.wikidata.org/entity/Q3819245,wd:Q3819245,33954372,"church building in La Cortinada, Andorra"
Andorra,9,Església de Sant Romà de les Bons,http://www.wikidata.org/entity/Q3819319,wd:Q3819319,33954671,"church building in Encamp, Andorra"
Andorra,9,Església de Sant Serni de Nagol,http://www.wikidata.org/entity/Q3819483,wd:Q3819483,33954740,"church in Sant Julià de Lòria, Andorra"
Andorra,9,Església de Sant Miquel d'Engolasters,http://www.wikidata.org/entity/Q4895696,wd:Q4895696,33954453,"church building in Escaldes-Engordany, Andorra"
Andorra,8,Església de Sant Climent de Pal,http://www.wikidata.org/entity/Q3775060,wd:Q3775060,33952890,"church building in La Massana, Andorra"
Andorra,7,Església de Sant Andreu d'Arinsal,http://www.wikidata.org/entity/Q5397724,wd:Q5397724,33952748,"church building in Arinsal, Andorra"
Andorra,6,Església de Sant Pere d'Aixirivall,http://www.wikidata.org/entity/Q63787,wd:Q63787,33954597,church
Andorra,6,Església de Sant Miquel de Fontaneda,http://www.wikidata.org/entity/Q4135506,wd:Q4135506,33954497,"church building in Sant Julià de Lòria, Andorra"
Andorra,6,Església de Sant Bartomeu de Soldeu,http://www.wikidata.org/entity/Q5397722,wd:Q5397722,33952765,"church building in Canillo, Andorra"
Andorra,6,Església de Sant Esteve de Bixessarri,http://www.wikidata.org/entity/Q5397727,wd:Q5397727,33953392,"church building in Sant Julià de Lòria, Andorra"
Andorra,6,Església de Sant Miquel de Prats,http://www.wikidata.org/entity/Q5397738,wd:Q5397738,33954580,"church building in Canillo, Andorra"
Andorra,6,Església de Sant Pere del Tarter,http://www.wikidata.org/entity/Q5397740,wd:Q5397740,33954649,"church building in Canillo, Andorra"
Andorra,6,Església de la Santa Creu de Canillo,http://www.wikidata.org/entity/Q5397748,wd:Q5397748,33954467,"church building in Canillo, Andorra"
Andorra,6,Església de Sant Romà dels Vilars,http://www.wikidata.org/entity/Q11251566,wd:Q11251566,33954700,"church building in Escaldes-Engordany, Andorra"
Andorra,6,Església de Sant Corneli i Sant Cebrià d'Ordino,http://www.wikidata.org/entity/Q21077406,wd:Q21077406,33953353,"church building in Ordino, Andorra"
Andorra,5,Església de Sant Iscle i Santa Victòria,http://www.wikidata.org/entity/Q5397726,wd:Q5397726,33953478,"church building in La Massana, Andorra"
Andorra,5,Església de Sant Julià i Sant Germà,http://www.wikidata.org/entity/Q5397736,wd:Q5397736,33954122,"church building in Sant Julià de Lòria, Andorra"
Andorra,5,Església de Sant Serni de Llorts,http://www.wikidata.org/entity/Q5397743,wd:Q5397743,33954715,"church building in Ordino, Andorra"
Andorra,5,Església de Sant Serni de Canillo,http://www.wikidata.org/entity/Q5397747,wd:Q5397747,33954470,"church building in Canillo, Andorra"
Andorra,5,Església de Sant Martí de Nagol,http://www.wikidata.org/entity/Q11171314,wd:Q11171314,33954392,"church in Sant Julià de Lòria, Andorra"
Andorra,5,Església de Sant Miquel de la Mosquera,http://www.wikidata.org/entity/Q17651611,wd:Q17651611,33954531,"chur in Encamp, Andorra"
Andorra,4,Església de Sant Pere del Serrat,http://www.wikidata.org/entity/Q5397739,wd:Q5397739,33954632,"church building in El Serrat, Andorra"
Angola,10,"Cathedral of the Holy Saviour, Luanda",http://www.wikidata.org/entity/Q15043323,wd:Q15043323,21409597,"cathedral in Luanda, Angola"
Angola,7,Cathedral of the Holy Saviour of Congo,http://www.wikidata.org/entity/Q5697145,wd:Q5697145,53202048,"church in M’banza-Kongo, Angola"
Angola,5,Igreja de Nossa Senhora da Conceição da Muxima,http://www.wikidata.org/entity/Q5116934,wd:Q5116934,21611892,UNESCO World Heritage
Angola,5,Humbe,http://www.wikidata.org/entity/Q10298853,wd:Q10298853,46759684,"commune in Cunene, Angola"
Angola,5,"Our Lady of the Conception Cathedral, Sumbe",http://www.wikidata.org/entity/Q17624316,wd:Q17624316,53057709,building in Angola
Angola,4,Igreja e Convento de Nossa Senhora do Carmo,http://www.wikidata.org/entity/Q4135421,wd:Q4135421,46832890,church in Luanda
Angola,4,Igreja de Nossa Senhora da Nazaré,http://www.wikidata.org/entity/Q4135431,wd:Q4135431,46832893,building in Angola
Angola,4,"Our Lady of Fatima Cathedral, Benguela",http://www.wikidata.org/entity/Q17624355,wd:Q17624355,50412639,building in Africa
Angola,3,Cathedral of Luanda,http://www.wikidata.org/entity/Q5052321,wd:Q5052321,40708727,building in Angola
Angola,3,Church of Nossa Senhora da Victoria,http://www.wikidata.org/entity/Q4135633,wd:Q4135633,21599922,building in Angola
Angola,2,Church of Nossa Senhora do Rosario,http://www.wikidata.org/entity/Q5116941,wd:Q5116941,21612231,"church in Cambambe, Angola"
Angola,2,Igreja de Nossa Senhora da Conceição,http://www.wikidata.org/entity/Q10300365,wd:Q10300365,46832892,Luanda
Angola,2,"Our Lady of the Assumption Cathedral, Saurimo",http://www.wikidata.org/entity/Q28599245,wd:Q28599245,53057844,"church in Saurimo, Angola"
Antigua and Barbuda,6,St. John's Cathedral,http://www.wikidata.org/entity/Q4265706,wd:Q4265706,16910659,Cathedral in Saint John
Antigua and Barbuda,5,Holy Family Cathedral (St. John's),http://www.wikidata.org/entity/Q15224667,wd:Q15224667,10328458,cathedral in Antigua and Barbuda
Argentina,27,Jesuit Block and Estancias of Córdoba,http://www.wikidata.org/entity/Q837642,wd:Q837642,6347809,UNESCO World Heritage Site
Argentina,26,Jesuit missions among the Guaraní,http://www.wikidata.org/entity/Q465960,wd:Q465960,24071776,World Heritage Site; Catholic missionary initiative and set of missions in Argentina and Brazil
Brazil,26,Jesuit missions among the Guaraní,http://www.wikidata.org/entity/Q465960,wd:Q465960,24071776,World Heritage Site; Catholic missionary initiative and set of missions in Argentina and Brazil
Argentina,19,Buenos Aires Metropolitan Cathedral,http://www.wikidata.org/entity/Q967929,wd:Q967929,5584787,Cathedral in Argentina
Argentina,18,Templo Libertad,http://www.wikidata.org/entity/Q1268260,wd:Q1268260,11437376,synagogue
