country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,32,Nadia Nadim,http://www.wikidata.org/entity/Q531727,wd:Q531727,37134259,Danish footballer
Afghanistan,22,Zohib Islam Amiri,http://www.wikidata.org/entity/Q3131329,wd:Q3131329,30113082,Afgan assocation football player
Afghanistan,17,Faysal Shayesteh,http://www.wikidata.org/entity/Q10554064,wd:Q10554064,38695859,Afghan footballer
Afghanistan,16,Balal Arezou,http://www.wikidata.org/entity/Q815251,wd:Q815251,28916709,Afghan association football player
Afghanistan,15,Shamsuddin Amiri,http://www.wikidata.org/entity/Q548840,wd:Q548840,11972745,Afghan footballer
Afghanistan,14,Qays Shayesteh,http://www.wikidata.org/entity/Q2515614,wd:Q2515614,20822103,Dutch footballer
Afghanistan,13,Djelaludin Sharityar,http://www.wikidata.org/entity/Q1232144,wd:Q1232144,21651314,Afghan association football player
Afghanistan,13,Mustafa Hadid,http://www.wikidata.org/entity/Q372828,wd:Q372828,21870378,Afghan footballer
Afghanistan,13,Mustafa Zazai,http://www.wikidata.org/entity/Q16914139,wd:Q16914139,42783644,Afghan footballer
Afghanistan,12,Mohammad Yousef Kargar,http://www.wikidata.org/entity/Q434583,wd:Q434583,15798580,Afghan footballer
Afghanistan,12,Hafizullah Qadami,http://www.wikidata.org/entity/Q1382778,wd:Q1382778,15859834,Afghan footaballer
Afghanistan,12,Ovays Azizi,http://www.wikidata.org/entity/Q21834508,wd:Q21834508,60407676,association football player
Afghanistan,11,Zubayr Amiri,http://www.wikidata.org/entity/Q227498,wd:Q227498,33452274,Afghan footballer
Afghanistan,11,Farshad Noor,http://www.wikidata.org/entity/Q14454175,wd:Q14454175,40144292,Afgan assocation football player
Afghanistan,11,Omid Popalzay,http://www.wikidata.org/entity/Q20972445,wd:Q20972445,48721630,Afghan association football player
Afghanistan,10,Farid Ahmadi,http://www.wikidata.org/entity/Q432276,wd:Q432276,18020681,football player
Afghanistan,10,Yusuf Barak,http://www.wikidata.org/entity/Q728046,wd:Q728046,21632138,Afghan footballer
Afghanistan,10,Milad Salem,http://www.wikidata.org/entity/Q929071,wd:Q929071,21632035,Afghan footballer
Afghanistan,10,Hamidullah Karimi,http://www.wikidata.org/entity/Q1573404,wd:Q1573404,40899121,Afghan footballer
Afghanistan,10,H. A. Habib,http://www.wikidata.org/entity/Q1585286,wd:Q1585286,17782428,Afghan footballer
Albania,45,Rudi Vata,http://www.wikidata.org/entity/Q733564,wd:Q733564,9109953,Albanian association football player
Albania,40,Besart Berisha,http://www.wikidata.org/entity/Q536773,wd:Q536773,7133292,association football player
Kosovo,40,Besart Berisha,http://www.wikidata.org/entity/Q536773,wd:Q536773,7133292,association football player
Albania,38,Armando Sadiku,http://www.wikidata.org/entity/Q2015958,wd:Q2015958,26366115,Albanian footballer
Albania,38,Elseid Hisaj,http://www.wikidata.org/entity/Q5367516,wd:Q5367516,38565120,Albanian association football player
Albania,36,Etrit Berisha,http://www.wikidata.org/entity/Q1523030,wd:Q1523030,31956354,Albanian footballer
Kosovo,36,Etrit Berisha,http://www.wikidata.org/entity/Q1523030,wd:Q1523030,31956354,Albanian footballer
Albania,35,Taulant Xhaka,http://www.wikidata.org/entity/Q666169,wd:Q666169,31989202,Albanian association football player
Albania,34,Sotiris Ninis,http://www.wikidata.org/entity/Q299091,wd:Q299091,8810772,Greek footballer
Albania,32,Bekim Balaj,http://www.wikidata.org/entity/Q113841,wd:Q113841,24920435,Albanian footballer
Albania,32,Ansi Agolli,http://www.wikidata.org/entity/Q2329951,wd:Q2329951,6157898,Albanian footballer
Albania,31,Shkëlzen Gashi,http://www.wikidata.org/entity/Q203816,wd:Q203816,16156343,Albanian footballer
