,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description
0,0,Afghanistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great
1,1235,Tajikistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great
2,1283,Turkmenistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great
3,1397,Uzbekistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great
4,1,Albania,178,Mother Teresa,http://www.wikidata.org/entity/Q30547,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,wd:Q30547,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin
5,587,India,178,Mother Teresa,http://www.wikidata.org/entity/Q30547,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,wd:Q30547,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin
6,908,North Macedonia,178,Mother Teresa,http://www.wikidata.org/entity/Q30547,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,wd:Q30547,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin,347105,Roman Catholic saint of Albanian origin
7,2,Albania,83,Masiela Lusha,http://www.wikidata.org/entity/Q37944,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",wd:Q37944,656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author",656544,"Albanian actress, writer, author"
8,3,Albania,64,Bleona,http://www.wikidata.org/entity/Q22137038,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",wd:Q22137038,33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur",33764618,"Albanian-American recording artist, actress, producer, and entrepreneur"
9,4,Albania,51,Eliza Dushku,http://www.wikidata.org/entity/Q210200,American actress,236447,American actress,236447,American actress,236447,American actress,236447,American actress,236447,American actress,236447,American actress,wd:Q210200,236447,American actress,236447,American actress,236447,American actress,236447,American actress
10,5,Algeria,48,Assia Djebar,http://www.wikidata.org/entity/Q157313,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),wd:Q157313,1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015),1907465,Algerian writer and film director (1936-2015)
11,6,Algeria,40,Hélène Cixous,http://www.wikidata.org/entity/Q234964,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,wd:Q234964,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer,168445,French philosopher and writer
