country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,25,Abu Zayd al-Balkhi,http://www.wikidata.org/entity/Q335516,wd:Q335516,1792709,Persian polymath
Albania,18,Sabiha Kasimati,http://www.wikidata.org/entity/Q9332564,wd:Q9332564,30611143,Sabiha Kasimati (15 September 1912 - 26 February 1951) was an Albanian biologist and dissident of the communist regime in Albania.She was one of the 23 victims of the regime's Massacre of 1951 in Albania.
Algeria,64,Claude Cohen-Tannoudji,http://www.wikidata.org/entity/Q190697,wd:Q190697,630821,French physicist
Andorra,25,Albert Pintat,http://www.wikidata.org/entity/Q312785,wd:Q312785,1957658,Prime Minister of Andorra
Angola,8,Albina Africano,http://www.wikidata.org/entity/Q26980154,wd:Q26980154,51996688,Angola chemist and politician
Antigua and Barbuda,5,H. B. D. Woodcock,http://www.wikidata.org/entity/Q1633064,wd:Q1633064,26903127,British botanist (1867-1957)
Argentina,62,Bernardo Houssay,http://www.wikidata.org/entity/Q237160,wd:Q237160,252453,Argentine physician (1887-1971)
Armenia,62,Victor Ambartsumian,http://www.wikidata.org/entity/Q164396,wd:Q164396,621989,Soviet Armenian astrophysicist
Australia,82,Lawrence Bragg,http://www.wikidata.org/entity/Q131729,wd:Q131729,303544,Australian-born British physicist and X-ray crystallographer
Austria,140,Erwin Schrödinger,http://www.wikidata.org/entity/Q9130,wd:Q9130,9942,Austrian physicist (1887-1961)
Azerbaijan,88,Lev Landau,http://www.wikidata.org/entity/Q133267,wd:Q133267,80322,Soviet physicist
Bangladesh,106,Muhammad Yunus,http://www.wikidata.org/entity/Q43969,wd:Q43969,548105,"Bangladeshi banker, economist and Nobel Peace Prize recipient"
Barbados,5,William Michael Herbert Greaves,http://www.wikidata.org/entity/Q4502374,wd:Q4502374,2241685,British astronomer
Belarus,76,Zhores Alferov,http://www.wikidata.org/entity/Q183279,wd:Q183279,42212,Soviet and Russian physicist and academic (1930-2019)
Belgium,90,Claude Lévi-Strauss,http://www.wikidata.org/entity/Q128126,wd:Q128126,19544151,French anthropologist and ethnologist (1908-2009)
Belize,12,Janet Gibson,http://www.wikidata.org/entity/Q6153359,wd:Q6153359,22746194,Belizean biologist
Benin,4,Abdoulaye Bio Tchané,http://www.wikidata.org/entity/Q2821361,wd:Q2821361,51780781,Beninese economist
Bolivia,10,Rodolfo Coria,http://www.wikidata.org/entity/Q1888405,wd:Q1888405,3387221,Argentine paleontologist
Bosnia and Herzegovina,60,Vladimir Prelog,http://www.wikidata.org/entity/Q83501,wd:Q83501,471429,Croatian-Swiss chemist (1906-1998)
Botswana,5,Opha Pauline Dube,http://www.wikidata.org/entity/Q60330350,wd:Q60330350,66504810,Botswanan environmental scientist
Brazil,55,Peter Medawar,http://www.wikidata.org/entity/Q214209,wd:Q214209,172002,"UK biologist, 1915–1987"
Brunei,6,Dk Najibah Era Al-Sufri,http://www.wikidata.org/entity/Q3033127,wd:Q3033127,25646166,Bruneian explorer
Bulgaria,53,Fritz Zwicky,http://www.wikidata.org/entity/Q115462,wd:Q115462,630391,Swiss astronomer who posited dark matter (1898-1974)
Burkina Faso,9,Marie Françoise Ouedraogo,http://www.wikidata.org/entity/Q12894109,wd:Q12894109,52182483,Burkinabé mathematician
Burundi,2,Webe Kadima,http://www.wikidata.org/entity/Q24565717,wd:Q24565717,50636886,associate professor of chemistry
Cambodia,7,Pauline Dy Phon,http://www.wikidata.org/entity/Q16027654,wd:Q16027654,51909382,Cambodian botanist (1933-2010)
Cameroon,10,Marilyn Douala Bell,http://www.wikidata.org/entity/Q2540593,wd:Q2540593,30390758,Cameroonian economist
Canada,75,Donna Strickland,http://www.wikidata.org/entity/Q56855591,wd:Q56855591,58632444,"Canadian physicist, 2018 Nobel laurate"
Cape Verde,7,Maria Helena Semedo,http://www.wikidata.org/entity/Q17024697,wd:Q17024697,53084735,Cape Verdean economist
Central African Republic,5,Marie-Reine Hassen,http://www.wikidata.org/entity/Q17350645,wd:Q17350645,55746270,Central Africa Republic economist and politician
Chad,9,Hindou Oumarou Ibrahim,http://www.wikidata.org/entity/Q57087586,wd:Q57087586,58697476,environmental activist and geographer
Chile,54,Theodor Schwann,http://www.wikidata.org/entity/Q76745,wd:Q76745,1032619,German physiologist
Colombia,14,Manuel Elkin Patarroyo Murillo,http://www.wikidata.org/entity/Q977933,wd:Q977933,294294,Colombian scientist
Costa Rica,10,Anastasio Alfaro,http://www.wikidata.org/entity/Q2627491,wd:Q2627491,4814673,"Zoologist, geologist, explorer (1865-1951)"
Côte d'Ivoire,9,Joséphine Guidy Wandja,http://www.wikidata.org/entity/Q12892125,wd:Q12892125,60246310,Ivorian mathematician
Croatia,191,Nikola Tesla,http://www.wikidata.org/entity/Q9036,wd:Q9036,21473,Serbian-American inventor
Cuba,34,Carlos Finlay,http://www.wikidata.org/entity/Q742233,wd:Q742233,898745,Cuban physician discoverer of means of transmission of yellow fever through biological vector
Cyprus,48,Christophoros A. Pissarides,http://www.wikidata.org/entity/Q109582,wd:Q109582,2953374,British-Cypriot economist
Czech Republic,226,Sigmund Freud,http://www.wikidata.org/entity/Q9215,wd:Q9215,26743,Austrian neurologist known as the founding father of psychoanalysis
Democratic Republic of the Congo,7,Jean-Jacques Muyembe-Tamfum,http://www.wikidata.org/entity/Q32678288,wd:Q32678288,59458834,congolese virologist
Denmark,168,Niels Bohr,http://www.wikidata.org/entity/Q7085,wd:Q7085,21210,Danish physicist (1885-1962)
Dominican Republic,6,Marcio Veloz Maggiolo,http://www.wikidata.org/entity/Q3845853,wd:Q3845853,43964870,Dominican anthropologist and archaeologist
East Timor,3,Demetrio do Amaral de Carvalho,http://www.wikidata.org/entity/Q5255247,wd:Q5255247,30413182,environmentalist
Ecuador,13,Andrés Arauz,http://www.wikidata.org/entity/Q98469087,wd:Q98469087,65632756,economist and politician from Ecuador
Egypt,128,Ptolemy,http://www.wikidata.org/entity/Q34943,wd:Q34943,23979,Greco-Egyptian writer and astronomer of Alexandria
El Salvador,6,Alicia Nash,http://www.wikidata.org/entity/Q19989065,wd:Q19989065,46812358,"Latin-American physicist, mental health-care advocate"
Equatorial Guinea,7,Melibea Obono,http://www.wikidata.org/entity/Q61499088,wd:Q61499088,62376256,"journalist and political scientist, writer, teacher and researcher on women's issues in Africa"
Eritrea,71,Tedros Adhanom Ghebreyesus,http://www.wikidata.org/entity/Q16196017,wd:Q16196017,39712205,"Ethiopian microbiologist, malaria researcher, and politician, Director-General of the World Health Organization"
Estonia,54,Heinrich Lenz,http://www.wikidata.org/entity/Q154325,wd:Q154325,563540,Russian physicist
Eswatini,11,Lydia Makhubu,http://www.wikidata.org/entity/Q6707655,wd:Q6707655,4476945,Swazi chemist
Ethiopia,71,Tedros Adhanom Ghebreyesus,http://www.wikidata.org/entity/Q16196017,wd:Q16196017,39712205,"Ethiopian microbiologist, malaria researcher, and politician, Director-General of the World Health Organization"
Fiji,9,Ralph Regenvanu,http://www.wikidata.org/entity/Q578951,wd:Q578951,17353100,Ni-Vanuatu anthropologist
Finland,142,Linus Torvalds,http://www.wikidata.org/entity/Q34253,wd:Q34253,17618,Finnish-American software engineer and hacker
France,225,René Descartes,http://www.wikidata.org/entity/Q9191,wd:Q9191,25525,"French philosopher, mathematician, and scientist (1596-1650)"
Gabon,6,Philibert Nang,http://www.wikidata.org/entity/Q1799841,wd:Q1799841,45189960,Gabonese mathematician
Georgia,62,Victor Ambartsumian,http://www.wikidata.org/entity/Q164396,wd:Q164396,621989,Soviet Armenian astrophysicist
Germany,288,Albert Einstein,http://www.wikidata.org/entity/Q937,wd:Q937,736,German-born theoretical physicist; developer of the theory of relativity (1879–1955)
Ghana,8,Aba Andam,http://www.wikidata.org/entity/Q18340364,wd:Q18340364,44184824,Ghanaian physicist
Greece,192,Pythagoras,http://www.wikidata.org/entity/Q10261,wd:Q10261,23275,6th century BC Greek philosopher and mystic
Grenada,3,Ron Buckmire,http://www.wikidata.org/entity/Q12896351,wd:Q12896351,46909369,Grenadian-born mathematician (born 1968)
Guatemala,28,Luis von Ahn,http://www.wikidata.org/entity/Q92984,wd:Q92984,5648968,Guatemalan entrepreneur and computer scientist
Guinea,3,Charles Fassou Sagno,http://www.wikidata.org/entity/Q2959044,wd:Q2959044,46737103,Guinean economist
Guinea-Bissau,8,Carlos Lopes,http://www.wikidata.org/entity/Q5042277,wd:Q5042277,24677052,Guinea-Bissau economiste
Haiti,66,John James Audubon,http://www.wikidata.org/entity/Q182882,wd:Q182882,16317,"American ornithologist, naturalist, and painter (1785-1851)"
Hungary,108,John von Neumann,http://www.wikidata.org/entity/Q17455,wd:Q17455,15942,Hungarian-American mathematician and polymath
Iceland,98,Leif Erikson,http://www.wikidata.org/entity/Q42838,wd:Q42838,146803,"Norse explorer, discoverer of New Foundland"
India,103,Srinivasa Ramanujan,http://www.wikidata.org/entity/Q83163,wd:Q83163,47717,Indian mathematician (1887-1920)
Indonesia,71,Willem Einthoven,http://www.wikidata.org/entity/Q189488,wd:Q189488,370239,Dutch physiologist
Iran,89,Q169234,http://www.wikidata.org/entity/Q169234,wd:Q169234,78209,"Persian polymath, physician, chemist and philosopher (854-925)"
Iraq,93,Ibn al-Haytham,http://www.wikidata.org/entity/Q11104,wd:Q11104,1645,"Arab physicist, mathematician and astronomer (c.965 – c.1040)"
Israel,80,Ada Yonath,http://www.wikidata.org/entity/Q7426,wd:Q7426,38502761,Israeli chemist
Italy,282,Leonardo da Vinci,http://www.wikidata.org/entity/Q762,wd:Q762,18079,Italian Renaissance polymath (1452-1519)
Jamaica,38,Stuart Hall,http://www.wikidata.org/entity/Q450741,wd:Q450741,481122,sociologist and cultural theorist (1932-2014)
Japan,83,Hideki Yukawa,http://www.wikidata.org/entity/Q155777,wd:Q155777,187670,Japanese theoretical physicist (1907-1981)
Jordan,37,Nicomachus,http://www.wikidata.org/entity/Q360366,wd:Q360366,619578,Greco-Syrian mathematician (c. 60 – c. 120 AD)
Kazakhstan,38,Alexandra Elbakyan,http://www.wikidata.org/entity/Q21996568,wd:Q21996568,49416318,"Kazakh neuroscientist, founder of Sci-Hub"
Kenya,126,Richard Dawkins,http://www.wikidata.org/entity/Q44461,wd:Q44461,25867,"English ethologist, evolutionary biologist and author"
Kosovo,4,Mirlinda Kusari Purrini,http://www.wikidata.org/entity/Q16197180,wd:Q16197180,41741402,Albanian economist
Kuwait,10,Fazia al-Kharafi,http://www.wikidata.org/entity/Q11921636,wd:Q11921636,39731386,Kuwaiti chemist
Kyrgyzstan,35,Ahmad ibn Muhammad ibn Kathīr al-Farghānī,http://www.wikidata.org/entity/Q336550,wd:Q336550,607963,Persian astronomer
Laos,4,Bountiem Phissamay,http://www.wikidata.org/entity/Q895160,wd:Q895160,20612995,Laotian scientist
Latvia,84,Wilhelm Ostwald,http://www.wikidata.org/entity/Q12658,wd:Q12658,34131,Baltic German chemist
Lebanon,42,Ardem Patapoutian,http://www.wikidata.org/entity/Q60322501,wd:Q60322501,66553329,"molecular biologist, neuroscientist, and Nobel laureate 2021"
Lesotho,9,Tebello Nyokong,http://www.wikidata.org/entity/Q21448010,wd:Q21448010,48508397,South African chemist and professor
Liberia,3,Lafayette Morgan,-,-,20521147,-
Libya,100,Eratosthenes,http://www.wikidata.org/entity/Q43182,wd:Q43182,46117,"greek mathematician, geographer, poet, astronomer, librarian and music theorist"
Liechtenstein,13,Alexander Kellner,http://www.wikidata.org/entity/Q2181261,wd:Q2181261,25448862,Brazilian paleontologist
Lithuania,68,Hermann Minkowski,http://www.wikidata.org/entity/Q57246,wd:Q57246,193537,German mathematician and physicist
Luxembourg,85,Gabriel Lippmann,http://www.wikidata.org/entity/Q133232,wd:Q133232,2352712,Luxembourgish physicist nationalized French (1845-1921)
Madagascar,10,Éric Pichet,http://www.wikidata.org/entity/Q3591312,wd:Q3591312,34034179,French economist
Malawi,6,Thandika Mkandawire,http://www.wikidata.org/entity/Q22095691,wd:Q22095691,47921257,Malawian economist (1940-2020)
Malaysia,15,Mazlan Othman,http://www.wikidata.org/entity/Q291421,wd:Q291421,22884770,Malaysian physicist
Mali,19,Cheick Modibo Diarra,http://www.wikidata.org/entity/Q548003,wd:Q548003,2418245,"Malian astrophysicist, businessman, and politician"
Malta,14,Percy Alexander MacMahon,http://www.wikidata.org/entity/Q1490782,wd:Q1490782,2599933,British mathematician (1854-1929)
Mauritania,3,Mekfoula Mint Brahim,http://www.wikidata.org/entity/Q53779354,wd:Q53779354,62608058,Mauritanian biologist
