country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,2,1940 in Afghanistan,http://www.wikidata.org/entity/Q4564788,wd:Q4564788,11648991,Afghanistan-related events during the year of 1940,"The following lists events that happened during 1940 in Afghanistan.
Internal economic development is furthered by increasing the availability of land for cultivation, by assistance to the sugar-beet industry, and by official sanction of a scheme for the formation of a joint-stock company to coordinate the work of the country's cotton pressing, spinning, and weaving factories. Special taxation is imposed for the purchase of arms from abroad and the construction of two radio stations and three railway lines.

",https://en.wikipedia.org/wiki/1940_in_Afghanistan
Albania,8,Battle of the Strait of Otranto,http://www.wikidata.org/entity/Q2200263,wd:Q2200263,20954723,battle in World War II,"The Battle of the Strait of Otranto was a minor naval skirmish on 12 November 1940 during the Battle of the Mediterranean in World War II. It took place in the Strait of Otranto in the Adriatic Sea, between Great Britain and Italy.",https://en.wikipedia.org/wiki/Battle_of_the_Strait_of_Otranto_(1940)
Algeria,30,Attack on Mers-El-Kebir,http://www.wikidata.org/entity/Q503347,wd:Q503347,632450,battle,"The Attack on Mers-el-Kébir (Battle of Mers-el-Kébir) on 3 July 1940, during the Second World War, was a British naval attack on French Navy ships at the naval base at Mers El Kébir, near Oran, on the coast of French Algeria. The attack was the main part of Operation Catapult, a British plan to neutralise or destroy French ships to prevent them from falling into German hands after the Allied defeat in the Battle of France. The British bombardment of the base killed 1,297 French servicemen, sank a battleship and damaged five other ships, for a British loss of five aircraft shot down and two crewmen killed.The attack by air and sea was conducted by the Royal Navy, after France had signed armistices with Germany and Italy, coming into effect on 25 June. Of particular significance to the British were the five battleships of the Bretagne and Richelieu classes and the two fast battleships of the Dunkerque class, the second largest force of capital ships in Europe after the Royal Navy. The British War Cabinet feared that the ships would fall into Axis hands. Admiral François Darlan, commander of the French Navy, assured the British, even after the French armistices with Germany and Italy, that the fleet would remain under French control but Winston Churchill and the War Cabinet judged that the risk was too great. Darlan repeatedly refused British requests to place the fleet in British custody or move it to the French West Indies out of German reach.
The British attack was condemned in France and resentment festered for years over what was considered betrayal by a former ally. The French thought that their assurances were honourable and should have been sufficient. Marshal Philippe Pétain, who was appointed the prime minister of France on 16 June, severed diplomatic relations with the United Kingdom on 8 July. The next day, deputies of the National Assembly met at Vichy and voted to revise the constitution, ending the French Third Republic. Pétain was installed with full powers as leader of the new French State.
French aircraft retaliated by bombing Gibraltar and French ships exchanged fire several times with British ships, before a tacit truce was observed in the western Mediterranean. On 27 November 1942, after the beginning of Operation Torch, the Allied invasion of French North Africa, the French Navy foiled Case Anton, a German and Italian operation to capture its ships at Toulon, by scuttling them. In 1997, Martin Thomas wrote that the British attack at Mers-el Kébir remains controversial but that other historians have written that it demonstrated to the world that Britain would fight on.",https://en.wikipedia.org/wiki/Attack_on_Mers-el-K%C3%A9bir
Argentina,37,Battle of the River Plate,http://www.wikidata.org/entity/Q713529,wd:Q713529,31570,first naval battle of the Second World War,"The Battle of the River Plate was fought in the South Atlantic on 13 December 1939 as the first naval battle of the Second World War. The Kriegsmarine heavy cruiser Admiral Graf Spee, commanded by Captain Hans Langsdorff, engaged a Royal Navy squadron, commanded by Commodore Henry Harwood, comprising the cruisers HMS Ajax, HMS Achilles (on loan to the New Zealand Division) and HMS Exeter.Graf Spee had sailed into the South Atlantic in August 1939, before the war began, and had begun commerce raiding after receiving appropriate authorisation on 26 September 1939. Harwood's squadron was one of several search groups sent in pursuit by the British Admiralty. They sighted Graf Spee off the estuary of the River Plate near the coasts of Argentina and Uruguay.In the ensuing battle, Exeter was severely damaged and forced to retire; Ajax and Achilles suffered moderate damage. Damage to Graf Spee, although not extensive, was critical because her fuel system was crippled. Ajax and Achilles shadowed the German ship until she entered the port of Montevideo, the capital city of neutral Uruguay, to effect urgent repairs. Langsdorff was told that his stay could not be extended beyond 72 hours. Apparently believing that the British had gathered a superior force to await his departure, he ordered the ship to be scuttled. Three days later, Langsdorff committed suicide.",https://en.wikipedia.org/wiki/Battle_of_the_River_Plate
Australia,24,Bombing of Darwin,http://www.wikidata.org/entity/Q696557,wd:Q696557,1283132,"Japanese attack on Darwin, Australia during World War II","The Bombing of Darwin, also known as the Battle of Darwin, on 19 February 1942 was the largest single attack ever mounted by a foreign power on Australia. On that day, 242 Japanese aircraft, in two separate raids, attacked the town, ships in Darwin's harbour and the town's two airfields in an attempt to prevent the Allies from using them as bases to contest the invasion of Timor and Java during World War II.
Darwin was lightly defended relative to the size of the attack, and the Japanese inflicted heavy losses upon Allied forces at little cost to themselves. The urban areas of Darwin also suffered some damage from the raids and there were a number of civilian casualties. More than half of Darwin's civilian population left the area permanently, before or immediately after the attack.
The two Japanese air raids were the first, and largest, of more than 100 air raids against Australia during 1942–43.",https://en.wikipedia.org/wiki/Bombing_of_Darwin
Austria,33,First Vienna Award,http://www.wikidata.org/entity/Q126604,wd:Q126604,901940,treaty signed in 1938,"The First Vienna Award was a treaty signed on 2 November 1938 pursuant to the Vienna Arbitration, which took place at Vienna's Belvedere Palace. The arbitration and award were direct consequences of the previous month's Munich Agreement, which resulted in the partitioning of Czechoslovakia.
Nazi Germany and Fascist Italy had sought a nonviolent way to support the territorial claims of the Kingdom of Hungary, and revision of the 1920 Treaty of Trianon. Nazi Germany had already vitiated the Versailles Treaty by the remilitarization of the Rhineland (7 March 1936) and the Anschluss of Austria (12 March 1938).
The First Vienna Award separated, from Czechoslovakia, territories in southern Slovakia and southern Carpathian Rus that were mostly  Hungarian-populated and ""awarded"" them to Hungary. Hungary thus regained some of the territories (now parts of Slovakia and Ukraine) that Hungary had lost after World War I under the Treaty of Trianon.
In mid-March 1939 Adolf Hitler gave Hungary permission to occupy the rest of Carpatho-Ukraine. This advanced Hungary's territory northward, up to Poland's border, thereby restoring a common Hungarian-Polish border, which had existed before the 18th-century Partitions of the Polish-Lithuanian Commonwealth. Before the end of World War I and the Treaties of Trianon and Saint Germain, the Carpathian region of the former Kingdom of Hungary (Transleithania) in Austro-Hungary had, to the north, bordered the province of Galicia, which had been part of Austria's Cisleithania.
Six months after Hungary occupied the remainder of Carpathian Ruthenia, in September 1939, the Polish government and tens of thousands of Polish soldiers and airmen evacuated into Hungary and Romania and from there went on to France and to French-mandated Syria to carry on their war against Germany.
After World War II, the 1947 Treaty of Paris declared the Vienna Award null and void.",https://en.wikipedia.org/wiki/First_Vienna_Award
Bahrain,11,bombing of Bahrain in World War II,http://www.wikidata.org/entity/Q4940685,wd:Q4940685,27495752,Italian bombing operation in Bahrain during the Second World War,"The bombing of Bahrain in World War II was part of an effort by the Italian Royal Air Force (Regia Aeronautica) to strike at the British interests wherever possible in the Middle East. While the mission caused little damage, it was successful in forcing the diversion of already-limited Allied resources to an obscure theater originally thought to be safe.",https://en.wikipedia.org/wiki/Bombing_of_Bahrain_in_World_War_II
Bangladesh,1,Operation Stab,http://www.wikidata.org/entity/Q65076334,wd:Q65076334,60052380,military operation in the Pacific Theatre of World War II,"Operation Stab was a British-led naval deception during World War II in order to try to distract Japanese units for the upcoming Guadalcanal campaign by US forces.

",https://en.wikipedia.org/wiki/Operation_Stab
Belarus,10,Naliboki massacre,http://www.wikidata.org/entity/Q2669836,wd:Q2669836,12048903,1943 massacre of Poles,"The Naliboki massacre (Polish: zbrodnia w Nalibokach) was the 8 May 1943 mass killing of 129 Poles, including women and children, by Soviet partisans in the small town of Naliboki in German-occupied Poland (the town is now in Belarus).",https://en.wikipedia.org/wiki/Naliboki_massacre
Belgium,29,Malmedy massacre,http://www.wikidata.org/entity/Q162228,wd:Q162228,152876,WWII war crime,"The Malmedy massacre was a German war crime committed by soldiers of the Waffen-SS on 17 December 1944, at the Baugnez crossroads near the city of Malmedy, Belgium, during the Battle of the Bulge (16 December 1944 – 25 January 1945). Soldiers of Kampfgruppe Peiper summarily killed eighty-four U.S. Army prisoners of war (POWs) who had surrendered after a brief battle. The Waffen-SS soldiers had grouped the U.S. POWs in a farmer's field, where they used machine guns to shoot and kill the grouped POWs; the prisoners of war who survived the gunfire of the massacre then were killed with a coup de grâce gun-shot to the head.Besides the summary execution of the eighty-four U.S. POWs at the farmer’s field, the term ""Malmedy massacre"" also includes other Waffen-SS massacres of civilians and POWs in Belgian villages and towns in the time after their first massacre of U.S. POWs at Malmedy; these Waffen-SS war crimes were the subjects of the Malmedy massacre trial (May–July 1946), which was a part of the Dachau trials (1945–1947).",https://en.wikipedia.org/wiki/Malmedy_massacre
