country,number,item,item_id
Afghanistan,36,Kader Khan,http://www.wikidata.org/entity/Q3191765
Afghanistan,29,Atiq Rahimi,http://www.wikidata.org/entity/Q179801
Afghanistan,20,Roya Sadat,http://www.wikidata.org/entity/Q24524838
Afghanistan,15,Leena Alam,http://www.wikidata.org/entity/Q6516339
Afghanistan,11,Fatema Akbari,http://www.wikidata.org/entity/Q5437436
Afghanistan,11,Roya Mahboob,http://www.wikidata.org/entity/Q7373553
Afghanistan,10,Siddiq Barmak,http://www.wikidata.org/entity/Q8215518
Afghanistan,9,Saba Sahar,http://www.wikidata.org/entity/Q1772399
Afghanistan,7,Saad Mohseni,http://www.wikidata.org/entity/Q472360
Afghanistan,7,Farid Zoland,http://www.wikidata.org/entity/Q1396681
Afghanistan,6,Zuhal Atmar,http://www.wikidata.org/entity/Q109969554
Afghanistan,6,Wakil Hussain Allahdad,http://www.wikidata.org/entity/Q52162236
Afghanistan,5,Ehsan Bayat,http://www.wikidata.org/entity/Q1300958
Afghanistan,5,Mithaq Kazimi,http://www.wikidata.org/entity/Q3119118
Afghanistan,4,Manizha Wafeq,http://www.wikidata.org/entity/Q27975669
Afghanistan,4,Maliha Zulfacar,http://www.wikidata.org/entity/Q43289119
Afghanistan,4,Abdul Wahid Nazari,http://www.wikidata.org/entity/Q4665758
Afghanistan,2,Ghazal Sadat,http://www.wikidata.org/entity/Q31067953
Afghanistan,2,Malek Shafi'i,http://www.wikidata.org/entity/Q16215095
Afghanistan,2,Walid Nakschbandi,http://www.wikidata.org/entity/Q2542270
Afghanistan,1,Sara Wahedi,http://www.wikidata.org/entity/Q109968933
Afghanistan,1,Aliya Kazimy,http://www.wikidata.org/entity/Q110063121
Afghanistan,1,Najlla Habibyar,http://www.wikidata.org/entity/Q110063265
Afghanistan,1,Saeeda Etebari,http://www.wikidata.org/entity/Q110055977
Afghanistan,1,Q111947530,http://www.wikidata.org/entity/Q111947530
Afghanistan,1,Y. Misdaq,http://www.wikidata.org/entity/Q8045758
