country,number,item,item_id
Afghanistan,87,Ashraf Ghani,http://www.wikidata.org/entity/Q172388
Afghanistan,6,Habib Mangal,http://www.wikidata.org/entity/Q1566849
Afghanistan,5,Ajmal Ahmady,http://www.wikidata.org/entity/Q105641732
Afghanistan,3,Bernard van Praag,http://www.wikidata.org/entity/Q822826
Afghanistan,1,Abdul Ghanie Ghaussy,http://www.wikidata.org/entity/Q66490716
Albania,41,Fatos Nano,http://www.wikidata.org/entity/Q311596
Albania,30,Bashkim Fino,http://www.wikidata.org/entity/Q809978
Albania,18,Mimi Kodheli,http://www.wikidata.org/entity/Q16855243
Albania,15,Mesila Doda,http://www.wikidata.org/entity/Q13560214
Albania,14,Shkëlqim Cani,http://www.wikidata.org/entity/Q75582
Albania,12,Myfit bej Libohova,http://www.wikidata.org/entity/Q1051859
Albania,12,Apostol Arsache,http://www.wikidata.org/entity/Q619962
Albania,11,Nako Spiru,http://www.wikidata.org/entity/Q836480
Albania,9,Dhimitër Pasko,http://www.wikidata.org/entity/Q3302469
Albania,9,Senida Mesi,http://www.wikidata.org/entity/Q31965727
Albania,8,Gramoz Pashko,http://www.wikidata.org/entity/Q717050
Albania,8,Ridvan Bode,http://www.wikidata.org/entity/Q981747
Albania,8,Dhori Kule,http://www.wikidata.org/entity/Q1207699
Albania,8,Pali Miska,http://www.wikidata.org/entity/Q2047790
Albania,7,Genc Ruli,http://www.wikidata.org/entity/Q463966
Albania,7,Abdyl Këllezi,http://www.wikidata.org/entity/Q317983
Albania,6,Xhafer Spahiu,http://www.wikidata.org/entity/Q1741185
Albania,6,Ferit Vokopola,http://www.wikidata.org/entity/Q5444328
Albania,6,Arben Malaj,http://www.wikidata.org/entity/Q4784677
Albania,5,Ardian Fullani,http://www.wikidata.org/entity/Q1815088
Albania,5,Qirjako Mihali,http://www.wikidata.org/entity/Q2121681
Albania,5,Filip Noga,http://www.wikidata.org/entity/Q15094262
Albania,5,Kostandin Boshnjaku,http://www.wikidata.org/entity/Q15998344
Albania,5,Delina Ibrahimaj,http://www.wikidata.org/entity/Q108698181
Albania,5,Sokrat Dodbiba,http://www.wikidata.org/entity/Q20203037
Albania,5,Ermelinda Meksi,http://www.wikidata.org/entity/Q30315479
Albania,4,Harilla Papajorgji,http://www.wikidata.org/entity/Q90429103
Albania,4,Ilir Hoti,http://www.wikidata.org/entity/Q21229005
Albania,3,Bujar Leskaj,http://www.wikidata.org/entity/Q13037805
Albania,3,Flutura Açka,http://www.wikidata.org/entity/Q11698365
Albania,3,Sulejman Starova,http://www.wikidata.org/entity/Q37763645
Albania,3,Haxhi Jusuf Banka,http://www.wikidata.org/entity/Q31668885
Albania,2,Shuk Gurakuqi,http://www.wikidata.org/entity/Q16357771
Albania,2,Hysen Kobellari,http://www.wikidata.org/entity/Q13040058
Albania,2,Stefan Çipa,http://www.wikidata.org/entity/Q16358716
Albania,1,Sulo Haderi,http://www.wikidata.org/entity/Q94701728
Albania,1,Alketa Misja,http://www.wikidata.org/entity/Q16348425
Albania,1,Llambi Aleksi,http://www.wikidata.org/entity/Q58824791
Albania,1,Q12275024,http://www.wikidata.org/entity/Q12275024
Albania,1,Arta Musaraj,http://www.wikidata.org/entity/Q4797296
Albania,1,Ylli Vejsiu,http://www.wikidata.org/entity/Q95046303
Albania,1,Marta Muço,http://www.wikidata.org/entity/Q111574170
Albania,1,Lufter Xhuveli,http://www.wikidata.org/entity/Q54804356
Algeria,38,Jacques Attali,http://www.wikidata.org/entity/Q364315
Algeria,28,Aymen Benabderrahmane,http://www.wikidata.org/entity/Q96612848
Algeria,20,Youcef Yousfi,http://www.wikidata.org/entity/Q3572799
Algeria,17,Abdelhamid Brahimi,http://www.wikidata.org/entity/Q307892
Algeria,11,Laurence Tubiana,http://www.wikidata.org/entity/Q3218947
Algeria,8,Henri Hauser,http://www.wikidata.org/entity/Q1605871
Algeria,6,Erwan Vallerie,http://www.wikidata.org/entity/Q3057544
Algeria,5,Abderrahmane Benkhalfa,http://www.wikidata.org/entity/Q19953017
Algeria,5,François Divisia,http://www.wikidata.org/entity/Q2403968
