country,number,item,item_id
Afghanistan,148,--,--
Albania,122,--,--
Algeria,100,--,--
Andorra,14,--,--
Angola,22,--,--
Antigua and Barbuda,2,--,--
Argentina,68,--,--
Armenia,52,--,--
Australia,1,--,--
Austria,1523,--,--
Azerbaijan,87,--,--
Bahrain,25,--,--
Bangladesh,8,--,--
Barbados,6,--,--
Belarus,133,--,--
Belgium,2544,--,--
Benin,4,--,--
Bhutan,1,--,--
Bolivia,20,--,--
Bosnia and Herzegovina,56,--,--
Brazil,172,--,--
Brunei,18,--,--
Bulgaria,126,--,--
Burundi,1,--,--
Cape Verde,2,--,--
Cambodia,37,--,--
Cameroon,3,--,--
Canada,164,--,--
Chile,69,--,--
People's Republic of China,2139,--,--
Colombia,45,--,--
Costa Rica,46,--,--
Ivory Coast,2,--,--
Croatia,311,--,--
Cuba,8,--,--
Cyprus,80,--,--
Czech Republic,1145,--,--
Denmark,2081,--,--
Djibouti,2,--,--
Dominica,1,--,--
Dominican Republic,9,--,--
Ecuador,28,--,--
Egypt,695,--,--
El Salvador,1,--,--
Equatorial Guinea,1,--,--
Estonia,132,--,--
Ethiopia,36,--,--
Finland,344,--,--
France,19653,--,--
Gabon,2,--,--
Georgia,106,--,--
Germany,26364,--,--
Ghana,6,--,--
Greece,1684,--,--
Guatemala,11,--,--
Guinea,2,--,--
Guinea-Bissau,1,--,--
Haiti,6,--,--
Honduras,5,--,--
Hungary,706,--,--
Iceland,251,--,--
India,488,--,--
Indonesia,62,--,--
Iran,936,--,--
Iraq,608,--,--
Republic of Ireland,538,--,--
Israel,217,--,--
Italy,15998,--,--
Jamaica,4,--,--
Japan,4609,--,--
Jordan,38,--,--
Kazakhstan,33,--,--
Kosovo,21,--,--
Kuwait,18,--,--
Kyrgyzstan,8,--,--
Laos,59,--,--
Latvia,178,--,--
Lebanon,92,--,--
Liberia,1,--,--
Libya,61,--,--
Liechtenstein,21,--,--
Lithuania,164,--,--
Luxembourg,124,--,--
Madagascar,14,--,--
Malaysia,12,--,--
Mali,24,--,--
Malta,72,--,--
Mauritania,1,--,--
Mauritius,1,--,--
Mexico,266,--,--
Moldova,4,--,--
Monaco,19,--,--
Mongolia,93,--,--
Montenegro,45,--,--
Morocco,227,--,--
Mozambique,1,--,--
Myanmar,295,--,--
Namibia,2,--,--
Nepal,17,--,--
Netherlands,6105,--,--
New Zealand,2,--,--
Nicaragua,3,--,--
Niger,1,--,--
Nigeria,9,--,--
North Korea,28,--,--
North Macedonia,36,--,--
Norway,783,--,--
Oman,26,--,--
Pakistan,96,--,--
State of Palestine,41,--,--
Panama,9,--,--
Paraguay,35,--,--
Peru,203,--,--
Philippines,29,--,--
Poland,2350,--,--
Portugal,2123,--,--
Qatar,19,--,--
Romania,324,--,--
Russia,520,--,--
Rwanda,2,--,--
Saint Kitts and Nevis,5,--,--
Samoa,2,--,--
San Marino,18,--,--
São Tomé and Príncipe,1,--,--
Saudi Arabia,364,--,--
Senegal,5,--,--
Serbia,98,--,--
Slovakia,456,--,--
Slovenia,176,--,--
Somalia,1,--,--
South Africa,16,--,--
South Korea,145,--,--
Spain,10566,--,--
Sri Lanka,16,--,--
Sudan,3,--,--
Suriname,1,--,--
Sweden,4707,--,--
Switzerland,3034,--,--
Syria,328,--,--
Taiwan,6,--,--
Tajikistan,20,--,--
Tanzania,1,--,--
Thailand,73,--,--
Togo,2,--,--
Tonga,1,--,--
Tunisia,91,--,--
Turkey,1320,--,--
Turkmenistan,50,--,--
Uganda,2,--,--
Ukraine,424,--,--
United Arab Emirates,24,--,--
United Kingdom,6173,--,--
United States of America,923,--,--
Uruguay,2,--,--
Uzbekistan,133,--,--
Vanuatu,1,--,--
Vatican City,4,--,--
Venezuela,18,--,--
Vietnam,232,--,--
Yemen,77,--,--
