country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Afghanistan,36,"Blue Mosque, Mazar-i-Sharif",http://www.wikidata.org/entity/Q138388,wd:Q138388,17910844,mosque in Afghanistan,"The Hazrat Ali Mazar (Arabic: حضرت علی مزار) is a mosque located in Balkh Province, Afghanistan, that has a tomb attributed to the fourth Islamic caliph, Ali. It is an important pilgrimage site for Shia Muslims, and is also honoured by Sunni Muslims, who pay tribute to Ali's shrine annually. The current mosque is considered a masterpiece of the Timurid Renaissance.
The site of the mosque is also where many pilgrims celebrate the Iranian/Zoroastrian new year, Nowruz. At the yearly Jahenda Bala ceremony, a holy flag is raised in honour of Ali; Muslim pilgrims often touch the flag for good luck in the coming year.",https://en.wikipedia.org/wiki/Hazrat_Ali_Mazar
Albania,29,Et'hem Bey Mosque,http://www.wikidata.org/entity/Q798610,wd:Q798610,1443312,mosque in Albania,"The Hajji Et'hem Bey Mosque (Albanian: Xhamia e Haxhi Et'hem Beut) is a mosque in Tirana, Albania. Closed under communist rule, the mosque reopened as a house of worship in 1991. Without permission from the authorities, 10,000 people attended and the police did not interfere. Frescoes outside and in the portico depict trees, waterfalls and bridges – motifs rarely seen in Islamic art.",https://en.wikipedia.org/wiki/Et%27hem_Bey_Mosque
Algeria,21,Notre Dame d'Afrique,http://www.wikidata.org/entity/Q2088381,wd:Q2088381,9958848,building in Algeria,"Notre Dame d'Afrique (English: “Our Lady of Africa”) is a Catholic basilica in Algiers, Algeria.
Pope Pius IX granted two Pontifical decrees towards the shrine on the same day in 15 April 1876:

The first decree invoked to canonically crown the venerated Marian image enshrined within. The rite of coronation was executed by the Archbishop of Carthage Charles Lavigerie on 30 April 1876.
The second decree which raised the sanctuary to the status of Basilica based on an “immemorial custom”. (Pope Benedict XV later regulated  to limit these privileges in 1918 to Papal edicts unless an ancient custom already refers to a building as a “Basilica”.",https://en.wikipedia.org/wiki/Notre-Dame_d%27Afrique
Andorra,12,Església de Sant Esteve,http://www.wikidata.org/entity/Q63789,wd:Q63789,33953429,church,"Església de Sant Esteve  is a church located on Plaça del Príncep Benlloch in Andorra la Vella, Andorra. It is a heritage property registered in the Cultural Heritage of Andorra. It was built in the 11th-12th century and then restored in the 20th century.",https://en.wikipedia.org/wiki/Esgl%C3%A9sia_de_Sant_Esteve
Angola,10,"Cathedral of the Holy Saviour, Luanda",http://www.wikidata.org/entity/Q15043323,wd:Q15043323,21409597,"cathedral in Luanda, Angola","The Church of Our Lady of Remedies (Portuguese: Igreja de Nossa Senhora dos Remédios) is a Roman Catholic cathedral in Luanda, Angola. It was built in 1628 and is the seat of the Roman Catholic Archbishop of Luanda. In 1716 the headquarters of the Diocese of Angola and Congo was transferred from São Salvador of Congo to Luanda, which eventually led the church of Dos Remedios to become cathedral. In 1877 it was in ruins, and restored between 1880 and 1900.  At that time acquired the present appearance, as three doors and curved pediment on the façade. 
In 1949 it was declared a Public Interest, when it was still part of the Portuguese colonial empire. 

",https://en.wikipedia.org/wiki/Church_of_Our_Lady_of_Remedies
Angola,3,Cathedral of Luanda,http://www.wikidata.org/entity/Q5052321,wd:Q5052321,40708727,building in Angola,error,error
Antigua and Barbuda,6,St. John's Cathedral,http://www.wikidata.org/entity/Q4265706,wd:Q4265706,16910659,Cathedral in Saint John,"St. John's Cathedral also known as the St. John the Divine, the Cathedral Church of the Diocese of North Eastern Caribbean and Aruba, is an Anglican church perched on a hilltop in St. John's, Antigua and Barbuda.  It is the seat of the Diocese of the North East Caribbean and Aruba in the Church in the Province of the West Indies.
The present cathedral with its imposing white twin towers was built on a fossilized reef, in 1845, and is now in its third incarnation, as earthquakes in 1683 and in 1745 destroyed the previous structures. The iron gates on the south face of the church are flanked by pillars displaying Biblical statues of St John the Divine and St John the Baptist. They were reportedly taken in 1756 from a French ship destined for Martinique.",https://en.wikipedia.org/wiki/St._John%27s_Cathedral_(Antigua_and_Barbuda)
Antigua and Barbuda,5,Holy Family Cathedral (St. John's),http://www.wikidata.org/entity/Q15224667,wd:Q15224667,10328458,cathedral in Antigua and Barbuda,error,error
Argentina,27,Jesuit Block and Estancias of Córdoba,http://www.wikidata.org/entity/Q837642,wd:Q837642,6347809,UNESCO World Heritage Site,"The Jesuit Block and Estancias of Córdoba (Spanish: Manzana Jesuítica y Estancias de Córdoba) are a former Jesuit reduction built by missionaries in the  province of Córdoba, Argentina, named a World Heritage Site in 2000.The Manzana Jesuítica contains the University of Córdoba, one of the oldest in South America, the Monserrat Secondary School, a church, and residence buildings. To maintain such a project, the Jesuits operated six Estancias (residences) around the province of Córdoba, named Caroya, Jesús María, Santa Catalina, Alta Gracia, Candelaria, and San Ignacio.The farm and the complex, started in 1615, had to be left by the Jesuits, following the 1767 decree by King Charles III of Spain that expelled them from the continent. They were then run by the Franciscans until 1853, when the Jesuits returned to The Americas. Nevertheless, the university and the high-school were nationalized a year later.
Each Estancia has its own church and set of  buildings, around which towns grew, such as Alta Gracia, the closest to the Block. The Jesuit Block and the Estancias can be visited by tourists; the Road of the Jesuit Estancias is approximately 250 kilometres (160 mi) in length.
Jorge Mario Bergoglio, who would later become Pope Francis, lived there.",https://en.wikipedia.org/wiki/Jesuit_Block_and_Estancias_of_C%C3%B3rdoba
Argentina,26,Jesuit missions among the Guaraní,http://www.wikidata.org/entity/Q465960,wd:Q465960,24071776,World Heritage Site; Catholic missionary initiative and set of missions in Argentina and Brazil,error,error
Armenia,45,Geghard,http://www.wikidata.org/entity/Q499285,wd:Q499285,907531,cultural heritage monument of Armenia,"Geghard (Armenian: Գեղարդ, meaning ""spear"") is a medieval monastery in the Kotayk province of Armenia, being partially carved out of the adjacent mountain, surrounded by cliffs. It is listed as a UNESCO World Heritage Site with enhanced protection status.
While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury.
The spectacular towering cliffs surrounding the monastery are part of the Azat River gorge, and are included together with the monastery in the World Heritage Site listing. Some of the churches within the monastery complex are entirely dug out of the cliff rocks, others are little more than caves, while others are elaborate structures, with both architecturally complex walled sections and rooms deep inside the cliff. The combination, together with numerous engraved and free-standing khachkars is a unique sight, being one of the most frequented tourist destinations in Armenia.
Most visitors to Geghard also choose to visit the nearby pagan Temple of Garni,  located further down the Azat River. Visiting both sites in one trip is so common that they are often referred to in unison as Garni-Geghard.",https://en.wikipedia.org/wiki/Geghard
Australia,22,Hillsong Church,http://www.wikidata.org/entity/Q1145348,wd:Q1145348,4704988,"Charismatic megachurch in Sydney, New South Wales, Australia","Hillsong Church, commonly known as Hillsong, is a global charismatic Christian megachurch based in Australia.
The original church was established in 1983 as Hills Christian Life Centre, in Baulkham Hills, New South Wales, by Brian Houston and his wife Bobbie. Until separating from the Christian Life Centre (CLC) denomination in 2018, Hillsong was a member of the Australian Christian Churches (the Australian branch of the Assemblies of God). Hillsong is known for its worship music, with groups such as Hillsong Worship, Hillsong United and Hillsong Young & Free with many musical credits and hits to their names.
The church and its music have been successful globally, with its presence described as a global corporate brand, but a series of scandals and criticisms have dented its image in recent years. In March 2022, Houston stepped down as global senior pastor after an internal investigation found that Houston  had breached the church's moral code of conduct for pastors by engaging in  inappropriate behaviour with women on two occasions in the 2010s. Phil Dooley, who had been acting in the position since January 2022, took over the position as senior global pastor.",https://en.wikipedia.org/wiki/Hillsong_Church
Austria,60,St. Stephen's Cathedral,http://www.wikidata.org/entity/Q5943,wd:Q5943,214393,"cathedral in Vienna, Austria","St. Stephen's Cathedral (more commonly known by its German title: Stephansdom) is the mother church of the Roman Catholic Archdiocese of Vienna and the seat of the Archbishop of Vienna, Christoph Cardinal Schönborn, OP. The current Romanesque and Gothic form of the cathedral, seen today in the Stephansplatz, was largely initiated by Duke Rudolf IV (1339–1365) and stands on the ruins of two earlier churches, the first a parish church consecrated in 1147. The most important religious building in Vienna, St. Stephen's Cathedral has borne witness to many important events in Habsburg and Austrian history and has, with its multi-coloured tile roof, become one of the city's most recognizable symbols.","https://en.wikipedia.org/wiki/St._Stephen%27s_Cathedral,_Vienna"
