,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
0,Afghanistan,75,Jami,http://www.wikidata.org/entity/Q312458,wd:Q312458,420409,Persian poet,"Nūr ad-Dīn 'Abd ar-Rahmān Jāmī (Persian: نورالدین عبدالرحمن جامی; 7 November 1414 – 9 November 1492), also known as Mawlanā Nūr al-Dīn 'Abd al-Rahmān or Abd-Al-Rahmān Nur-Al-Din Muhammad Dashti, or simply as Jami or Djāmī and in Turkey as Molla Cami, was a Persian Sunni poet who is known for his achievements as a prolific scholar and writer of mystical Sufi literature. He was primarily a prominent poet-theologian of the school of Ibn Arabi and a Khwājagānī Sũfī, recognized for his eloquence and for his analysis of the metaphysics of mercy. His most famous poetic works are Haft Awrang, Tuhfat al-Ahrar, Layla wa Majnun, Fatihat al-Shabab, Lawa'ih, Al-Durrah al-Fakhirah. Jami belonged to the Naqshbandi Sufi order.

",https://en.wikipedia.org/wiki/Jami
8,Albania,74,Skanderbeg,http://www.wikidata.org/entity/Q160614,wd:Q160614,10780405,Albanian feudal lord and military commander (1405-1468),"Gjergj Kastrioti (Medieval Albanian: Gjergj Castrioti; Latin: Georgius Castriota; Italian: Giorgio Castriota; 1405 – 17 January 1468), known as Skanderbeg (Albanian: Skënderbeu or Skënderbej, from Ottoman Turkish: اسکندر بگ, romanized: İskender Bey; Latin: Scanderbegus; Italian: Scanderbeg), was an Albanian feudal lord and military commander who led a rebellion against the Ottoman Empire in what is today Albania, North Macedonia, Greece, Kosovo, Montenegro and Serbia.
A member of the noble Kastrioti family, he was sent as a hostage to the Ottoman court. He was educated there and entered the service of the Ottoman sultan for the next twenty years. His rise through the ranks culminated in his appointment as sanjakbey (governor) of the Sanjak of Dibra in 1440. In 1443, during the Battle of Niš, he deserted the Ottomans and became the ruler of Krujë, Sfetigrad, and Modrič. In 1444, the council of feudal lords that historians would later call the League of Lezhë named Skanderbeg its chief military commander (first among equals). The league consolidated nobility throughout what is today Northern Albania, under the protection of the King of Naples, Alfonso V, with Skanderbeg as captain general. Thus, for the first time Albania was united under a single leader. Skanderbeg's rebellion was not a general uprising of Albanians, because he did not gain support in the Venetian-controlled cities of the north or in the Ottoman-controlled south. In addition to Albanians his followers included Slavs, Vlachs, and Greeks; he also had at his service Venetian and Neapolitan mercenaries. The resistance led by him nevertheless brought Albanians of different regions and dialects together in a common cause against foreign aggression, helping define Albanian ethnic identity.Despite his military valor he was only able to hold his own possessions within the very small area in today's northern Albania where almost all of his victories against the Ottomans took place. Skanderbeg's military skills presented a major obstacle to Ottoman expansion, and many in western Europe considered him to be a model of Christian resistance against Muslims. For 25 years, from 1443 to 1468, Skanderbeg's 10,000-man army marched through Ottoman territory, winning against consistently larger and better-supplied Ottoman forces. He was greatly admired for this.Skanderbeg always signed himself in Latin: Dominus Albaniae (""Lord of Albania""), and claimed no other titles but that in surviving documents. In 1451, through the Treaty of Gaeta, he recognized de jure the sovereignty of the Kingdom of Naples over Albania, ensuring a protective alliance, although he remained a de facto independent ruler. In 1460–61, he supported Ferdinand I of Naples in his wars against John of Anjou and the barons who supported John's claim to the throne of Naples.
In 1463, he became the chief commander of the crusading forces of Pope Pius II, but the Pope died while the armies were still gathering. Together with Venetians, he fought against the Ottomans during the Ottoman–Venetian War (1463–1479) until his death in January 1468. He ranks high in the military history of that time as the most persistent—and ever-victorious—opponent of the Ottoman Empire in its heyday. He became a central figure in the Albanian National Awakening in the 19th century. He is much loved in modern Albania by both Christians and Muslims, and is commemorated with many monuments and cultural works.",https://en.wikipedia.org/wiki/Skanderbeg
11,Algeria,202,Augustine of Hippo,http://www.wikidata.org/entity/Q8018,wd:Q8018,2030,"early Christian theologian, philosopher and Church Father","Augustine of Hippo (, also US: ; Latin: Aurelius Augustinus Hipponensis; 13 November 354 – 28 August 430), also known as Saint Augustine, was a theologian and philosopher of Berber origin and the bishop of Hippo Regius in Numidia, Roman North Africa. His writings influenced the development of Western philosophy and Western Christianity, and he is viewed as one of the most important Church Fathers of the Latin Church in the Patristic Period. His many important works include The City of God, On Christian Doctrine, and Confessions.
According to his contemporary, Jerome, Augustine ""established anew the ancient Faith"". In his youth he was drawn to the eclectic (and now extinct) Manichaean faith, and later to the Hellenistic philosophy/religion of Neoplatonism. After his conversion to Christianity and baptism in 386, Augustine developed his own approach to philosophy and theology, accommodating a variety of methods and perspectives. Believing the grace of Christ was indispensable to human freedom, he helped formulate the doctrine of original sin and made significant contributions to the development of just war theory. When the Western Roman Empire began to disintegrate, Augustine imagined the Church as a spiritual City of God, distinct from the material Earthly City. His thoughts profoundly influenced the medieval worldview. The segment of the Church that adhered to the concept of the Trinity as defined by the Council of Nicaea and the Council of Constantinople closely identified with Augustine's On the Trinity.
Augustine is recognized as a saint in the Catholic Church, the Eastern Orthodox Church, and the Anglican Communion. He is also a preeminent Catholic Doctor of the Church and the patron of the Augustinians. His memorial is celebrated on 28 August, the day of his death. Augustine is the patron saint of brewers, printers, theologians, and a number of cities and dioceses. Many Protestants, especially Calvinists and Lutherans, consider him one of the theological fathers of the Protestant Reformation due to his teachings on salvation and divine grace. Protestant Reformers generally, and Martin Luther in particular, held Augustine in preeminence among early Church Fathers. Luther was, from 1505 to 1521, a member of the Order of the Augustinian Eremites.
In the East his teachings are more disputed, and were notably attacked by John Romanides, but other theologians and figures of the Eastern Orthodox Church have shown significant approbation of his writings, chiefly Georges Florovsky. The most controversial doctrine associated with him, the filioque, was rejected by the Orthodox Church. Other disputed teachings include his views on original sin, the doctrine of grace, and predestination. Nevertheless, though considered to be mistaken on some points, he is still considered a saint and has influenced some Eastern Church Fathers, most notably Gregory Palamas. In the Orthodox Church his feast day is celebrated on 15 June. The historian Diarmaid MacCulloch has written: ""Augustine's impact on Western Christian thought can hardly be overstated; only his beloved example, Paul of Tarsus, has been more influential, and Westerners have generally seen Paul through Augustine's eyes.""",https://en.wikipedia.org/wiki/Augustine_of_Hippo
15,Andorra,29,Chindasuinth,http://www.wikidata.org/entity/Q334796,wd:Q334796,30864826,Visigothic King of Hispania,"Chindasuinth (also spelled Chindaswinth, Chindaswind, Chindasuinto, Chindasvindo, or Khindaswinth (Latin: Chintasvintus, Cindasvintus; c. 563 – 30 September 653) was Visigothic King of Hispania, from 642 until his death in 653. He succeeded Tulga, from whom he took the throne in a coup. He was elected by the nobles and anointed by the bishops on April 30, 642.",https://en.wikipedia.org/wiki/Chindasuinth
17,Angola,36,Nzingha Mbande,http://www.wikidata.org/entity/Q467650,wd:Q467650,419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),"Nzingha Mbande (c. 1583 – 1663) was Queen of the Ambundu Kingdoms of Ndongo (1624–1663) and Matamba (1631–1663), located in present-day northern Angola. Born into the ruling family of Ndongo, Nzinga received military and political training as a child, and she demonstrated an aptitude for defusing political crises as an ambassador to the Portuguese Empire. She later assumed power over Ndongo after the death of her father and brother, who both served as kings, and would go on to conquer Matamba. She ruled during a period of rapid growth in the African slave trade and encroachment of the Portuguese Empire into South West Africa, in attempts to control the slave trade. Nzinga fought for the independence and stature of her kingdoms against the Portuguese in a reign that lasted 37 years. 
In the years following her death, Nzinga has become a historical figure in Angola and in the wider Atlantic Creole culture. She is remembered for her intelligence, her political and diplomatic wisdom, and her brilliant military tactics.",https://en.wikipedia.org/wiki/Nzinga_of_Ndongo_and_Matamba
19,Antigua and Barbuda,8,Mary Thomas,http://www.wikidata.org/entity/Q29042635,wd:Q29042635,57001339,plantation worker in the Danish West Indies,"Mary Thomas, known as Queen Mary, (ca. 1848–1905) was one of the leaders of the 1878 ""Fireburn"" labor riot, or uprising, on the island of St. Croix in the Danish West Indies.
Mary Thomas was from Antigua and arrived in St. Croix in the 1860s to take work on the plantations in the island. In 1878 she resided at the Sprat Hall plantation. She had three children but never married. Before the uprising, she had been sentenced for theft and for mistreating her children. Historians have suggested that such sentences were used by the authorities to discredit people who opposed the authorities.After the 1848 emancipation of enslaved Africans in the Danish West Indies, an 1849 labor law fixed salaries and labor conditions for all plantation workers and prohibited bargaining for better wages or work conditions. This made plantation work unattractive, and many workers opted to leave the plantations and the islands to seek better conditions elsewhere. The government reacted to the labor shortage by making it harder to for workers to leave the islands, demanding health certificates and charging fees for passports. When wages were to be negotiated in the fall of 1878, the workers' demands were denied, and new harsh conditions for traveling were imposed. This sparked the so-called Fireburn riots, which have been called the largest labor riot in Danish history, during which more than 50 plantations were burned.
Because of her role as a leader during the uprising, Mary Thomas came to be known as ""Queen Mary"". The workers chose her and two other women, ""Queen Agnes"" and ""Queen Matilda"", as queens to perform ritual and celebratory functions during the uprising. Thomas played a leading role and referred to herself as a ""captain"" in the rebellion. Allegedly, during one the uprisings Thomas had called for those unwilling to participate to be decapitated.She was arrested and tried with other leaders of the labor uprising. During the trial of the labor leaders she gave witness testimony against another leader, Thomas Graydon, also known as ""Colonel Peter"", who was sentenced to death. Mary Thomas was also sentenced to death for arson and looting but had her sentence commuted to life imprisonment. She was transferred to Copenhagen and placed at Women's Prison, Christianshavn, in 1882, but in 1887 she was sent back to Christiansted, St. Croix, to serve the remainder of her sentence.",https://en.wikipedia.org/wiki/Mary_Thomas_(labor_leader)
37,Argentina,80,José de San Martín,http://www.wikidata.org/entity/Q134160,wd:Q134160,360387,Argentine general and independence leader (1778-1850),"José Francisco de San Martín y Matorras (25 February 1778 – 17 August 1850), known simply as José de San Martín (Spanish pronunciation: [xoˈse ðe san maɾˈtin] (listen)) or  the Liberator of Argentina, Chile and Peru, was an Argentine general and the primary leader of the southern and central parts of South America's successful struggle for independence from the Spanish Empire who served as the Protector of Peru. Born in Yapeyú, Corrientes, in modern-day Argentina, he left the Viceroyalty of the Río de la Plata at the early age of seven to study in Málaga, Spain.
In 1808, after taking part in the Peninsular War against France, San Martín contacted in London South American supporters of independence from Spain. In 1812, he set sail for Buenos Aires and offered his services to the United Provinces of the Río de la Plata, present-day Argentina. After the Battle of San Lorenzo and time commanding the Army of the North during 1814, he organized a plan to defeat the Spanish forces that menaced the United Provinces from the north, using an alternative path to the Viceroyalty of Peru. This objective first involved the establishment of a new army, the Army of the Andes, in Cuyo Province, Argentina. From there, he led the Crossing of the Andes to Chile, and triumphed at the Battle of Chacabuco and the Battle of Maipú (1818), thus liberating Chile from royalist rule. Then he sailed to attack the Spanish stronghold of Lima, Peru.
On 12 July 1821, after seizing partial control of Lima, San Martín was appointed Protector of Peru, and Peruvian independence was officially declared on 28 July. On 26 July 1822, after a closed-door meeting with fellow libertador Simón Bolívar at Guayaquil, Ecuador, Bolívar took over the task of fully liberating Peru. San Martín unexpectedly left the country and resigned the command of his army, excluding himself from politics and the military, and moved to France in 1824. The details of that meeting would be a subject of debate by later historians.
San Martín is regarded as a national hero of Argentina, Chile and Peru, a great military commander, and one of the Liberators of Spanish South America. The Order of the Liberator General San Martín (Orden del Libertador General San Martín), created in his honor, is the highest decoration conferred by the Argentine government.",https://en.wikipedia.org/wiki/Jos%C3%A9_de_San_Mart%C3%ADn
38,Armenia,71,Tigranes the Great,http://www.wikidata.org/entity/Q201303,wd:Q201303,182966,King of Armenia,"Tigranes II, more commonly known as Tigranes the Great (Armenian: Տիգրան Մեծ, Tigran Mets; Ancient Greek: Τιγράνης ὁ Μέγας Tigránes ho Mégas; Latin: Tigranes Magnus) (140 – 55 BC) was King of Armenia under whom the country became, for a short time, the strongest state to Rome's east. He was a member of the Artaxiad Royal House. Under his reign, the Armenian kingdom expanded beyond its traditional boundaries, allowing Tigranes to claim the title Great King, and involving Armenia in many battles against opponents such as the Parthian and Seleucid empires, and the Roman Republic.",https://en.wikipedia.org/wiki/Tigranes_the_Great
39,Australia,55,Edmund Barton,http://www.wikidata.org/entity/Q23342,wd:Q23342,146365,"Australian politician, first Prime Minister of Australia and founding justice of the High Court of Australia (1849-1920)","Sir Edmund ""Toby"" Barton,  (18 January 1849 – 7 January 1920) was an Australian politician and judge who served as the first prime minister of Australia from 1901 to 1903, holding office as the leader of the Protectionist Party. He resigned to become a founding member of the High Court of Australia, where he served until his death.
Barton was an early supporter of the federation of the Australian colonies, the goal of which he summarised as ""a nation for a continent, and a continent for a nation"". After the retirement of Henry Parkes he came to be seen as the leader of the federation movement in New South Wales. He was a delegate to the constitutional conventions, playing a key role in the drafting of a national constitution, and was one of the lead campaigners for federation in the subsequent referendums. In late 1900, despite the initial ""Hopetoun Blunder"", Barton was commissioned to form a caretaker government as Australia's first prime minister. His term began on 1 January 1901, the date on which federation occurred.
At the first federal election in March 1901, Barton and the Protectionists won the most seats, but were well short of a majority. He was able to continue on as a prime minister by forming an alliance with the fledgling Australian Labor Party (ALP), which held the balance of power. The Barton Government established a number of new national institutions, including the Australian Defence Force and the Commonwealth Public Service. It introduced nation-wide women's suffrage, and laid the foundations of the White Australia policy with the Immigration Restriction Act 1901.
Barton left politics in 1903 to become one of the three founding members of the High Court, which his government had created. He was succeeded as prime minister by Alfred Deakin. On the court, Barton was able to shape the judicial interpretation of the constitution he had helped write.",https://en.wikipedia.org/wiki/Edmund_Barton
40,Austria,250,Wolfgang Amadeus Mozart,http://www.wikidata.org/entity/Q254,wd:Q254,33163,Austrian composer of the Classical period,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791), baptised as Joannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical period. Despite his short life, his rapid pace of composition resulted in more than 800 works of virtually every genre of his time. Many of these compositions are acknowledged as pinnacles of the symphonic, concertante, chamber, operatic, and choral repertoire. Mozart is among the greatest composers in the history of Western music, and his elder colleague Joseph Haydn wrote: ""posterity will not see such a talent again in 100 years"".Born in Salzburg, in the Holy Roman Empire, Mozart showed prodigious ability from his earliest childhood. Already competent on keyboard and violin, he composed from the age of five and performed before European royalty. His father took him on a grand tour of Europe and then three trips to Italy. At 17, Mozart was engaged as a musician at the Salzburg court but grew restless and travelled in search of a better position.
While visiting Vienna in 1781, he was dismissed from his Salzburg position. He chose to stay in Vienna, where he achieved fame but little financial security. During his final years in Vienna, he composed many of his best-known symphonies, concertos, and operas, and portions of the Requiem, which was largely unfinished at the time of his early death at the age of 35. The circumstances of his death are largely uncertain and have thus been much mythologized.",https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
