country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,49,Fall of Kabul,http://www.wikidata.org/entity/Q108102583,wd:Q108102583,68481047,Taliban capture of the capital of Afghanistan
Afghanistan,25,Operation Moshtarak,http://www.wikidata.org/entity/Q843588,wd:Q843588,26066124,military operation
Afghanistan,19,Battle of Maiwand,http://www.wikidata.org/entity/Q548625,wd:Q548625,2064239,Battle of the Second Anglo-Afghan War
Afghanistan,19,Operation Anaconda,http://www.wikidata.org/entity/Q1476042,wd:Q1476042,43063,military operation
Afghanistan,19,Battle of Tora Bora,http://www.wikidata.org/entity/Q2237280,wd:Q2237280,6828277,2001 battle between the United States-led coalition and the Taliban in Afghanistan
Afghanistan,18,Battle of Saragarhi,http://www.wikidata.org/entity/Q383067,wd:Q383067,5302014,1897 battle in British India
Pakistan,18,Battle of Saragarhi,http://www.wikidata.org/entity/Q383067,wd:Q383067,5302014,1897 battle in British India
Afghanistan,17,Operation Red Wings,http://www.wikidata.org/entity/Q3354826,wd:Q3354826,2427487,military operation during the War in Afghanistan
Afghanistan,16,Operation Achilles,http://www.wikidata.org/entity/Q1616794,wd:Q1616794,9902040,military operation
Afghanistan,16,Battle of Parwan,http://www.wikidata.org/entity/Q3269746,wd:Q3269746,585352,Battles involving the Mongol Empire
Afghanistan,15,Islamic conquest of Afghanistan,http://www.wikidata.org/entity/Q2509966,wd:Q2509966,3068,historical event
Afghanistan,14,Battle of Kunduz,http://www.wikidata.org/entity/Q21030182,wd:Q21030182,47959396,battle for the control of the city of Kunduz
Afghanistan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
People's Republic of China,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Kazakhstan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Kyrgyzstan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Tajikistan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Turkmenistan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Uzbekistan,14,Russian conquest of Central Asia,http://www.wikidata.org/entity/Q27628456,wd:Q27628456,51719062,Military Conquest
Afghanistan,13,Battle of Kamdesh,http://www.wikidata.org/entity/Q2664174,wd:Q2664174,24572139,Operation underdown during the War in Afghanistan
Afghanistan,13,Fall of Mazari Sharif,http://www.wikidata.org/entity/Q2889318,wd:Q2889318,,
Afghanistan,11,Battle of Qala-i-Jangi,http://www.wikidata.org/entity/Q3180637,wd:Q3180637,9613270,2001 prisoner uprising in Afghanistan
Afghanistan,11,Battle of Musa Qala,http://www.wikidata.org/entity/Q2638382,wd:Q2638382,14626591,"British led military action in Helmand Province, southern Afghanistan"
Afghanistan,10,Battle of Chora,http://www.wikidata.org/entity/Q1485258,wd:Q1485258,11843437,battle during the War in Afghanistan
Afghanistan,10,1842 retreat from Kabul,http://www.wikidata.org/entity/Q908888,wd:Q908888,8478364,battle
Afghanistan,9,Operation Medusa,http://www.wikidata.org/entity/Q1763044,wd:Q1763044,6827180,Military operation in Afghanistan
Afghanistan,9,Battle of Oxus River,http://www.wikidata.org/entity/Q4871964,wd:Q4871964,,
Tajikistan,9,Battle of Oxus River,http://www.wikidata.org/entity/Q4871964,wd:Q4871964,,
Turkmenistan,9,Battle of Oxus River,http://www.wikidata.org/entity/Q4871964,wd:Q4871964,,
Uzbekistan,9,Battle of Oxus River,http://www.wikidata.org/entity/Q4871964,wd:Q4871964,,
Afghanistan,8,Battle of Ghazni,http://www.wikidata.org/entity/Q1010245,wd:Q1010245,8318544,battle
Afghanistan,8,Operation Karez,http://www.wikidata.org/entity/Q1518797,wd:Q1518797,17643749,military operation
Afghanistan,8,Battle of Wanat,http://www.wikidata.org/entity/Q2890373,wd:Q2890373,18424092,battle of the War in Afghanistan
Afghanistan,8,1221 siege of Bamiyan,http://www.wikidata.org/entity/Q4548218,wd:Q4548218,38387211,mongol campaign in 1220–1221
Afghanistan,8,Battle of Kandahar,http://www.wikidata.org/entity/Q370307,wd:Q370307,3898988,battle
Afghanistan,8,Battle of Herat,http://www.wikidata.org/entity/Q4871211,wd:Q4871211,36176074,military confrontation in 484 between the Sassanid Empire and the Hephthalite Empire
Afghanistan,8,Battle of Kabul,http://www.wikidata.org/entity/Q4871359,wd:Q4871359,10798933,A series of intermittent battles over Kabul
Afghanistan,8,Uzbin Valley ambush,http://www.wikidata.org/entity/Q267418,wd:Q267418,18964879,Military Skirmish Between Taliban and French ISAF Forces in Afghanistan
Afghanistan,8,Afghanistan–Pakistan skirmishes,http://www.wikidata.org/entity/Q4072719,wd:Q4072719,11203313,"cross-border shellings that have occurred since 1949, lately since mid-2003"
Pakistan,8,Afghanistan–Pakistan skirmishes,http://www.wikidata.org/entity/Q4072719,wd:Q4072719,11203313,"cross-border shellings that have occurred since 1949, lately since mid-2003"
Afghanistan,7,Capture of Zaranj,http://www.wikidata.org/entity/Q108035606,wd:Q108035606,68437714,2021 Taliban capture of Zaranj
Afghanistan,7,Operation Cobra's Anger,http://www.wikidata.org/entity/Q1128855,wd:Q1128855,25310304,military operation
Afghanistan,7,Battle of Ghazni,http://www.wikidata.org/entity/Q16207166,wd:Q16207166,,
Afghanistan,7,Operation Mountain Fury,http://www.wikidata.org/entity/Q909414,wd:Q909414,7016618,military operation
Afghanistan,7,Operation Red Dagger,http://www.wikidata.org/entity/Q1379863,wd:Q1379863,,
Afghanistan,7,Battle of Arghandab,http://www.wikidata.org/entity/Q2890897,wd:Q2890897,18004830,Battle during the War in Afghanistan
Afghanistan,6,Battle of Ghazni,http://www.wikidata.org/entity/Q15224206,wd:Q15224206,,
Afghanistan,6,Battle of Ghazni,http://www.wikidata.org/entity/Q16207176,wd:Q16207176,39104084,battle in 1148
Afghanistan,6,Operation Oqab,http://www.wikidata.org/entity/Q2026247,wd:Q2026247,,
Afghanistan,6,Battle of Jaji,http://www.wikidata.org/entity/Q4871306,wd:Q4871306,9011067,"The Battle of Jaji took place on April 17, 1987, in Paktia province, during the first stage of the withdrawal of Soviet forces during the Afghanistan war3."
Afghanistan,6,Fall of Kandahar,http://www.wikidata.org/entity/Q2888881,wd:Q2888881,23010233,event in the War of Afghanistan
Afghanistan,6,Battle of Herat,http://www.wikidata.org/entity/Q25212290,wd:Q25212290,,
Afghanistan,6,Battle of Tarin Kowt,http://www.wikidata.org/entity/Q4872509,wd:Q4872509,22972637,Battle of the War in Afghanistan
Afghanistan,6,Nader's Sindh Expedition,http://www.wikidata.org/entity/Q22948432,wd:Q22948432,,
Pakistan,6,Nader's Sindh Expedition,http://www.wikidata.org/entity/Q22948432,wd:Q22948432,,
Afghanistan,5,Friendly fire incident at Sangin,http://www.wikidata.org/entity/Q2889117,wd:Q2889117,,
Afghanistan,5,Battle of the Baggage,http://www.wikidata.org/entity/Q4872836,wd:Q4872836,35893183,battle between the forces of the Umayyad Caliphate and the Turkic Turgesh tribes
Tajikistan,5,Battle of the Baggage,http://www.wikidata.org/entity/Q4872836,wd:Q4872836,35893183,battle between the forces of the Umayyad Caliphate and the Turkic Turgesh tribes
Turkmenistan,5,Battle of the Baggage,http://www.wikidata.org/entity/Q4872836,wd:Q4872836,35893183,battle between the forces of the Umayyad Caliphate and the Turkic Turgesh tribes
Uzbekistan,5,Battle of the Baggage,http://www.wikidata.org/entity/Q4872836,wd:Q4872836,35893183,battle between the forces of the Umayyad Caliphate and the Turkic Turgesh tribes
Afghanistan,5,Battle of Dahaneh,http://www.wikidata.org/entity/Q2888379,wd:Q2888379,,
Afghanistan,5,Battle of Charasiab,http://www.wikidata.org/entity/Q4870716,wd:Q4870716,33986851,1879 battle of the Second Anglo-Afghan War
Afghanistan,4,Battle of Ghazni,http://www.wikidata.org/entity/Q16207187,wd:Q16207187,39104176,battle in 1151
Afghanistan,4,Battle of Badghis,http://www.wikidata.org/entity/Q16208711,wd:Q16208711,,
Afghanistan,4,Operation Halmazag,http://www.wikidata.org/entity/Q1234017,wd:Q1234017,48811661,Offensive operation in Afghanistan
Albania,65,Battle of Actium,http://www.wikidata.org/entity/Q160387,wd:Q160387,5008,decisive confrontation of the Final War of the Roman Republic
Greece,65,Battle of Actium,http://www.wikidata.org/entity/Q160387,wd:Q160387,5008,decisive confrontation of the Final War of the Roman Republic
Italy,65,Battle of Actium,http://www.wikidata.org/entity/Q160387,wd:Q160387,5008,decisive confrontation of the Final War of the Roman Republic
Albania,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Bosnia and Herzegovina,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Croatia,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Italy,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Montenegro,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Slovenia,32,Battle of Lissa,http://www.wikidata.org/entity/Q158054,wd:Q158054,960710,"naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads"
Albania,32,Battle of Preveza,http://www.wikidata.org/entity/Q1054975,wd:Q1054975,171908,1538 battle of the Third Ottoman–Venetian War
Greece,32,Battle of Preveza,http://www.wikidata.org/entity/Q1054975,wd:Q1054975,171908,1538 battle of the Third Ottoman–Venetian War
Italy,32,Battle of Preveza,http://www.wikidata.org/entity/Q1054975,wd:Q1054975,171908,1538 battle of the Third Ottoman–Venetian War
Albania,30,Battle of Dyrrhachium,http://www.wikidata.org/entity/Q1987213,wd:Q1987213,750583,1081 battle in present-day Albania
Albania,23,Battle of Dyrrhachium,http://www.wikidata.org/entity/Q525325,wd:Q525325,265023,battle of Caesar's Civil War in the area of the city of Dyrrachium (in what is now Albania)
Albania,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Algeria,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Bosnia and Herzegovina,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Croatia,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Cyprus,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Egypt,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Greece,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Israel,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Lebanon,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Libya,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Malta,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Monaco,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Montenegro,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Morocco,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
State of Palestine,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Slovenia,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Spain,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Syria,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Tunisia,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Turkey,20,Battle of Cape Spartivento,http://www.wikidata.org/entity/Q1541340,wd:Q1541340,840266,Naval battle during the Battle of the Mediterranean
Albania,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Algeria,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Bosnia and Herzegovina,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Croatia,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Cyprus,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Egypt,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Greece,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Israel,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Lebanon,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Libya,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Malta,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Monaco,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Montenegro,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Morocco,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
State of Palestine,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Slovenia,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Spain,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Syria,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Tunisia,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Turkey,19,Operation Pedestal,http://www.wikidata.org/entity/Q1927362,wd:Q1927362,573822,battle in the Mediterranean Sea in 1942 during WWII
Albania,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Algeria,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Bosnia and Herzegovina,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Croatia,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Cyprus,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Egypt,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Greece,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Israel,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Lebanon,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Libya,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Malta,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Monaco,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
Montenegro,17,Battle of Minorca,http://www.wikidata.org/entity/Q1196554,wd:Q1196554,2472166,battle
