country,number,item,item_id
Afghanistan,50,Nur Muhammad Taraki,http://www.wikidata.org/entity/Q299559
Afghanistan,29,Meena Keshwar Kamal,http://www.wikidata.org/entity/Q465872
Afghanistan,22,Fatima Bhutto,http://www.wikidata.org/entity/Q4115693
Afghanistan,19,Shukria Barakzai,http://www.wikidata.org/entity/Q7504854
Afghanistan,18,Mahmud Tarzi,http://www.wikidata.org/entity/Q153640
Afghanistan,18,Suhail Shaheen,http://www.wikidata.org/entity/Q67524249
Afghanistan,18,Nadia Anjuman,http://www.wikidata.org/entity/Q469319
Afghanistan,17,Mustafa Nayyem,http://www.wikidata.org/entity/Q2690181
Afghanistan,13,Maryam Durani,http://www.wikidata.org/entity/Q1528599
Afghanistan,12,Zakia Zaki,http://www.wikidata.org/entity/Q144702
Afghanistan,12,Ali Ahmad Jalali,http://www.wikidata.org/entity/Q195902
Afghanistan,12,Abdul Rahman Pazhwak,http://www.wikidata.org/entity/Q317411
Afghanistan,12,Mohammad Fahim Dashty,http://www.wikidata.org/entity/Q6891938
Afghanistan,12,Kamran Mir Hazar,http://www.wikidata.org/entity/Q1152406
Afghanistan,11,Mohammad Hashim Maiwandwal,http://www.wikidata.org/entity/Q1317228
Afghanistan,10,Shafiqa Habibi,http://www.wikidata.org/entity/Q2276305
Afghanistan,10,Abdul Rauf Benawa,http://www.wikidata.org/entity/Q2473341
Afghanistan,10,Yalda Hakim,http://www.wikidata.org/entity/Q8047312
Afghanistan,10,Manizha Bakhtari,http://www.wikidata.org/entity/Q16876019
Afghanistan,9,Sayed Pervez Kambaksh,http://www.wikidata.org/entity/Q3048307
Afghanistan,9,Abdul Hai Habibi,http://www.wikidata.org/entity/Q3365444
Afghanistan,9,Rahnaward Zaryab,http://www.wikidata.org/entity/Q6557470
Afghanistan,9,Horia Mosadiq,http://www.wikidata.org/entity/Q21035211
Afghanistan,9,Farzana Wahidy,http://www.wikidata.org/entity/Q20966507
Afghanistan,8,Zahra Joya,http://www.wikidata.org/entity/Q111103206
Afghanistan,8,Zahir Tanin,http://www.wikidata.org/entity/Q3918330
Afghanistan,8,Humira Saqib,http://www.wikidata.org/entity/Q23664426
Afghanistan,8,Mena Mangal,http://www.wikidata.org/entity/Q63799951
Afghanistan,7,Fariba Nawa,http://www.wikidata.org/entity/Q5435218
Afghanistan,7,Nemat Sadat,http://www.wikidata.org/entity/Q100940724
Afghanistan,7,Tamim Ansary,http://www.wikidata.org/entity/Q914869
Afghanistan,6,Najibullah Quraishi,http://www.wikidata.org/entity/Q6059873
Afghanistan,6,Najwa Alimi,http://www.wikidata.org/entity/Q104635892
Afghanistan,6,Sana Safi,http://www.wikidata.org/entity/Q15633240
Afghanistan,6,Basir Ahang,http://www.wikidata.org/entity/Q14252772
Afghanistan,6,Mohammad Shafiq Hamdam,http://www.wikidata.org/entity/Q16221452
Afghanistan,6,Najiba Ayubi,http://www.wikidata.org/entity/Q54945990
Afghanistan,5,Hoda Khamosh,http://www.wikidata.org/entity/Q110057269
Afghanistan,5,Nabil Miskinyar,http://www.wikidata.org/entity/Q3918326
Afghanistan,5,Abdul Bari Jahani,http://www.wikidata.org/entity/Q4054524
Afghanistan,5,Massoud Hossaini,http://www.wikidata.org/entity/Q6784831
Afghanistan,5,Razaq Mamoon,http://www.wikidata.org/entity/Q7299491
Afghanistan,5,Shakaiba Sanga Amaj,http://www.wikidata.org/entity/Q7462544
Afghanistan,4,Sultan Munadi,http://www.wikidata.org/entity/Q775772
Afghanistan,4,Abdul Samay Hamed,http://www.wikidata.org/entity/Q4665719
Afghanistan,4,Ahmed Omaid Khpalwak,http://www.wikidata.org/entity/Q4695959
Afghanistan,4,Hakan Massoud Navabi,http://www.wikidata.org/entity/Q5640324
Afghanistan,4,Mahbouba Seraj,http://www.wikidata.org/entity/Q108444133
Afghanistan,4,Khushnood Nabizada,http://www.wikidata.org/entity/Q17489760
Afghanistan,4,Qasim Akhgar,http://www.wikidata.org/entity/Q37512815
Albania,76,Edi Rama,http://www.wikidata.org/entity/Q316901
Albania,47,Naim Frashëri,http://www.wikidata.org/entity/Q47007
Albania,35,Fan S. Noli,http://www.wikidata.org/entity/Q366307
Albania,32,Sami Frashëri,http://www.wikidata.org/entity/Q331896
Albania,30,Dritëro Agolli,http://www.wikidata.org/entity/Q382104
Albania,29,Nexhmije Hoxha,http://www.wikidata.org/entity/Q288189
Albania,29,Aleksander Stavre Drenova,http://www.wikidata.org/entity/Q380794
Albania,26,Gjergj Fishta,http://www.wikidata.org/entity/Q115455
Albania,22,Omer Nishani,http://www.wikidata.org/entity/Q560630
Albania,20,Vaso Pasha,http://www.wikidata.org/entity/Q1280525
Albania,20,Abdyl Frashëri,http://www.wikidata.org/entity/Q317988
Albania,19,Arbana Xharra,http://www.wikidata.org/entity/Q19668240
Albania,18,Rexhep Mitrovica,http://www.wikidata.org/entity/Q836500
Albania,17,Fatos Kongoli,http://www.wikidata.org/entity/Q982745
Albania,16,Mikel Koliqi,http://www.wikidata.org/entity/Q980209
Albania,16,Urani Rumbo,http://www.wikidata.org/entity/Q7899648
Albania,16,Luljeta Lleshanaku,http://www.wikidata.org/entity/Q3305380
Albania,15,Fatos Arapi,http://www.wikidata.org/entity/Q3067261
Albania,15,Midhat Frashëri,http://www.wikidata.org/entity/Q707266
Albania,15,Gjekë Marinaj,http://www.wikidata.org/entity/Q3300270
Albania,14,Mustafa Merlika-Kruja,http://www.wikidata.org/entity/Q984363
Albania,14,Maliq Bushati,http://www.wikidata.org/entity/Q779006
Albania,14,Avni Rustemi,http://www.wikidata.org/entity/Q782976
Albania,14,Besnik Mustafaj,http://www.wikidata.org/entity/Q829982
Albania,14,Mihal Grameno,http://www.wikidata.org/entity/Q3305014
Albania,13,Dervish Hima,http://www.wikidata.org/entity/Q560670
Albania,13,Elvira Dones,http://www.wikidata.org/entity/Q1647133
Albania,13,Sterjo Spasse,http://www.wikidata.org/entity/Q1125693
Albania,13,Eqrem Basha,http://www.wikidata.org/entity/Q1347797
Albania,13,Veton Surroi,http://www.wikidata.org/entity/Q681897
Albania,13,Ben Blushi,http://www.wikidata.org/entity/Q9168623
Albania,12,Ridvan Dibra,http://www.wikidata.org/entity/Q2151910
Albania,12,Marigo Posio,http://www.wikidata.org/entity/Q13042497
Albania,11,Luan Starova,http://www.wikidata.org/entity/Q980349
Albania,11,Fehmi Agani,http://www.wikidata.org/entity/Q1271771
Albania,11,Sevasti Qiriazi,http://www.wikidata.org/entity/Q13045607
Albania,11,Helena Kadare,http://www.wikidata.org/entity/Q3301387
Albania,10,Aleksandër Xhuvani,http://www.wikidata.org/entity/Q4715729
Albania,10,Natasha Lako,http://www.wikidata.org/entity/Q3336468
Albania,9,Arshi Pipa,http://www.wikidata.org/entity/Q606356
Albania,9,Maks Velo,http://www.wikidata.org/entity/Q3280973
Albania,9,Namik Dokle,http://www.wikidata.org/entity/Q980323
Albania,9,Sali Nivica,http://www.wikidata.org/entity/Q1030293
Albania,9,Dionis Bubani,http://www.wikidata.org/entity/Q1226933
Albania,9,Petro Nini Luarasi,http://www.wikidata.org/entity/Q1265935
Albania,9,Diana Çuli,http://www.wikidata.org/entity/Q640708
Albania,9,Kadri Prishtina,http://www.wikidata.org/entity/Q15734007
Albania,9,Dhimitër Pasko,http://www.wikidata.org/entity/Q3302469
Albania,9,Anilda Ibrahimi,http://www.wikidata.org/entity/Q3617481
Albania,9,Dhimitër Beratti,http://www.wikidata.org/entity/Q5269569
Algeria,191,Albert Camus,http://www.wikidata.org/entity/Q34670
Algeria,54,Bernard-Henri Lévy,http://www.wikidata.org/entity/Q313509
Algeria,34,Abdelkader Bensalah,http://www.wikidata.org/entity/Q2821079
Algeria,30,René Viviani,http://www.wikidata.org/entity/Q431074
Algeria,29,Yacine Kateb,http://www.wikidata.org/entity/Q379962
Algeria,28,Jacques Vergès,http://www.wikidata.org/entity/Q714194
Algeria,25,Salima Ghezali,http://www.wikidata.org/entity/Q127304
Algeria,24,Tahar Djaout,http://www.wikidata.org/entity/Q561721
Algeria,22,Kamel Daoud,http://www.wikidata.org/entity/Q3192364
Algeria,19,Jean Amrouche,http://www.wikidata.org/entity/Q2633593
Algeria,17,Emmanuel Roblès,http://www.wikidata.org/entity/Q1338416
Algeria,16,Jean Daniel,http://www.wikidata.org/entity/Q934682
Algeria,16,Alessandro Mendini,http://www.wikidata.org/entity/Q772733
Algeria,15,Rachid Boudjedra,http://www.wikidata.org/entity/Q965861
Algeria,15,Franklin Loufrani,http://www.wikidata.org/entity/Q21445418
Algeria,14,Robert Ménard,http://www.wikidata.org/entity/Q2976160
Algeria,11,André Bloc,http://www.wikidata.org/entity/Q517157
