country,number,item,item_id
Afghanistan,16,Rashid Khan,http://www.wikidata.org/entity/Q21621685
Afghanistan,16,Mary Akrami,http://www.wikidata.org/entity/Q17542437
Afghanistan,14,Aziza Siddiqui,http://www.wikidata.org/entity/Q18207673
Afghanistan,11,Mujeeb Ur Rahman,http://www.wikidata.org/entity/Q35780586
Afghanistan,11,Shukria Asil,http://www.wikidata.org/entity/Q17627766
Afghanistan,11,Shafiqa Quraishi,http://www.wikidata.org/entity/Q17627804
Afghanistan,10,Malalai Bahaduri,http://www.wikidata.org/entity/Q18001504
Afghanistan,9,Mohammad Saber Rohparwar,http://www.wikidata.org/entity/Q931362
Afghanistan,9,Mohamed Sarwar Yusufzai,http://www.wikidata.org/entity/Q10331491
Afghanistan,9,Hasina Jalal,http://www.wikidata.org/entity/Q19893926
Afghanistan,8,Rahmanullah Gurbaz,http://www.wikidata.org/entity/Q28536845
Afghanistan,8,Abdul Ghafoor Yusufzai,http://www.wikidata.org/entity/Q9138107
Afghanistan,8,Mohamed Anwar Kharot,http://www.wikidata.org/entity/Q10331489
Afghanistan,8,Mohammad Ibrahim Gharzai,http://www.wikidata.org/entity/Q11784663
Afghanistan,7,Ahmad Wali,http://www.wikidata.org/entity/Q400849
Afghanistan,7,Amir-Jan Sabori,http://www.wikidata.org/entity/Q472198
Afghanistan,7,Jan Mohammad Khan,http://www.wikidata.org/entity/Q768142
Afghanistan,7,Mohammad Iqbal Azizi,http://www.wikidata.org/entity/Q1942644
Afghanistan,7,Ibrahim Zadran,http://www.wikidata.org/entity/Q35952969
Afghanistan,7,Dorranai Hassan,http://www.wikidata.org/entity/Q29048550
Afghanistan,6,Mohammad Omar,http://www.wikidata.org/entity/Q1398723
Afghanistan,6,Toryalai Wesa,http://www.wikidata.org/entity/Q558200
Afghanistan,6,Baz Mohammad Ahmadi,http://www.wikidata.org/entity/Q730798
Afghanistan,6,Rahim Jahani,http://www.wikidata.org/entity/Q1240671
Afghanistan,6,Najibullah Quraishi,http://www.wikidata.org/entity/Q6059873
Afghanistan,6,Qais Ahmad,http://www.wikidata.org/entity/Q44958349
Afghanistan,6,Rukhshana,http://www.wikidata.org/entity/Q20685369
Afghanistan,6,Noor Ahmad,http://www.wikidata.org/entity/Q70442895
Afghanistan,6,Wafadar,http://www.wikidata.org/entity/Q35953048
Afghanistan,6,Fazalhaq Farooqi,http://www.wikidata.org/entity/Q43181870
