country,number,item,item_id
Australia,102.0,Julia Gillard,http://www.wikidata.org/entity/Q41563
Australia,89.0,Kevin Rudd,http://www.wikidata.org/entity/Q43135
Australia,87.0,Scott Morrison,http://www.wikidata.org/entity/Q7436908
Australia,80.0,John Howard,http://www.wikidata.org/entity/Q51330
Australia,78.0,Tony Abbott,http://www.wikidata.org/entity/Q348577
Australia,74.0,Malcolm Turnbull,http://www.wikidata.org/entity/Q927550
Australia,62.0,Peter Singer,http://www.wikidata.org/entity/Q211539
Australia,62.0,Howard Florey,http://www.wikidata.org/entity/Q137106
Australia,57.0,Gough Whitlam,http://www.wikidata.org/entity/Q23333
Australia,57.0,Bob Hawke,http://www.wikidata.org/entity/Q269372
Australia,57.0,Anthony Albanese,http://www.wikidata.org/entity/Q335697
Australia,56.0,Edmund Barton,http://www.wikidata.org/entity/Q23342
Australia,55.0,Yanis Varoufakis,http://www.wikidata.org/entity/Q40688
Australia,53.0,Paul Keating,http://www.wikidata.org/entity/Q242654
Azerbaijan,116.0,Ilham Aliyev,http://www.wikidata.org/entity/Q57371
Azerbaijan,116.0,Attila,http://www.wikidata.org/entity/Q36724
Azerbaijan,113.0,Garry Kasparov,http://www.wikidata.org/entity/Q28614
Azerbaijan,92.0,Serzh Sargsyan,http://www.wikidata.org/entity/Q612803
Azerbaijan,84.0,Heydar Aliyev,http://www.wikidata.org/entity/Q157451
Azerbaijan,69.0,Robert Kocharyan,http://www.wikidata.org/entity/Q613051
Azerbaijan,53.0,Ivan Bagramyan,http://www.wikidata.org/entity/Q48112
Belarus,139.0,Alexander Lukashenko,http://www.wikidata.org/entity/Q2866
Belarus,120.0,Shimon Peres,http://www.wikidata.org/entity/Q57410
Belarus,92.0,Menachem Begin,http://www.wikidata.org/entity/Q130873
Belarus,78.0,Zhores Alferov,http://www.wikidata.org/entity/Q183279
Belarus,75.0,Sviatlana Tsikhanouskaya,http://www.wikidata.org/entity/Q97010473
Belarus,72.0,Felix Dzerzhinsky,http://www.wikidata.org/entity/Q188570
Belarus,72.0,Andrei Gromyko,http://www.wikidata.org/entity/Q184267
Belarus,68.0,Tadeusz Kościuszko,http://www.wikidata.org/entity/Q191479
Belarus,67.0,Chaim Weizmann,http://www.wikidata.org/entity/Q172183
Belarus,67.0,Yitzhak Shamir,http://www.wikidata.org/entity/Q184351
Belarus,51.0,Ales Bialiatski,http://www.wikidata.org/entity/Q118263
Bosnia and Herzegovina,86.0,Radovan Karadžić,http://www.wikidata.org/entity/Q123923
Bosnia and Herzegovina,74.0,Boris Tadić,http://www.wikidata.org/entity/Q483290
Bosnia and Herzegovina,71.0,Alija Izetbegović,http://www.wikidata.org/entity/Q183848
Bosnia and Herzegovina,60.0,Zoran Đinđić,http://www.wikidata.org/entity/Q157131
Bosnia and Herzegovina,53.0,Branko Crvenkovski,http://www.wikidata.org/entity/Q157111
Bosnia and Herzegovina,53.0,Ante Pavelić,http://www.wikidata.org/entity/Q36965
Bosnia and Herzegovina,52.0,Dragan Đokanović,http://www.wikidata.org/entity/Q147057
Brazil,164.0,Pelé,http://www.wikidata.org/entity/Q12897
Brazil,139.0,Jair Bolsonaro,http://www.wikidata.org/entity/Q10304982
Brazil,138.0,Luiz Inácio Lula da Silva,http://www.wikidata.org/entity/Q37181
Brazil,106.0,Ronaldinho,http://www.wikidata.org/entity/Q39444
Brazil,95.0,Oscar Niemeyer,http://www.wikidata.org/entity/Q134165
Brazil,77.0,Jorge Amado,http://www.wikidata.org/entity/Q184440
Brazil,77.0,Michel Temer,http://www.wikidata.org/entity/Q463533
Brazil,75.0,Pedro II of Brazil,http://www.wikidata.org/entity/Q156774
Brazil,74.0,Romário,http://www.wikidata.org/entity/Q178649
Brazil,73.0,Getúlio Vargas,http://www.wikidata.org/entity/Q156844
Brazil,65.0,Bebeto,http://www.wikidata.org/entity/Q204825
Brazil,64.0,Juscelino Kubitschek,http://www.wikidata.org/entity/Q155824
Brazil,60.0,Eduardo Riedel,http://www.wikidata.org/entity/Q112407628
