country,number,item,item_id,shortform,pageid,wikidata_description
Afghanistan,19,Gulbadan Begum,http://www.wikidata.org/entity/Q2041521,wd:Q2041521,7020107,Mughal princess
Afghanistan,7,Fatana Najib,http://www.wikidata.org/entity/Q10843514,wd:Q10843514,61684530,Afghan linguist
Afghanistan,6,Shakardokht Jafari,http://www.wikidata.org/entity/Q50825700,wd:Q50825700,56874433,Medical physicist
Afghanistan,5,Masuada Karokhi,http://www.wikidata.org/entity/Q19919421,wd:Q19919421,65234704,"Afghan peace activist, women's rights advocate"
Afghanistan,2,Nouria Salehi,http://www.wikidata.org/entity/Q109567103,wd:Q109567103,69545618,"Afghan-Australian nuclear physicist, biophysicist and humanitarian"
Afghanistan,2,Soraya Alekozei,http://www.wikidata.org/entity/Q95185276,wd:Q95185276,68624430,Afghan-German interpreter and veteran
Afghanistan,1,Leeza Ahmady,http://www.wikidata.org/entity/Q67400415,wd:Q67400415,60765059,Afghan-American curator
Afghanistan,1,Shaista Wahab,http://www.wikidata.org/entity/Q7462494,wd:Q7462494,15425589,Afghan writer
Afghanistan,1,Amena Karimyan,http://www.wikidata.org/entity/Q110063125,wd:Q110063125,,
Afghanistan,1,Cornelia Zumbusch,http://www.wikidata.org/entity/Q18342356,wd:Q18342356,,
Afghanistan,1,Dr Alema,http://www.wikidata.org/entity/Q109968643,wd:Q109968643,,
Albania,22,Arta Dade,http://www.wikidata.org/entity/Q539957,wd:Q539957,31573444,Albanian politician
Albania,18,Mimi Kodheli,http://www.wikidata.org/entity/Q16855243,wd:Q16855243,31573456,Albanian politician
Albania,18,Sabiha Kasimati,http://www.wikidata.org/entity/Q9332564,wd:Q9332564,30611143,Sabiha Kasimati (15 September 1912 - 26 February 1951) was an Albanian biologist and dissident of the communist regime in Albania.She was one of the 23 victims of the regime's Massacre of 1951 in Albania.
Turkey,18,Sabiha Kasimati,http://www.wikidata.org/entity/Q9332564,wd:Q9332564,30611143,Sabiha Kasimati (15 September 1912 - 26 February 1951) was an Albanian biologist and dissident of the communist regime in Albania.She was one of the 23 victims of the regime's Massacre of 1951 in Albania.
Albania,18,Parashqevi Qiriazi,http://www.wikidata.org/entity/Q3300364,wd:Q3300364,27318347,Albanian educational theorist
North Macedonia,18,Parashqevi Qiriazi,http://www.wikidata.org/entity/Q3300364,wd:Q3300364,27318347,Albanian educational theorist
Albania,16,Laura Mersini-Houghton,http://www.wikidata.org/entity/Q949565,wd:Q949565,4427370,Albanian cosmologist and theoretical physicist
Albania,15,Mesila Doda,http://www.wikidata.org/entity/Q13560214,wd:Q13560214,31311948,Albanian politician
Albania,15,Mirela Kumbaro,http://www.wikidata.org/entity/Q15724978,wd:Q15724978,41607407,Albanian politician
Albania,13,Majlinda Bregu,http://www.wikidata.org/entity/Q321753,wd:Q321753,30559775,Alnanian minister of European Integration
Albania,12,Selfixhe Ciu,http://www.wikidata.org/entity/Q21605269,wd:Q21605269,48553156,Albanian writer
Albania,11,Mira Murati,http://www.wikidata.org/entity/Q116706551,wd:Q116706551,73229875,chief technology officer at OpenAI
